market,trade_id,unit_id,direction,entry_ts,entry_price,exit_ts,exit_price,exit_reason,profit_pts,profit_usd_gross,mae_dd_pts,mfe_pts
NQ,nq_weekly_mid_ma500_bias-WMID-00007,3,Long,2010-07-21T14:15:00-04:00,1824.375,2010-07-26T00:15:00-04:00,1879.75,close,55.375,1107.5,13.375,58.875
NQ,nq_weekly_mid_ma500_bias-WMID-00011,5,Short,2010-08-18T13:15:00-04:00,1861.5,2010-08-23T00:15:00-04:00,1830.0,close,31.5,630.0,0.75,53.0
NQ,nq_weekly_mid_ma500_bias-WMID-00025,10,Long,2010-11-23T10:00:00-05:00,2117.25,2010-11-29T00:15:00-05:00,2153.0,close,35.75,715.0,12.5,48.25
NQ,nq_weekly_mid_ma500_bias-WMID-00027,11,Long,2010-12-15T14:30:00-05:00,2197.625,2010-12-20T00:15:00-05:00,2207.5,close,9.875,197.5,1.625,28.875
NQ,nq_weekly_mid_ma500_bias-WMID-00028,12,Long,2010-12-27T03:15:00-05:00,2222.25,2011-01-03T00:15:00-05:00,2227.5,close,5.25,105.0,15.0,14.75
NQ,nq_weekly_mid_ma500_bias-WMID-00031,14,Short,2011-01-25T21:30:00-05:00,2305.5,2011-01-31T00:15:00-05:00,2271.0,close,34.5,690.0,29.0,57.0
NQ,nq_weekly_mid_ma500_bias-WMID-00045,19,Long,2011-04-04T14:00:00-04:00,2323.75,2011-04-11T00:15:00-04:00,2324.75,close,1.0,20.0,19.0,26.25
NQ,nq_weekly_mid_ma500_bias-WMID-00049,21,Short,2011-05-02T13:15:00-04:00,2399.875,2011-05-09T00:15:00-04:00,2386.0,close,13.875,277.5,10.125,36.375
NQ,nq_weekly_mid_ma500_bias-WMID-00055,23,Short,2011-06-21T10:00:00-04:00,2214.625,2011-06-27T00:15:00-04:00,2203.75,close,10.875,217.5,43.875,23.125
NQ,nq_weekly_mid_ma500_bias-WMID-00057,24,Short,2011-07-11T05:15:00-04:00,2386.625,2011-07-18T00:15:00-04:00,2343.75,close,42.875,857.5,2.875,72.125
NQ,nq_weekly_mid_ma500_bias-WMID-00058,25,Long,2011-07-27T10:30:00-04:00,2374.25,2011-08-01T00:15:00-04:00,2390.75,close,16.5,330.0,36.25,24.5
NQ,nq_weekly_mid_ma500_bias-WMID-00063,28,Short,2011-09-07T12:45:00-04:00,2209.25,2011-09-12T00:15:00-04:00,2152.75,close,56.5,1130.0,34.75,73.75
NQ,nq_weekly_mid_ma500_bias-WMID-00067,31,Short,2011-09-28T14:15:00-04:00,2233.25,2011-10-03T00:15:00-04:00,2116.25,close,117.0,2340.0,26.5,120.25
NQ,nq_weekly_mid_ma500_bias-WMID-00069,32,Long,2011-10-20T09:45:00-04:00,2300.125,2011-10-24T00:15:00-04:00,2343.25,close,43.125,862.5,31.625,45.375
NQ,nq_weekly_mid_ma500_bias-WMID-00072,35,Long,2011-11-07T03:00:00-05:00,2332.625,2011-11-14T00:15:00-05:00,2358.25,close,25.625,512.5,46.125,66.875
NQ,nq_weekly_mid_ma500_bias-WMID-00074,36,Long,2011-11-28T01:15:00-05:00,2189.125,2011-12-05T00:15:00-05:00,2316.75,close,127.625,2552.5,8.625,155.625
NQ,nq_weekly_mid_ma500_bias-WMID-00081,39,Long,2012-01-16T02:15:00-05:00,2362.625,2012-01-23T00:15:00-05:00,2429.25,close,66.625,1332.5,1.125,79.875
NQ,nq_weekly_mid_ma500_bias-WMID-00086,41,Long,2012-02-23T09:45:00-05:00,2571.625,2012-02-27T00:15:00-05:00,2598.75,close,27.125,542.5,2.375,37.875
NQ,nq_weekly_mid_ma500_bias-WMID-00087,42,Long,2012-03-05T11:30:00-05:00,2614.375,2012-03-12T00:15:00-04:00,2636.0,close,21.625,432.5,39.375,33.375
NQ,nq_weekly_mid_ma500_bias-WMID-00092,44,Short,2012-04-17T12:30:00-04:00,2715.0,2012-04-23T00:15:00-04:00,2670.25,close,44.75,895.0,20.0,48.5
NQ,nq_weekly_mid_ma500_bias-WMID-00095,46,Short,2012-05-15T12:15:00-04:00,2615.75,2012-05-21T00:15:00-04:00,2484.75,close,131.0,2620.0,0.5,150.75
NQ,nq_weekly_mid_ma500_bias-WMID-00099,49,Long,2012-06-11T15:30:00-04:00,2516.625,2012-06-18T00:15:00-04:00,2577.5,close,60.875,1217.5,11.625,69.375
NQ,nq_weekly_mid_ma500_bias-WMID-00103,51,Short,2012-07-10T09:45:00-04:00,2623.125,2012-07-16T00:15:00-04:00,2572.25,close,50.875,1017.5,2.375,106.625
NQ,nq_weekly_mid_ma500_bias-WMID-00110,54,Long,2012-09-03T01:30:00-04:00,2770.5,2012-09-10T00:15:00-04:00,2815.75,close,45.25,905.0,27.75,65.75
NQ,nq_weekly_mid_ma500_bias-WMID-00115,56,Short,2012-10-16T11:00:00-04:00,2753.5,2012-10-22T00:15:00-04:00,2671.0,close,82.5,1650.0,25.25,96.0
NQ,nq_weekly_mid_ma500_bias-WMID-00117,58,Short,2012-11-05T10:45:00-05:00,2660.0,2012-11-12T00:15:00-05:00,2587.75,close,72.25,1445.0,31.75,103.75
NQ,nq_weekly_mid_ma500_bias-WMID-00118,59,Long,2012-11-19T05:15:00-05:00,2544.625,2012-11-26T00:15:00-05:00,2627.25,close,82.625,1652.5,1.125,94.125
NQ,nq_weekly_mid_ma500_bias-WMID-00120,61,Short,2012-12-10T11:00:00-05:00,2660.5,2012-12-17T00:15:00-05:00,2631.5,close,29.0,580.0,36.0,45.0
NQ,nq_weekly_mid_ma500_bias-WMID-00122,62,Long,2012-12-31T10:15:00-05:00,2619.625,2013-01-07T00:15:00-05:00,2710.25,close,90.625,1812.5,5.125,127.375
