idx,week_start,weekly_c3,net,trades,chart
1,2023-01-02,,-551.0,7,charts/001_2023-01-02.png
2,2020-03-02,bearish_hit,-612.0,6,charts/002_2020-03-02.png
3,2021-03-08,bearish_miss,-612.0,6,charts/003_2021-03-08.png
4,2022-07-04,,-612.0,6,charts/004_2022-07-04.png
5,2023-04-10,,-612.0,6,charts/005_2023-04-10.png
6,2025-01-06,,-612.0,6,charts/006_2025-01-06.png
7,2025-06-09,,993.0,4,charts/007_2025-06-09.png
8,2025-12-29,bullish_miss,1197.0,2,charts/008_2025-12-29.png
9,2024-04-08,bearish_miss,-327.25,6,charts/009_2024-04-08.png
10,2020-11-16,,-510.0,5,charts/010_2020-11-16.png
11,2021-01-25,bullish_hit,-510.0,5,charts/011_2021-01-25.png
12,2021-04-19,bullish_miss,-510.0,5,charts/012_2021-04-19.png
13,2022-07-11,,-510.0,5,charts/013_2022-07-11.png
14,2025-01-13,bearish_hit,-510.0,5,charts/014_2025-01-13.png
15,2026-02-23,,-527.5,4,charts/015_2026-02-23.png
16,2024-10-21,,88.5,6,charts/016_2024-10-21.png
17,2025-10-13,,88.5,6,charts/017_2025-10-13.png
18,2025-12-08,bullish_hit,88.5,6,charts/018_2025-12-08.png
19,2026-03-02,,88.5,6,charts/019_2026-03-02.png
20,2020-06-08,bullish_hit,-408.0,4,charts/020_2020-06-08.png
21,2023-03-13,,-408.0,4,charts/021_2023-03-13.png
22,2023-06-19,bullish_miss,-408.0,4,charts/022_2023-06-19.png
23,2026-03-09,bearish_miss,190.5,5,charts/023_2026-03-09.png
24,2023-04-17,,-382.75,4,charts/024_2023-04-17.png
25,2024-12-23,,551.5,3,charts/025_2024-12-23.png
26,2023-08-21,bearish_miss,507.25,3,charts/026_2023-08-21.png
27,2020-09-21,bearish_hit,292.5,4,charts/027_2020-09-21.png
28,2021-10-11,,292.5,4,charts/028_2021-10-11.png
29,2024-03-04,bullish_hit,292.5,4,charts/029_2024-03-04.png
30,2024-04-29,,292.5,4,charts/030_2024-04-29.png
31,2025-12-15,,292.5,4,charts/031_2025-12-15.png
32,2025-08-25,bearish_miss,475.0,3,charts/032_2025-08-25.png
33,2024-06-24,bullish_miss,-223.25,4,charts/033_2024-06-24.png
34,2020-10-05,bullish_hit,394.5,3,charts/034_2020-10-05.png
35,2021-03-29,,394.5,3,charts/035_2021-03-29.png
36,2021-12-13,,394.5,3,charts/036_2021-12-13.png
37,2022-02-07,bullish_miss,394.5,3,charts/037_2022-02-07.png
38,2022-06-06,,394.5,3,charts/038_2022-06-06.png
39,2022-11-07,bearish_miss,394.5,3,charts/039_2022-11-07.png
40,2024-01-29,,394.5,3,charts/040_2024-01-29.png
41,2024-06-03,,394.5,3,charts/041_2024-06-03.png
42,2025-01-27,,394.5,3,charts/042_2025-01-27.png
43,2025-02-03,bearish_miss,394.5,3,charts/043_2025-02-03.png
44,2026-02-16,,394.5,3,charts/044_2026-02-16.png
45,2020-05-11,bullish_hit,180.25,4,charts/045_2020-05-11.png
46,2024-12-16,bullish_hit,-155.25,4,charts/046_2024-12-16.png
47,2020-08-31,bullish_hit,-328.75,3,charts/047_2020-08-31.png
48,2020-12-07,bullish_hit,-124.25,4,charts/048_2020-12-07.png
49,2020-11-09,bullish_miss,-306.0,3,charts/049_2020-11-09.png
50,2021-02-15,bullish_hit,-306.0,3,charts/050_2021-02-15.png
51,2021-03-01,bearish_hit,-306.0,3,charts/051_2021-03-01.png
52,2021-08-16,,-306.0,3,charts/052_2021-08-16.png
53,2021-11-08,bullish_miss,-306.0,3,charts/053_2021-11-08.png
54,2021-11-22,bullish_hit,-306.0,3,charts/054_2021-11-22.png
55,2021-11-29,,-306.0,3,charts/055_2021-11-29.png
56,2023-06-26,,-306.0,3,charts/056_2023-06-26.png
57,2023-07-24,,-306.0,3,charts/057_2023-07-24.png
58,2023-08-28,,-306.0,3,charts/058_2023-08-28.png
59,2023-10-02,,-306.0,3,charts/059_2023-10-02.png
60,2024-02-12,bullish_hit,-306.0,3,charts/060_2024-02-12.png
61,2024-04-22,bearish_miss,-306.0,3,charts/061_2024-04-22.png
62,2025-04-07,bearish_miss,-306.0,3,charts/062_2025-04-07.png
63,2025-04-21,,-306.0,3,charts/063_2025-04-21.png
64,2025-11-03,bullish_miss,-306.0,3,charts/064_2025-11-03.png
65,2026-01-12,,-306.0,3,charts/065_2026-01-12.png
66,2026-03-16,,-306.0,3,charts/066_2026-03-16.png
67,2020-03-23,bearish_miss,496.5,2,charts/067_2020-03-23.png
68,2020-04-20,bullish_miss,496.5,2,charts/068_2020-04-20.png
69,2021-01-04,bullish_hit,496.5,2,charts/069_2021-01-04.png
70,2021-06-21,,496.5,2,charts/070_2021-06-21.png
71,2021-11-15,,496.5,2,charts/071_2021-11-15.png
72,2022-07-25,bullish_hit,496.5,2,charts/072_2022-07-25.png
73,2023-01-16,bullish_hit,496.5,2,charts/073_2023-01-16.png
74,2023-02-27,bearish_hit,496.5,2,charts/074_2023-02-27.png
75,2023-03-27,bullish_hit,496.5,2,charts/075_2023-03-27.png
76,2023-06-05,bullish_hit,496.5,2,charts/076_2023-06-05.png
77,2024-03-18,,496.5,2,charts/077_2024-03-18.png
78,2024-11-18,,496.5,2,charts/078_2024-11-18.png
79,2025-03-17,bearish_miss,496.5,2,charts/079_2025-03-17.png
80,2025-05-26,,496.5,2,charts/080_2025-05-26.png
