board,adds_filled,bars_1m,bars_4h,causality_mode,causality_violations,closed_dd_usd,dsr_trial,feature_snapshots,fee_mult,fee_per_unit,feed_tf,intrabar_stress_dd_usd,label,market,max_open_units,net_over_stress,net_usd,point_value,profit_factor,run_id,signal_tf,slippage_ticks,strategy_id,tick,trades,units,win_rate,notes,net_per_unit,stress_per_unit,net_per_point_value,stress_per_point_value
primary,268,3077535,13767,strict,0,-7227.949999999866,TRL-2026-00168,6023,1.0,1.5,1m,-7540.549999999868,frozen v1: week-1 half+EOW bull×hivol; +1/8h; max_adds=9,NAS100,12,3.343436486728512,25211.35000000024,1.0,2.139599059802034,primary_v1,4h,1.0,nas100_primary_v1,0.1,53,427,0.6323185011709602,,,,,
base,0,3077535,13767,strict,0,-4088.399999999965,TRL-2026-00168,6023,1.0,1.5,1m,-4400.999999999967,frozen base: week-1 half+EOW bull×hivol; no adds,NAS100,3,1.8247557373324423,8030.750000000019,1.0,1.8503547225751842,base_no_adds,4h,1.0,nas100_base_no_adds,0.1,53,159,0.6477987421383647,,,,,
stress,268,3077535,13767,strict,0,-7227.949999999866,TRL-2026-00168,6023,1.0,1.5,1m,-7540.549999999868,frozen v1: week-1 half+EOW bull×hivol; +1/8h; max_adds=9,NAS100,12,3.343436486728512,25211.35000000024,1.0,2.139599059802034,stress_slip_1tick,4h,1.0,nas100_stress_slip_1tick,0.1,53,427,0.6323185011709602,current / primary,,,,
stress,268,3077535,13767,strict,0,-7232.649999999969,TRL-2026-00168,6023,1.0,1.5,1m,-7545.249999999971,frozen v1: week-1 half+EOW bull×hivol; +1/8h; max_adds=9,NAS100,12,3.3329511944600823,25147.949999999837,1.0,2.1354091418045136,stress_slip_2tick,4h,2.0,nas100_stress_slip_2tick,0.1,53,427,0.6323185011709602,one extra adverse tick,,,,
stress,268,3077535,13767,strict,0,-7237.3499999999,TRL-2026-00168,6023,1.0,1.5,1m,-7549.9499999999025,frozen v1: week-1 half+EOW bull×hivol; +1/8h; max_adds=9,NAS100,12,3.3224789568143835,25084.550000000432,1.0,2.131228973690649,stress_slip_3tick,4h,3.0,nas100_stress_slip_3tick,0.1,53,427,0.6323185011709602,two extra adverse ticks,,,,
stress,268,3077535,13767,strict,0,-7275.949999999866,TRL-2026-00168,6023,2.0,3.0,1m,-7588.549999999868,frozen v1: week-1 half+EOW bull×hivol; +1/8h; max_adds=9,NAS100,12,3.237884707882358,24570.85000000024,1.0,2.098931742911661,stress_fee_2x,4h,1.0,nas100_stress_fee_2x,0.1,53,427,0.629976580796253,2× all-in fee (re-audit via fee_mult),,,,
stress,268,3077535,13767,strict,0,-7323.949999999866,TRL-2026-00168,6023,3.0,4.5,1m,-7636.549999999868,frozen v1: week-1 half+EOW bull×hivol; +1/8h; max_adds=9,NAS100,12,3.1336598333017727,23930.35000000024,1.0,2.059059517566296,stress_fee_3x,4h,1.0,nas100_stress_fee_3x,0.1,53,427,0.629976580796253,3× all-in fee,,,,
stress,262,3077535,13767,strict,0,-7585.099999999817,TRL-2026-00168,5899,1.0,1.5,1m,-7897.699999999819,frozen v1: week-1 half+EOW bull×hivol; +1/8h; max_adds=9,NAS100,12,3.1975511857883605,25253.300000000156,1.0,2.178947908983124,stress_fri_12,4h,1.0,nas100_stress_fri_12,0.1,53,421,0.6437054631828978,Friday 12:00 NY,,,,
stress,277,3077535,13767,strict,0,-6735.0499999998465,TRL-2026-00168,6259,1.0,1.5,1m,-7047.649999999849,frozen v1: week-1 half+EOW bull×hivol; +1/8h; max_adds=9,NAS100,12,3.5962342057282624,25345.000000000244,1.0,2.0449327256273557,stress_fri_14,4h,1.0,nas100_stress_fri_14,0.1,56,445,0.6269662921348315,Friday 14:00 NY,,,,
stress,123,3077535,13767,strict,0,-5308.549999999919,TRL-2026-00168,6023,1.0,1.5,1m,-5621.149999999921,frozen v1: week-1 half+EOW bull×hivol; +1/8h; max_adds=9,NAS100,7,2.83367282495581,15928.500000000127,1.0,2.0623107601606097,stress_add_every_16h,4h,1.0,nas100_stress_add_every_16h,0.1,53,282,0.6418439716312057,every second 8h add only,,,,
stress,260,3077535,13767,strict,0,-7227.949999999866,TRL-2026-00168,6023,1.0,1.5,1m,-7540.549999999868,frozen v1: week-1 half+EOW bull×hivol; +1/8h; max_adds=9,NAS100,11,3.2034533290012868,24155.800000000232,1.0,2.0930646653830753,stress_max_adds_8,4h,1.0,nas100_stress_max_adds_8,0.1,53,419,0.6276849642004774,drop final add capacity,,,,
stress,160,3077535,13767,strict,0,-6642.5999999999185,TRL-2026-00168,6023,1.0,1.5,1m,-6955.199999999921,frozen v1: week-1 half+EOW bull×hivol; +1/8h; max_adds=9,NAS100,7,2.575986312399403,17916.500000000124,1.0,1.957609997006895,stress_max_adds_4,4h,1.0,nas100_stress_max_adds_4,0.1,53,319,0.6269592476489029,first N-ish adds only,,,,
stress,0,3077535,13767,strict,0,-4088.399999999965,TRL-2026-00168,6023,1.0,1.5,1m,-4400.999999999967,frozen base: week-1 half+EOW bull×hivol; no adds,NAS100,3,1.8247557373324423,8030.750000000019,1.0,1.8503547225751842,stress_no_adds,4h,1.0,nas100_stress_no_adds,0.1,53,159,0.6477987421383647,add availability off,,,,
neighborhood,268,3077535,13767,strict,0,-7227.949999999866,TRL-2026-00168,6023,1.0,1.5,1m,-7540.549999999868,frozen v1: week-1 half+EOW bull×hivol; +1/8h; max_adds=9,NAS100,12,3.343436486728512,25211.35000000024,1.0,2.139599059802034,neigh_w1_primary,4h,1.0,nas100_neigh_w1_primary,0.1,53,427,0.6323185011709602,,,,,
neighborhood,879,3077535,13767,strict,0,-15142.600000000526,TRL-2026-00168,7739,1.0,1.5,1m,-15198.700000000528,frozen v1: week-1 half+EOW bull×hivol; +1/8h; max_adds=9,NAS100,12,2.0284432221176534,30829.700000000652,1.0,1.3742404047613934,neigh_no_week_gate,4h,1.0,nas100_neigh_no_week_gate,0.1,197,1470,0.5299319727891156,,,,,
neighborhood,323,3077535,13767,strict,0,-8698.299999999836,TRL-2026-00168,6023,1.0,1.5,1m,-9010.899999999838,frozen v1: week-1 half+EOW bull×hivol; +1/8h; max_adds=9,NAS100,12,3.0396741723913014,27390.200000000284,1.0,2.02595009251839,neigh_add_6h,4h,1.0,nas100_neigh_add_6h,0.1,53,482,0.6203319502074689,,,,,
neighborhood,268,3077535,13767,strict,0,-7227.949999999866,TRL-2026-00168,6023,1.0,1.5,1m,-7540.549999999868,frozen v1: week-1 half+EOW bull×hivol; +1/8h; max_adds=9,NAS100,12,3.343436486728512,25211.35000000024,1.0,2.139599059802034,neigh_add_8h,4h,1.0,nas100_neigh_add_8h,0.1,53,427,0.6323185011709602,,,,,
neighborhood,212,3077535,13767,strict,0,-6747.699999999881,TRL-2026-00168,6023,1.0,1.5,1m,-7060.299999999883,frozen v1: week-1 half+EOW bull×hivol; +1/8h; max_adds=9,NAS100,10,2.9859141962806883,21081.450000000194,1.0,2.0778388465668156,neigh_add_10h,4h,1.0,nas100_neigh_add_10h,0.1,53,371,0.6253369272237197,,,,,
