broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,remaining_quantity,status,limit_price,stop_price,reduce_only,bracket_role,parent_order_id,oco_group,live_after_ts,expires_after_ts,created_at,updated_at
ord_09da23824c86,intent_4a2a71d078f9,es_wo_gap_reversal,es_wo_gap_reversal-WOGAP-00001,ES,paper,sell,limit,1,1,cancelled,1056.5,,false,entry,,,2010-06-07T16:00:00-04:00,,2026-05-28T21:37:59Z,2026-05-28T21:37:59Z
ord_bd76f37df50d,intent_db251a740477,es_wo_gap_reversal,es_wo_gap_reversal-WOGAP-00001,ES,paper,sell,limit,1,1,cancelled,1056.5,,false,runner_entry,,,2010-06-07T16:00:00-04:00,,2026-05-28T21:37:59Z,2026-05-28T21:37:59Z
ord_73b9d714f04c,intent_4fd2d6d4dab7,es_wo_gap_reversal,es_wo_gap_reversal-WOGAP-00002,ES,paper,buy,limit,1,1,cancelled,1056.5,,false,entry,,,2010-06-09T07:00:00-04:00,,2026-05-28T21:37:59Z,2026-05-28T21:37:59Z
ord_e22c785dbd8b,intent_1618832da26f,es_wo_gap_reversal,es_wo_gap_reversal-WOGAP-00002,ES,paper,buy,limit,1,1,cancelled,1056.5,,false,runner_entry,,,2010-06-09T07:00:00-04:00,,2026-05-28T21:37:59Z,2026-05-28T21:37:59Z
ord_909904eb78c8,intent_2d953368824b,es_wo_gap_reversal,es_wo_gap_reversal-WOGAP-00003,ES,paper,buy,limit,1,1,cancelled,1090.25,,false,entry,,,2010-06-14T05:00:00-04:00,,2026-05-28T21:37:59Z,2026-05-28T21:37:59Z
ord_6576b34a24fe,intent_72ff4eed61fb,es_wo_gap_reversal,es_wo_gap_reversal-WOGAP-00003,ES,paper,buy,limit,1,1,cancelled,1090.25,,false,runner_entry,,,2010-06-14T05:00:00-04:00,,2026-05-28T21:37:59Z,2026-05-28T21:37:59Z
ord_70b383d230ac,intent_a799b29a7646,es_wo_gap_reversal,es_wo_gap_reversal-WOGAP-00004,ES,paper,sell,limit,1,1,cancelled,1090.25,,false,entry,,,2010-06-14T16:00:00-04:00,,2026-05-28T21:37:59Z,2026-05-28T21:37:59Z
ord_f6675d8c9e25,intent_7ccbb2dc9e22,es_wo_gap_reversal,es_wo_gap_reversal-WOGAP-00004,ES,paper,sell,limit,1,1,cancelled,1090.25,,false,runner_entry,,,2010-06-14T16:00:00-04:00,,2026-05-28T21:37:59Z,2026-05-28T21:37:59Z
ord_b8f5f87f3da0,intent_6eca2f432dc4,es_wo_gap_reversal,es_wo_gap_reversal-WOGAP-00005,ES,paper,sell,limit,1,1,cancelled,1124.25,,false,entry,,,2010-06-21T11:00:00-04:00,,2026-05-28T21:37:59Z,2026-05-28T21:37:59Z
ord_36d41163b05a,intent_a0deb56fa89b,es_wo_gap_reversal,es_wo_gap_reversal-WOGAP-00005,ES,paper,sell,limit,1,1,cancelled,1124.25,,false,runner_entry,,,2010-06-21T11:00:00-04:00,,2026-05-28T21:37:59Z,2026-05-28T21:37:59Z
ord_4ecfeab78a1e,intent_280732e6a636,es_wo_gap_reversal,es_wo_gap_reversal-WOGAP-00006,ES,paper,buy,limit,1,0,filled,1016.75,,false,entry,,,2010-07-05T02:00:00-04:00,,2026-05-28T21:37:59Z,2026-05-28T21:37:59Z
ord_064fc929d3bd,intent_563531629076,es_wo_gap_reversal,es_wo_gap_reversal-WOGAP-00006,ES,paper,buy,limit,1,0,filled,1016.75,,false,runner_entry,,,2010-07-05T02:00:00-04:00,,2026-05-28T21:37:59Z,2026-05-28T21:37:59Z
