intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_7450da08f119,mes_wo_gap_reversal,mes_wo_gap_reversal-WOGAP-00001,MES,paper,sell,limit,1,2892.0,,entry,submitted,false,,,false,entry,2942.0,2842.0,,GTC,2019-05-08T05:00:00-04:00,,2026-05-28T21:42:05Z,2026-05-28T21:42:05Z
intent_50b907f41a04,mes_wo_gap_reversal,mes_wo_gap_reversal-WOGAP-00001,MES,paper,sell,limit,1,2892.0,,entry,submitted,false,,,false,runner_entry,2942.0,2592.0,,GTC,2019-05-08T05:00:00-04:00,,2026-05-28T21:42:05Z,2026-05-28T21:42:05Z
intent_6d9167f0060e,mes_wo_gap_reversal,mes_wo_gap_reversal-WOGAP-00002,MES,paper,sell,limit,1,2858.5,,entry,submitted,false,,,false,entry,2908.5,2808.5,,GTC,2019-05-17T09:00:00-04:00,,2026-05-28T21:42:05Z,2026-05-28T21:42:05Z
intent_5dac29387c0d,mes_wo_gap_reversal,mes_wo_gap_reversal-WOGAP-00002,MES,paper,sell,limit,1,2858.5,,entry,submitted,false,,,false,runner_entry,2908.5,2558.5,,GTC,2019-05-17T09:00:00-04:00,,2026-05-28T21:42:05Z,2026-05-28T21:42:05Z
intent_17b32b8eaca3,mes_wo_gap_reversal,mes_wo_gap_reversal-WOGAP-00002,MES,paper,buy,stop,1,,2908.5,protective_stop,submitted,false,,intent_6d9167f0060e,true,stop,,,ord_3607e2654c4b_bracket,GTC,,,2026-05-28T21:42:05Z,2026-05-28T21:42:05Z
intent_b38eb51cba43,mes_wo_gap_reversal,mes_wo_gap_reversal-WOGAP-00002,MES,paper,buy,limit,1,2808.5,,target,submitted,false,,intent_6d9167f0060e,true,target,,,ord_3607e2654c4b_bracket,GTC,,,2026-05-28T21:42:05Z,2026-05-28T21:42:05Z
intent_a59abb741d7b,mes_wo_gap_reversal,mes_wo_gap_reversal-WOGAP-00002,MES,paper,buy,stop,1,,2908.5,protective_stop,submitted,false,,intent_5dac29387c0d,true,runner_stop,,,ord_d7743836c1cb_bracket,GTC,,,2026-05-28T21:42:05Z,2026-05-28T21:42:05Z
intent_eb338832d3b4,mes_wo_gap_reversal,mes_wo_gap_reversal-WOGAP-00002,MES,paper,buy,limit,1,2558.5,,target,submitted,false,,intent_5dac29387c0d,true,target,,,ord_d7743836c1cb_bracket,GTC,,,2026-05-28T21:42:05Z,2026-05-28T21:42:05Z
intent_596fb36c01d8,mes_wo_gap_reversal,mes_wo_gap_reversal-WOGAP-00002,MES,paper,buy,market,2,,,week_roll_close,submitted,false,,,true,close,,,,GTC,2019-05-20T00:00:00-04:00,,2026-05-28T21:42:05Z,2026-05-28T21:42:05Z
intent_ae8a390748a4,mes_wo_gap_reversal,mes_wo_gap_reversal-WOGAP-00003,MES,paper,sell,limit,1,2959.25,,entry,submitted,false,,,false,entry,3009.25,2909.25,,GTC,2019-06-24T02:00:00-04:00,,2026-05-28T21:42:05Z,2026-05-28T21:42:05Z
