intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_f47136fb8683,ym_wo_gap_reversal,ym_wo_gap_reversal-WOGAP-00001,YM,paper,buy,limit,1,9856.0,,entry,submitted,false,,,false,entry,9806.0,9906.0,,GTC,2010-06-08T02:00:00-04:00,,2026-05-28T21:40:58Z,2026-05-28T21:40:58Z
intent_7d68a5be47c4,ym_wo_gap_reversal,ym_wo_gap_reversal-WOGAP-00001,YM,paper,buy,limit,1,9856.0,,entry,submitted,false,,,false,runner_entry,9806.0,10156.0,,GTC,2010-06-08T02:00:00-04:00,,2026-05-28T21:40:58Z,2026-05-28T21:40:58Z
intent_e50cf462a070,ym_wo_gap_reversal,ym_wo_gap_reversal-WOGAP-00001,YM,paper,sell,stop,1,,9806.0,protective_stop,submitted,false,,intent_f47136fb8683,true,stop,,,ord_175c0f3ebdd0_bracket,GTC,,,2026-05-28T21:40:58Z,2026-05-28T21:40:58Z
intent_a33c013d79de,ym_wo_gap_reversal,ym_wo_gap_reversal-WOGAP-00001,YM,paper,sell,limit,1,9906.0,,target,submitted,false,,intent_f47136fb8683,true,target,,,ord_175c0f3ebdd0_bracket,GTC,,,2026-05-28T21:40:58Z,2026-05-28T21:40:58Z
intent_a8ebdc262040,ym_wo_gap_reversal,ym_wo_gap_reversal-WOGAP-00001,YM,paper,sell,stop,1,,9806.0,protective_stop,submitted,false,,intent_7d68a5be47c4,true,runner_stop,,,ord_6c776d1834a4_bracket,GTC,,,2026-05-28T21:40:58Z,2026-05-28T21:40:58Z
intent_04045e251be8,ym_wo_gap_reversal,ym_wo_gap_reversal-WOGAP-00001,YM,paper,sell,limit,1,10156.0,,target,submitted,false,,intent_7d68a5be47c4,true,target,,,ord_6c776d1834a4_bracket,GTC,,,2026-05-28T21:40:58Z,2026-05-28T21:40:58Z
intent_2efa7f6a4648,ym_wo_gap_reversal,ym_wo_gap_reversal-WOGAP-00002,YM,paper,sell,limit,1,9856.0,,entry,submitted,false,,,false,entry,9906.0,9806.0,,GTC,2010-06-08T05:00:00-04:00,,2026-05-28T21:40:58Z,2026-05-28T21:40:58Z
intent_e2706477fae3,ym_wo_gap_reversal,ym_wo_gap_reversal-WOGAP-00002,YM,paper,sell,limit,1,9856.0,,entry,submitted,false,,,false,runner_entry,9906.0,9556.0,,GTC,2010-06-08T05:00:00-04:00,,2026-05-28T21:40:58Z,2026-05-28T21:40:58Z
intent_729bd64c98bf,ym_wo_gap_reversal,ym_wo_gap_reversal-WOGAP-00002,YM,paper,buy,stop,1,,9906.0,protective_stop,submitted,false,,intent_2efa7f6a4648,true,stop,,,ord_9dcf781eeeab_bracket,GTC,,,2026-05-28T21:40:58Z,2026-05-28T21:40:58Z
intent_641250f674be,ym_wo_gap_reversal,ym_wo_gap_reversal-WOGAP-00002,YM,paper,buy,limit,1,9806.0,,target,submitted,false,,intent_2efa7f6a4648,true,target,,,ord_9dcf781eeeab_bracket,GTC,,,2026-05-28T21:40:58Z,2026-05-28T21:40:58Z
intent_39cb0161b633,ym_wo_gap_reversal,ym_wo_gap_reversal-WOGAP-00002,YM,paper,buy,stop,1,,9906.0,protective_stop,submitted,false,,intent_e2706477fae3,true,runner_stop,,,ord_a786c22a0b78_bracket,GTC,,,2026-05-28T21:40:58Z,2026-05-28T21:40:58Z
