verification_id,intent_id,strategy_id,account_mode,status,challenge,created_at,approved_at
verify_2f4b8ce3918b,intent_c9f32ee35b9e,mnq_yorb_sizing_L_1_2_4,paper,approved,SPOOF-e35b9e,2026-05-21T20:33:20Z,2026-05-21T20:33:20Z
verify_4b9e0c6d3f98,intent_3ac4e07ce40b,mnq_yorb_sizing_L_1_2_4,paper,approved,SPOOF-7ce40b,2026-05-21T20:33:20Z,2026-05-21T20:33:20Z
verify_811f5c79bf0f,intent_092132344f61,mnq_yorb_sizing_L_1_2_4,paper,approved,SPOOF-344f61,2026-05-21T20:33:20Z,2026-05-21T20:33:20Z
verify_655935ea234b,intent_c43d4acb8aae,mnq_yorb_sizing_L_1_2_4,paper,approved,SPOOF-cb8aae,2026-05-21T20:33:20Z,2026-05-21T20:33:20Z
verify_2430b776c6f8,intent_b5eacc0526b1,mnq_yorb_sizing_L_1_2_4,paper,approved,SPOOF-0526b1,2026-05-21T20:33:20Z,2026-05-21T20:33:20Z
verify_eb7e43164d15,intent_b454cf45a1c6,mnq_yorb_sizing_L_1_2_4,paper,approved,SPOOF-45a1c6,2026-05-21T20:33:20Z,2026-05-21T20:33:20Z
verify_39fa23fb6a5a,intent_21d1461e01f6,mnq_yorb_sizing_L_1_2_4,paper,approved,SPOOF-1e01f6,2026-05-21T20:33:20Z,2026-05-21T20:33:20Z
verify_aa248944138e,intent_1256e01bd1e9,mnq_yorb_sizing_L_1_2_4,paper,approved,SPOOF-1bd1e9,2026-05-21T20:33:20Z,2026-05-21T20:33:20Z
verify_b64700546fa8,intent_cc476a0aae6a,mnq_yorb_sizing_L_1_2_4,paper,approved,SPOOF-0aae6a,2026-05-21T20:33:20Z,2026-05-21T20:33:20Z
verify_3f29245a2e06,intent_3184dc305462,mnq_yorb_sizing_L_1_2_4,paper,approved,SPOOF-305462,2026-05-21T20:33:20Z,2026-05-21T20:33:20Z
verify_94116dd1358b,intent_abcce5487ff2,mnq_yorb_sizing_L_1_2_4,paper,approved,SPOOF-487ff2,2026-05-21T20:33:20Z,2026-05-21T20:33:20Z
verify_16528e806038,intent_a1ee1103b218,mnq_yorb_sizing_L_1_2_4,paper,approved,SPOOF-03b218,2026-05-21T20:33:20Z,2026-05-21T20:33:20Z
