intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_411a256631e1,mnq_yorb_sizing_L_2_2_4,mnq_yorb_sizing_L_2_2_4_2020_01,MNQ,paper,buy,limit,2,9763.0,,long_tp25_entry,submitted,true,verify_3bb917ce2041,,false,entry,9572.5,10546.5625,,GTC,2020-06-05,2020-12-31T23:59:59,2026-05-21T20:33:30Z,2026-05-21T20:33:30Z
intent_f12fda8a9f48,mnq_yorb_sizing_L_2_2_4,mnq_yorb_sizing_L_2_2_4_2020_01,MNQ,paper,buy,limit,2,9763.0,,long_tp_entry,submitted,true,verify_1a1c12c5124f,,false,entry,9572.5,12897.25,,GTC,2020-06-05,2020-12-31T23:59:59,2026-05-21T20:33:30Z,2026-05-21T20:33:30Z
intent_2d8141ed20f0,mnq_yorb_sizing_L_2_2_4,mnq_yorb_sizing_L_2_2_4_2020_01,MNQ,paper,buy,limit,4,9763.0,,long_runner_entry,submitted,true,verify_21ddac2547a6,,false,runner_entry,9572.5,,,GTC,2020-06-05,2020-12-31T23:59:59,2026-05-21T20:33:30Z,2026-05-21T20:33:30Z
intent_37dbd1ab676f,mnq_yorb_sizing_L_2_2_4,mnq_yorb_sizing_L_2_2_4_2020_01,MNQ,paper,sell,stop,2,,9572.5,protective_stop,submitted,false,,intent_411a256631e1,true,stop,,,ord_6b177f4cafaa_bracket,GTC,,,2026-05-21T20:33:30Z,2026-05-21T20:33:30Z
intent_7e4d29939d08,mnq_yorb_sizing_L_2_2_4,mnq_yorb_sizing_L_2_2_4_2020_01,MNQ,paper,sell,limit,2,10546.5625,,target,submitted,false,,intent_411a256631e1,true,target,,,ord_6b177f4cafaa_bracket,GTC,,,2026-05-21T20:33:30Z,2026-05-21T20:33:30Z
intent_d53d6fdcba95,mnq_yorb_sizing_L_2_2_4,mnq_yorb_sizing_L_2_2_4_2020_01,MNQ,paper,sell,stop,2,,9572.5,protective_stop,submitted,false,,intent_f12fda8a9f48,true,stop,,,ord_a61b749c725c_bracket,GTC,,,2026-05-21T20:33:30Z,2026-05-21T20:33:30Z
intent_48781777c7e8,mnq_yorb_sizing_L_2_2_4,mnq_yorb_sizing_L_2_2_4_2020_01,MNQ,paper,sell,limit,2,12897.25,,target,submitted,false,,intent_f12fda8a9f48,true,target,,,ord_a61b749c725c_bracket,GTC,,,2026-05-21T20:33:30Z,2026-05-21T20:33:30Z
intent_e81d2fecc3d9,mnq_yorb_sizing_L_2_2_4,mnq_yorb_sizing_L_2_2_4_2020_01,MNQ,paper,sell,stop,4,,9572.5,protective_stop,submitted,false,,intent_2d8141ed20f0,true,runner_stop,,,ord_b183f3fc786a_bracket,GTC,,,2026-05-21T20:33:30Z,2026-05-21T20:33:30Z
intent_ce6063c62593,mnq_yorb_sizing_L_2_2_4,mnq_yorb_sizing_L_2_2_4_2020_01,MNQ,paper,sell,market,8,,,range_close,submitted,false,,,true,close,,,,GTC,,,2026-05-21T20:33:30Z,2026-05-21T20:33:30Z
intent_2759b4a82df0,mnq_yorb_sizing_L_2_2_4,mnq_yorb_sizing_L_2_2_4_2020_02,MNQ,paper,buy,limit,2,9763.0,,long_tp25_entry,submitted,true,verify_6a55b06105d9,,false,entry,9572.5,10546.5625,,GTC,2020-06-15,2020-12-31T23:59:59,2026-05-21T20:33:30Z,2026-05-21T20:33:30Z
intent_ece808bb5b66,mnq_yorb_sizing_L_2_2_4,mnq_yorb_sizing_L_2_2_4_2020_02,MNQ,paper,buy,limit,2,9763.0,,long_tp_entry,submitted,true,verify_29096c082737,,false,entry,9572.5,12897.25,,GTC,2020-06-15,2020-12-31T23:59:59,2026-05-21T20:33:30Z,2026-05-21T20:33:30Z
intent_a89d3118853f,mnq_yorb_sizing_L_2_2_4,mnq_yorb_sizing_L_2_2_4_2020_02,MNQ,paper,buy,limit,4,9763.0,,long_runner_entry,submitted,true,verify_8c43ea64cb98,,false,runner_entry,9572.5,,,GTC,2020-06-15,2020-12-31T23:59:59,2026-05-21T20:33:30Z,2026-05-21T20:33:30Z
intent_2b9e9b924ede,mnq_yorb_sizing_L_2_2_4,mnq_yorb_sizing_L_2_2_4_2020_02,MNQ,paper,sell,stop,2,,9572.5,protective_stop,submitted,false,,intent_ece808bb5b66,true,stop,,,ord_46ce4761fdd7_bracket,GTC,,,2026-05-21T20:33:30Z,2026-05-21T20:33:30Z
intent_ce93270a2bc6,mnq_yorb_sizing_L_2_2_4,mnq_yorb_sizing_L_2_2_4_2020_02,MNQ,paper,sell,limit,2,12897.25,,target,submitted,false,,intent_ece808bb5b66,true,target,,,ord_46ce4761fdd7_bracket,GTC,,,2026-05-21T20:33:30Z,2026-05-21T20:33:30Z
intent_1e7f19adb5ae,mnq_yorb_sizing_L_2_2_4,mnq_yorb_sizing_L_2_2_4_2020_02,MNQ,paper,sell,stop,2,,9572.5,protective_stop,submitted,false,,intent_2759b4a82df0,true,stop,,,ord_822a78e8baa4_bracket,GTC,,,2026-05-21T20:33:30Z,2026-05-21T20:33:30Z
intent_e829b33871e5,mnq_yorb_sizing_L_2_2_4,mnq_yorb_sizing_L_2_2_4_2020_02,MNQ,paper,sell,limit,2,10546.5625,,target,submitted,false,,intent_2759b4a82df0,true,target,,,ord_822a78e8baa4_bracket,GTC,,,2026-05-21T20:33:30Z,2026-05-21T20:33:30Z
intent_7de5210d6562,mnq_yorb_sizing_L_2_2_4,mnq_yorb_sizing_L_2_2_4_2020_02,MNQ,paper,sell,stop,4,,9572.5,protective_stop,submitted,false,,intent_a89d3118853f,true,runner_stop,,,ord_8a4fa4a73f03_bracket,GTC,,,2026-05-21T20:33:30Z,2026-05-21T20:33:30Z
intent_57102d7499f9,mnq_yorb_sizing_L_2_2_4,mnq_yorb_sizing_L_2_2_4_2020_02,MNQ,paper,sell,market,4,,,year_change,submitted,false,,,true,close,,,,GTC,,,2026-05-21T20:33:30Z,2026-05-21T20:33:30Z
intent_a9d30357dbe4,mnq_yorb_sizing_L_2_2_4,mnq_yorb_sizing_L_2_2_4_2021_01,MNQ,paper,buy,limit,2,13900.75,,long_tp25_entry,submitted,true,verify_300b059c3653,,false,entry,13731.75,14324.0625,,GTC,2021-04-13,2021-12-31T23:59:59,2026-05-21T20:33:31Z,2026-05-21T20:33:31Z
intent_88bfc8b24494,mnq_yorb_sizing_L_2_2_4,mnq_yorb_sizing_L_2_2_4_2021_01,MNQ,paper,buy,limit,2,13900.75,,long_tp_entry,submitted,true,verify_d8d5c1bbf375,,false,entry,13731.75,15594.0,,GTC,2021-04-13,2021-12-31T23:59:59,2026-05-21T20:33:31Z,2026-05-21T20:33:31Z
