broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,remaining_quantity,status,limit_price,stop_price,reduce_only,bracket_role,parent_order_id,oco_group,live_after_ts,expires_after_ts,created_at,updated_at
ord_794b35f48123,intent_f29f25e61014,nq_yorb_sizing_L_1_1_1_rc20,nq_yorb_sizing_L_1_1_1_rc20_2011_01,NQ,paper,buy,limit,1,0,filled,2403.0,,false,entry,,,2011-04-27,2011-12-31T23:59:59,2026-05-21T20:35:12Z,2026-05-21T20:35:12Z
ord_25fe4aa82dc6,intent_341e5489251b,nq_yorb_sizing_L_1_1_1_rc20,nq_yorb_sizing_L_1_1_1_rc20_2011_01,NQ,paper,buy,limit,1,0,filled,2403.0,,false,entry,,,2011-04-27,2011-12-31T23:59:59,2026-05-21T20:35:12Z,2026-05-21T20:35:12Z
ord_76fd7b4f656a,intent_7d5f872fba34,nq_yorb_sizing_L_1_1_1_rc20,nq_yorb_sizing_L_1_1_1_rc20_2011_01,NQ,paper,buy,limit,1,0,filled,2403.0,,false,runner_entry,,,2011-04-27,2011-12-31T23:59:59,2026-05-21T20:35:12Z,2026-05-21T20:35:12Z
ord_3c63d2d4e088,intent_1f77878e70d7,nq_yorb_sizing_L_1_1_1_rc20,nq_yorb_sizing_L_1_1_1_rc20_2011_01,NQ,paper,sell,stop,1,1,cancelled,,2250.25,true,stop,ord_25fe4aa82dc6,ord_25fe4aa82dc6_bracket,,,2026-05-21T20:35:12Z,2026-05-21T20:35:12Z
ord_5b427b164a99,intent_eb6f8f1902fe,nq_yorb_sizing_L_1_1_1_rc20,nq_yorb_sizing_L_1_1_1_rc20_2011_01,NQ,paper,sell,limit,1,1,cancelled,2620.25,,true,target,ord_25fe4aa82dc6,ord_25fe4aa82dc6_bracket,,,2026-05-21T20:35:12Z,2026-05-21T20:35:12Z
ord_e4e818f3141c,intent_b1a06919b51b,nq_yorb_sizing_L_1_1_1_rc20,nq_yorb_sizing_L_1_1_1_rc20_2011_01,NQ,paper,sell,stop,1,1,cancelled,,2250.25,true,runner_stop,ord_76fd7b4f656a,ord_76fd7b4f656a_bracket,,,2026-05-21T20:35:12Z,2026-05-21T20:35:12Z
ord_97bae6e7567a,intent_3e05a0c09dd5,nq_yorb_sizing_L_1_1_1_rc20,nq_yorb_sizing_L_1_1_1_rc20_2011_01,NQ,paper,sell,stop,1,1,cancelled,,2250.25,true,stop,ord_794b35f48123,ord_794b35f48123_bracket,,,2026-05-21T20:35:12Z,2026-05-21T20:35:12Z
ord_cc0aa1c35571,intent_008ef7eaac7e,nq_yorb_sizing_L_1_1_1_rc20,nq_yorb_sizing_L_1_1_1_rc20_2011_01,NQ,paper,sell,limit,1,1,cancelled,2457.3125,,true,target,ord_794b35f48123,ord_794b35f48123_bracket,,,2026-05-21T20:35:12Z,2026-05-21T20:35:12Z
ord_bdad1aa07713,intent_bfd4c618a5a6,nq_yorb_sizing_L_1_1_1_rc20,nq_yorb_sizing_L_1_1_1_rc20_2011_01,NQ,paper,sell,market,3,0,filled,,,true,close,,,,,2026-05-21T20:35:12Z,2026-05-21T20:35:12Z
ord_0d1d0141b9d5,intent_911f4c6303e1,nq_yorb_sizing_L_1_1_1_rc20,nq_yorb_sizing_L_1_1_1_rc20_2011_02,NQ,paper,sell,limit,1,0,filled,2185.75,,false,entry,,,2011-06-19,2011-12-31T23:59:59,2026-05-21T20:35:12Z,2026-05-21T20:35:12Z
