alert_id,strategy_id,level,message,payload_json,status,created_at
alert_0f40be9c17da,nq_yorb_sizing_L_1_1_3,order_pending_verification,Yearly ORB long retest order intent created,{},sent,2026-05-21T20:44:10Z
alert_f419c491d82f,nq_yorb_sizing_L_1_1_3,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-21T20:44:10Z
alert_4027391b4747,nq_yorb_sizing_L_1_1_3,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-21T20:44:10Z
alert_30a16946972a,nq_yorb_sizing_L_1_1_3,order_submitted,Submitted buy 3 NQ,{},sent,2026-05-21T20:44:10Z
alert_dcab712eab05,nq_yorb_sizing_L_1_1_3,info,Yearly ORB range-close exit requested,{},sent,2026-05-21T20:44:10Z
alert_290bd0d42b62,nq_yorb_sizing_L_1_1_3,order_submitted,Submitted sell 5 NQ,{},sent,2026-05-21T20:44:10Z
alert_dbc2f33e3a86,nq_yorb_sizing_L_1_1_3,order_pending_verification,Yearly ORB long retest order intent created,{},sent,2026-05-21T20:44:10Z
alert_130186f37873,nq_yorb_sizing_L_1_1_3,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-21T20:44:10Z
alert_353dea7d90c4,nq_yorb_sizing_L_1_1_3,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-21T20:44:10Z
alert_b97a38118474,nq_yorb_sizing_L_1_1_3,order_submitted,Submitted buy 3 NQ,{},sent,2026-05-21T20:44:10Z
alert_67d0e9bff76f,nq_yorb_sizing_L_1_1_3,info,Yearly ORB range-close exit requested,{},sent,2026-05-21T20:44:10Z
alert_d8e5777f7d2e,nq_yorb_sizing_L_1_1_3,order_submitted,Submitted sell 5 NQ,{},sent,2026-05-21T20:44:10Z
alert_d88f8c109d13,nq_yorb_sizing_L_1_1_3,order_pending_verification,Yearly ORB long retest order intent created,{},sent,2026-05-21T20:44:10Z
alert_cc0cd250a364,nq_yorb_sizing_L_1_1_3,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-21T20:44:10Z
alert_3f8e657ddd29,nq_yorb_sizing_L_1_1_3,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-21T20:44:10Z
alert_c1f7937b1833,nq_yorb_sizing_L_1_1_3,order_submitted,Submitted buy 3 NQ,{},sent,2026-05-21T20:44:10Z
alert_07aae1b4f1a0,nq_yorb_sizing_L_1_1_3,order_pending_verification,Yearly ORB long retest order intent created,{},sent,2026-05-21T20:44:10Z
alert_384de3d12628,nq_yorb_sizing_L_1_1_3,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-21T20:44:10Z
alert_7740de3b36e1,nq_yorb_sizing_L_1_1_3,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-21T20:44:10Z
alert_b66bb95f432b,nq_yorb_sizing_L_1_1_3,order_submitted,Submitted buy 3 NQ,{},sent,2026-05-21T20:44:10Z
alert_0aee4bb4c708,nq_yorb_sizing_L_1_1_3,order_pending_verification,Yearly ORB short retest order intent created,{},sent,2026-05-21T20:44:10Z
alert_a73e75547975,nq_yorb_sizing_L_1_1_3,order_submitted,Submitted sell 1 NQ,{},sent,2026-05-21T20:44:10Z
alert_46016fa90542,nq_yorb_sizing_L_1_1_3,order_submitted,Submitted sell 1 NQ,{},sent,2026-05-21T20:44:10Z
alert_056d66c896cd,nq_yorb_sizing_L_1_1_3,order_submitted,Submitted sell 3 NQ,{},sent,2026-05-21T20:44:10Z
alert_ae19ed40df68,nq_yorb_sizing_L_1_1_3,info,Yearly ORB range-close exit requested,{},sent,2026-05-21T20:44:10Z
alert_e7464991707f,nq_yorb_sizing_L_1_1_3,order_submitted,Submitted buy 5 NQ,{},sent,2026-05-21T20:44:10Z
alert_b1570688a876,nq_yorb_sizing_L_1_1_3,order_pending_verification,Yearly ORB long retest order intent created,{},sent,2026-05-21T20:44:10Z
alert_515e4007aca1,nq_yorb_sizing_L_1_1_3,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-21T20:44:10Z
alert_e4113ec9786c,nq_yorb_sizing_L_1_1_3,order_submitted,Submitted buy 1 NQ,{},sent,2026-05-21T20:44:10Z
alert_e7147950c0b8,nq_yorb_sizing_L_1_1_3,order_submitted,Submitted buy 3 NQ,{},sent,2026-05-21T20:44:10Z
alert_18c0631ae981,nq_yorb_sizing_L_1_1_3,info,Yearly ORB range-close exit requested,{},sent,2026-05-21T20:44:10Z
alert_4850cae885e8,nq_yorb_sizing_L_1_1_3,order_submitted,Submitted sell 5 NQ,{},sent,2026-05-21T20:44:10Z
alert_293d267e6da0,nq_yorb_sizing_L_1_1_3,order_pending_verification,Yearly ORB long retest order intent created,{},sent,2026-05-21T20:44:10Z
