broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,remaining_quantity,status,limit_price,stop_price,reduce_only,bracket_role,parent_order_id,oco_group,live_after_ts,expires_after_ts,created_at,updated_at
ord_be6c54031086,intent_6cff75f4d363,nq_yorb_sizing_L_2_1_1,nq_yorb_sizing_L_2_1_1_2011_01,NQ,paper,buy,limit,2,0,filled,2403.0,,false,entry,,,2011-04-27,2011-12-31T23:59:59,2026-05-21T20:40:33Z,2026-05-21T20:40:33Z
ord_b5ad786c9896,intent_5abac07ced61,nq_yorb_sizing_L_2_1_1,nq_yorb_sizing_L_2_1_1_2011_01,NQ,paper,buy,limit,1,0,filled,2403.0,,false,entry,,,2011-04-27,2011-12-31T23:59:59,2026-05-21T20:40:33Z,2026-05-21T20:40:33Z
ord_56e934791f28,intent_cc4b3947ee61,nq_yorb_sizing_L_2_1_1,nq_yorb_sizing_L_2_1_1_2011_01,NQ,paper,buy,limit,1,0,filled,2403.0,,false,runner_entry,,,2011-04-27,2011-12-31T23:59:59,2026-05-21T20:40:33Z,2026-05-21T20:40:33Z
ord_4e9458afbaea,intent_5274e1bf65fd,nq_yorb_sizing_L_2_1_1,nq_yorb_sizing_L_2_1_1_2011_01,NQ,paper,sell,stop,1,1,cancelled,,2250.25,true,runner_stop,ord_56e934791f28,ord_56e934791f28_bracket,,,2026-05-21T20:40:33Z,2026-05-21T20:40:33Z
ord_561e95297b98,intent_8642cc748c99,nq_yorb_sizing_L_2_1_1,nq_yorb_sizing_L_2_1_1_2011_01,NQ,paper,sell,stop,1,1,cancelled,,2250.25,true,stop,ord_b5ad786c9896,ord_b5ad786c9896_bracket,,,2026-05-21T20:40:33Z,2026-05-21T20:40:33Z
ord_ab9ea35cd4ee,intent_5e24aa611532,nq_yorb_sizing_L_2_1_1,nq_yorb_sizing_L_2_1_1_2011_01,NQ,paper,sell,limit,1,1,cancelled,2620.25,,true,target,ord_b5ad786c9896,ord_b5ad786c9896_bracket,,,2026-05-21T20:40:33Z,2026-05-21T20:40:33Z
ord_66922b5dbc07,intent_15944d72a1cf,nq_yorb_sizing_L_2_1_1,nq_yorb_sizing_L_2_1_1_2011_01,NQ,paper,sell,stop,2,2,cancelled,,2250.25,true,stop,ord_be6c54031086,ord_be6c54031086_bracket,,,2026-05-21T20:40:33Z,2026-05-21T20:40:33Z
ord_79306885dad3,intent_4c7a0080e87b,nq_yorb_sizing_L_2_1_1,nq_yorb_sizing_L_2_1_1_2011_01,NQ,paper,sell,limit,2,2,cancelled,2457.3125,,true,target,ord_be6c54031086,ord_be6c54031086_bracket,,,2026-05-21T20:40:33Z,2026-05-21T20:40:33Z
ord_06e4a1e76939,intent_da517f3d1b91,nq_yorb_sizing_L_2_1_1,nq_yorb_sizing_L_2_1_1_2011_01,NQ,paper,sell,market,4,0,filled,,,true,close,,,,,2026-05-21T20:40:33Z,2026-05-21T20:40:33Z
ord_abb9b1b438ec,intent_c1cf2869369c,nq_yorb_sizing_L_2_1_1,nq_yorb_sizing_L_2_1_1_2011_02,NQ,paper,buy,limit,2,0,filled,2403.0,,false,entry,,,2011-04-29,2011-12-31T23:59:59,2026-05-21T20:40:33Z,2026-05-21T20:40:33Z
