intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_68a0075c8e20,nq_yorb_sizing_L_3_3_3,nq_yorb_sizing_L_3_3_3_2011_01,NQ,paper,buy,limit,3,2403.0,,long_tp25_entry,submitted,true,verify_59a50e54e3b8,,false,entry,2250.25,2457.3125,,GTC,2011-04-27,2011-12-31T23:59:59,2026-05-21T20:39:38Z,2026-05-21T20:39:38Z
intent_dc520cc499e6,nq_yorb_sizing_L_3_3_3,nq_yorb_sizing_L_3_3_3_2011_01,NQ,paper,buy,limit,3,2403.0,,long_tp_entry,submitted,true,verify_162c89bf8c8b,,false,entry,2250.25,2620.25,,GTC,2011-04-27,2011-12-31T23:59:59,2026-05-21T20:39:38Z,2026-05-21T20:39:38Z
intent_35d981ab9c35,nq_yorb_sizing_L_3_3_3,nq_yorb_sizing_L_3_3_3_2011_01,NQ,paper,buy,limit,3,2403.0,,long_runner_entry,submitted,true,verify_d576b35aa268,,false,runner_entry,2250.25,,,GTC,2011-04-27,2011-12-31T23:59:59,2026-05-21T20:39:38Z,2026-05-21T20:39:38Z
intent_037e878ba1ac,nq_yorb_sizing_L_3_3_3,nq_yorb_sizing_L_3_3_3_2011_01,NQ,paper,sell,stop,3,,2250.25,protective_stop,submitted,false,,intent_35d981ab9c35,true,runner_stop,,,ord_156dd7fcb3b8_bracket,GTC,,,2026-05-21T20:39:38Z,2026-05-21T20:39:38Z
intent_61f5864999d8,nq_yorb_sizing_L_3_3_3,nq_yorb_sizing_L_3_3_3_2011_01,NQ,paper,sell,stop,3,,2250.25,protective_stop,submitted,false,,intent_68a0075c8e20,true,stop,,,ord_2eacfedc0f3e_bracket,GTC,,,2026-05-21T20:39:38Z,2026-05-21T20:39:38Z
intent_0798989dda09,nq_yorb_sizing_L_3_3_3,nq_yorb_sizing_L_3_3_3_2011_01,NQ,paper,sell,limit,3,2457.3125,,target,submitted,false,,intent_68a0075c8e20,true,target,,,ord_2eacfedc0f3e_bracket,GTC,,,2026-05-21T20:39:38Z,2026-05-21T20:39:38Z
intent_c9bc0caf3c8d,nq_yorb_sizing_L_3_3_3,nq_yorb_sizing_L_3_3_3_2011_01,NQ,paper,sell,stop,3,,2250.25,protective_stop,submitted,false,,intent_dc520cc499e6,true,stop,,,ord_35776535ce27_bracket,GTC,,,2026-05-21T20:39:38Z,2026-05-21T20:39:38Z
intent_8d5ff34bfcee,nq_yorb_sizing_L_3_3_3,nq_yorb_sizing_L_3_3_3_2011_01,NQ,paper,sell,limit,3,2620.25,,target,submitted,false,,intent_dc520cc499e6,true,target,,,ord_35776535ce27_bracket,GTC,,,2026-05-21T20:39:38Z,2026-05-21T20:39:38Z
intent_853be7ed20af,nq_yorb_sizing_L_3_3_3,nq_yorb_sizing_L_3_3_3_2011_01,NQ,paper,sell,market,9,,,range_close,submitted,false,,,true,close,,,,GTC,,,2026-05-21T20:39:38Z,2026-05-21T20:39:38Z
intent_b13fd0dba5c0,nq_yorb_sizing_L_3_3_3,nq_yorb_sizing_L_3_3_3_2011_02,NQ,paper,buy,limit,3,2403.0,,long_tp25_entry,submitted,true,verify_ab930ae23461,,false,entry,2250.25,2457.3125,,GTC,2011-04-29,2011-12-31T23:59:59,2026-05-21T20:39:38Z,2026-05-21T20:39:38Z
intent_44e705566182,nq_yorb_sizing_L_3_3_3,nq_yorb_sizing_L_3_3_3_2011_02,NQ,paper,buy,limit,3,2403.0,,long_tp_entry,submitted,true,verify_92eb76afdb03,,false,entry,2250.25,2620.25,,GTC,2011-04-29,2011-12-31T23:59:59,2026-05-21T20:39:38Z,2026-05-21T20:39:38Z
intent_d3a20588b6d5,nq_yorb_sizing_L_3_3_3,nq_yorb_sizing_L_3_3_3_2011_02,NQ,paper,buy,limit,3,2403.0,,long_runner_entry,submitted,true,verify_0f7a94241b4b,,false,runner_entry,2250.25,,,GTC,2011-04-29,2011-12-31T23:59:59,2026-05-21T20:39:38Z,2026-05-21T20:39:38Z
intent_9582952bd78c,nq_yorb_sizing_L_3_3_3,nq_yorb_sizing_L_3_3_3_2011_02,NQ,paper,sell,stop,3,,2250.25,protective_stop,submitted,false,,intent_d3a20588b6d5,true,runner_stop,,,ord_28f87e8c1a33_bracket,GTC,,,2026-05-21T20:39:38Z,2026-05-21T20:39:38Z
intent_00665fe96aa3,nq_yorb_sizing_L_3_3_3,nq_yorb_sizing_L_3_3_3_2011_02,NQ,paper,sell,stop,3,,2250.25,protective_stop,submitted,false,,intent_b13fd0dba5c0,true,stop,,,ord_57e13089a2d6_bracket,GTC,,,2026-05-21T20:39:38Z,2026-05-21T20:39:38Z
intent_a39008755296,nq_yorb_sizing_L_3_3_3,nq_yorb_sizing_L_3_3_3_2011_02,NQ,paper,sell,limit,3,2457.3125,,target,submitted,false,,intent_b13fd0dba5c0,true,target,,,ord_57e13089a2d6_bracket,GTC,,,2026-05-21T20:39:38Z,2026-05-21T20:39:38Z
intent_3314a02027f3,nq_yorb_sizing_L_3_3_3,nq_yorb_sizing_L_3_3_3_2011_02,NQ,paper,sell,stop,3,,2250.25,protective_stop,submitted,false,,intent_44e705566182,true,stop,,,ord_d9b95ad783b2_bracket,GTC,,,2026-05-21T20:39:38Z,2026-05-21T20:39:38Z
intent_6c73938b2ae1,nq_yorb_sizing_L_3_3_3,nq_yorb_sizing_L_3_3_3_2011_02,NQ,paper,sell,limit,3,2620.25,,target,submitted,false,,intent_44e705566182,true,target,,,ord_d9b95ad783b2_bracket,GTC,,,2026-05-21T20:39:38Z,2026-05-21T20:39:38Z
intent_9e2de7a2c756,nq_yorb_sizing_L_3_3_3,nq_yorb_sizing_L_3_3_3_2011_02,NQ,paper,sell,market,9,,,range_close,submitted,false,,,true,close,,,,GTC,,,2026-05-21T20:39:38Z,2026-05-21T20:39:38Z
intent_2677bb045e4b,nq_yorb_sizing_L_3_3_3,nq_yorb_sizing_L_3_3_3_2011_03,NQ,paper,buy,limit,3,2403.0,,long_tp25_entry,submitted,true,verify_b64b20511483,,false,entry,2374.0,2457.3125,,GTC,2011-05-10,2011-12-31T23:59:59,2026-05-21T20:39:38Z,2026-05-21T20:39:38Z
intent_a76c0c8f679e,nq_yorb_sizing_L_3_3_3,nq_yorb_sizing_L_3_3_3_2011_03,NQ,paper,buy,limit,3,2403.0,,long_tp_entry,submitted,true,verify_48fccef64d17,,false,entry,2374.0,2620.25,,GTC,2011-05-10,2011-12-31T23:59:59,2026-05-21T20:39:38Z,2026-05-21T20:39:38Z
intent_27cd8b2d2329,nq_yorb_sizing_L_3_3_3,nq_yorb_sizing_L_3_3_3_2011_03,NQ,paper,buy,limit,3,2403.0,,long_runner_entry,submitted,true,verify_0bba6fea2e56,,false,runner_entry,2374.0,,,GTC,2011-05-10,2011-12-31T23:59:59,2026-05-21T20:39:38Z,2026-05-21T20:39:38Z
