alert_id,strategy_id,level,message,payload_json,status,created_at
alert_f35e3b1fcd5d,nq_yorb_sizing_O_4_2_1_rc20,order_pending_verification,Yearly ORB OCO stop entry intents created,{},sent,2026-05-21T20:38:04Z
alert_04d15150e95f,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted buy 7 NQ,{},sent,2026-05-21T20:38:04Z
alert_670e97522a5d,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted sell 7 NQ,{},sent,2026-05-21T20:38:04Z
alert_722eb46400c7,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted sell 7 NQ,{},sent,2026-05-21T20:38:04Z
alert_8ac44200652b,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted sell 4 NQ,{},sent,2026-05-21T20:38:04Z
alert_b62e21226842,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted sell 2 NQ,{},sent,2026-05-21T20:38:04Z
alert_1d2526268d06,nq_yorb_sizing_O_4_2_1_rc20,info,Yearly ORB range-close exit requested,{},sent,2026-05-21T20:38:05Z
alert_d89bb6b2e859,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted sell 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_e8dc79191f58,nq_yorb_sizing_O_4_2_1_rc20,order_pending_verification,Yearly ORB OCO stop entry intents created,{},sent,2026-05-21T20:38:05Z
alert_92cb5553da53,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted buy 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_1e0a5d079bf2,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted sell 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_3319573f4028,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted buy 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_2cd617a22a87,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted buy 4 NQ,{},sent,2026-05-21T20:38:05Z
alert_afd080e58589,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted buy 2 NQ,{},sent,2026-05-21T20:38:05Z
alert_de4a086f8868,nq_yorb_sizing_O_4_2_1_rc20,info,Yearly ORB range-close exit requested,{},sent,2026-05-21T20:38:05Z
alert_494a693f7147,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted buy 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_6781115ee890,nq_yorb_sizing_O_4_2_1_rc20,order_pending_verification,Yearly ORB OCO stop entry intents created,{},sent,2026-05-21T20:38:05Z
alert_7cee963eb14d,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted buy 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_792f5db3f657,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted sell 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_249cb3aa2e20,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted sell 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_f20fce8409b0,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted sell 4 NQ,{},sent,2026-05-21T20:38:05Z
alert_e82801168d43,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted sell 2 NQ,{},sent,2026-05-21T20:38:05Z
alert_d3b9bb28a5d1,nq_yorb_sizing_O_4_2_1_rc20,order_pending_verification,Yearly ORB OCO stop entry intents created,{},sent,2026-05-21T20:38:05Z
alert_7e8b6a76a59f,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted buy 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_06425803ec97,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted sell 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_696e41d04db3,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted sell 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_40e810e429d0,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted sell 4 NQ,{},sent,2026-05-21T20:38:05Z
alert_234429b3d6cd,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted sell 2 NQ,{},sent,2026-05-21T20:38:05Z
alert_396bb297cf86,nq_yorb_sizing_O_4_2_1_rc20,info,Yearly ORB range-close exit requested,{},sent,2026-05-21T20:38:05Z
alert_54541a45ade1,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted sell 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_07746496c19f,nq_yorb_sizing_O_4_2_1_rc20,order_pending_verification,Yearly ORB OCO stop entry intents created,{},sent,2026-05-21T20:38:05Z
alert_2f5f6c2560be,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted buy 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_29713b8ee2de,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted sell 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_33107bf1660f,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted buy 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_e6cd191f47a9,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted buy 4 NQ,{},sent,2026-05-21T20:38:05Z
alert_7ec991324d97,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted buy 2 NQ,{},sent,2026-05-21T20:38:05Z
alert_05ddd195cb3b,nq_yorb_sizing_O_4_2_1_rc20,info,Yearly ORB range-close exit requested,{},sent,2026-05-21T20:38:05Z
alert_1d4a396ba4df,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted buy 3 NQ,{},sent,2026-05-21T20:38:05Z
alert_c6d816ee04a3,nq_yorb_sizing_O_4_2_1_rc20,order_pending_verification,Yearly ORB OCO stop entry intents created,{},sent,2026-05-21T20:38:05Z
alert_a9082726a6da,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted buy 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_aa7ba6b8911a,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted sell 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_5256a6037f82,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted buy 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_bee35897b4cb,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted buy 4 NQ,{},sent,2026-05-21T20:38:05Z
alert_c19f70e79d82,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted buy 2 NQ,{},sent,2026-05-21T20:38:05Z
alert_c374ede2a5df,nq_yorb_sizing_O_4_2_1_rc20,order_pending_verification,Yearly ORB OCO stop entry intents created,{},sent,2026-05-21T20:38:05Z
alert_3cb6a6a798bc,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted buy 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_f1e275655948,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted sell 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_c6aa31d8510e,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted buy 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_268348413b92,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted buy 4 NQ,{},sent,2026-05-21T20:38:05Z
alert_757328b98a70,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted buy 2 NQ,{},sent,2026-05-21T20:38:05Z
alert_8a29097b1606,nq_yorb_sizing_O_4_2_1_rc20,info,Yearly ORB range-close exit requested,{},sent,2026-05-21T20:38:05Z
alert_cd02d91de424,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted buy 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_f3d1c77bc757,nq_yorb_sizing_O_4_2_1_rc20,order_pending_verification,Yearly ORB OCO stop entry intents created,{},sent,2026-05-21T20:38:05Z
alert_5f4170fe6e0b,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted buy 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_12c6c4838e02,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted sell 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_4f05e092fc13,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted buy 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_9ef53a8f3f12,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted buy 4 NQ,{},sent,2026-05-21T20:38:05Z
alert_c2dea664110f,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted buy 2 NQ,{},sent,2026-05-21T20:38:05Z
alert_6c878e5b152d,nq_yorb_sizing_O_4_2_1_rc20,info,Yearly ORB range-close exit requested,{},sent,2026-05-21T20:38:05Z
alert_e4423effa63e,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted buy 3 NQ,{},sent,2026-05-21T20:38:05Z
alert_8e8e17d2c3d0,nq_yorb_sizing_O_4_2_1_rc20,order_pending_verification,Yearly ORB OCO stop entry intents created,{},sent,2026-05-21T20:38:05Z
alert_f2fe7cad31a8,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted buy 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_3d3142966e51,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted sell 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_a4d58363b47f,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted sell 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_0388ca6f3e73,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted sell 4 NQ,{},sent,2026-05-21T20:38:05Z
alert_1fdfb72b8dd7,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted sell 2 NQ,{},sent,2026-05-21T20:38:05Z
alert_4b0bd1c03970,nq_yorb_sizing_O_4_2_1_rc20,info,Yearly ORB range-close exit requested,{},sent,2026-05-21T20:38:05Z
alert_1ece722dd748,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted sell 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_aae194c61066,nq_yorb_sizing_O_4_2_1_rc20,order_pending_verification,Yearly ORB OCO stop entry intents created,{},sent,2026-05-21T20:38:05Z
alert_d85706c76f5e,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted buy 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_f81f9b38909f,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted sell 7 NQ,{},sent,2026-05-21T20:38:05Z
alert_9152c6ed710f,nq_yorb_sizing_O_4_2_1_rc20,order_submitted,Submitted buy 7 NQ,{},sent,2026-05-21T20:38:05Z
