alert_id,strategy_id,level,message,payload_json,status,created_at
alert_c6b12371109c,es_yorb_sizing_L_2_1_1,order_pending_verification,Yearly ORB long retest order intent created,{},sent,2026-05-21T21:10:40Z
alert_f61a33a49fc5,es_yorb_sizing_L_2_1_1,order_submitted,Submitted buy 2 ES,{},sent,2026-05-21T21:10:40Z
alert_b7fe11b8a45e,es_yorb_sizing_L_2_1_1,order_submitted,Submitted buy 1 ES,{},sent,2026-05-21T21:10:40Z
alert_745461543fcc,es_yorb_sizing_L_2_1_1,order_submitted,Submitted buy 1 ES,{},sent,2026-05-21T21:10:40Z
alert_64babf99b31d,es_yorb_sizing_L_2_1_1,order_pending_verification,Yearly ORB long retest order intent created,{},sent,2026-05-21T21:10:40Z
alert_eddaa04e8b8b,es_yorb_sizing_L_2_1_1,order_submitted,Submitted buy 2 ES,{},sent,2026-05-21T21:10:40Z
alert_1d2c4ab3208b,es_yorb_sizing_L_2_1_1,order_submitted,Submitted buy 1 ES,{},sent,2026-05-21T21:10:40Z
alert_ad7f829633c6,es_yorb_sizing_L_2_1_1,order_submitted,Submitted buy 1 ES,{},sent,2026-05-21T21:10:40Z
alert_f37d6d34225a,es_yorb_sizing_L_2_1_1,info,Yearly ORB range-close exit requested,{},sent,2026-05-21T21:10:40Z
alert_1a92ebac69a5,es_yorb_sizing_L_2_1_1,order_submitted,Submitted sell 4 ES,{},sent,2026-05-21T21:10:40Z
alert_c62eb02f554c,es_yorb_sizing_L_2_1_1,order_pending_verification,Yearly ORB long retest order intent created,{},sent,2026-05-21T21:10:40Z
alert_5e496c7e5b94,es_yorb_sizing_L_2_1_1,order_submitted,Submitted buy 2 ES,{},sent,2026-05-21T21:10:40Z
alert_fd8dfc0c39b3,es_yorb_sizing_L_2_1_1,order_submitted,Submitted buy 1 ES,{},sent,2026-05-21T21:10:40Z
alert_a223766de526,es_yorb_sizing_L_2_1_1,order_submitted,Submitted buy 1 ES,{},sent,2026-05-21T21:10:40Z
alert_371036f37d12,es_yorb_sizing_L_2_1_1,info,Yearly ORB range-close exit requested,{},sent,2026-05-21T21:10:40Z
alert_1373bb94d056,es_yorb_sizing_L_2_1_1,order_submitted,Submitted sell 4 ES,{},sent,2026-05-21T21:10:40Z
alert_329cd01107e0,es_yorb_sizing_L_2_1_1,order_pending_verification,Yearly ORB long retest order intent created,{},sent,2026-05-21T21:10:40Z
