intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_49fdc3889e9c,es_yorb_sizing_L_2_4_1,es_yorb_sizing_L_2_4_1_2011_01,ES,paper,buy,limit,2,1343.0,,long_tp25_entry,submitted,true,verify_6a25d7509ccc,,false,entry,1327.25,1368.4375,,GTC,2011-04-26,2011-12-31T23:59:59,2026-05-21T21:17:54Z,2026-05-21T21:17:54Z
intent_688b844158e3,es_yorb_sizing_L_2_4_1,es_yorb_sizing_L_2_4_1_2011_01,ES,paper,buy,limit,4,1343.0,,long_tp_entry,submitted,true,verify_e3117d52ba17,,false,entry,1327.25,1444.75,,GTC,2011-04-26,2011-12-31T23:59:59,2026-05-21T21:17:54Z,2026-05-21T21:17:54Z
intent_90ad65f34e33,es_yorb_sizing_L_2_4_1,es_yorb_sizing_L_2_4_1_2011_01,ES,paper,buy,limit,1,1343.0,,long_runner_entry,submitted,true,verify_5334a96751d9,,false,runner_entry,1327.25,,,GTC,2011-04-26,2011-12-31T23:59:59,2026-05-21T21:17:54Z,2026-05-21T21:17:54Z
intent_064e85cdaf5a,es_yorb_sizing_L_2_4_1,es_yorb_sizing_L_2_4_1_2011_01,ES,paper,sell,stop,2,,1327.25,protective_stop,submitted,false,,intent_49fdc3889e9c,true,stop,,,ord_68581171daf5_bracket,GTC,,,2026-05-21T21:17:54Z,2026-05-21T21:17:54Z
intent_73dbd691d5f7,es_yorb_sizing_L_2_4_1,es_yorb_sizing_L_2_4_1_2011_01,ES,paper,sell,limit,2,1368.4375,,target,submitted,false,,intent_49fdc3889e9c,true,target,,,ord_68581171daf5_bracket,GTC,,,2026-05-21T21:17:54Z,2026-05-21T21:17:54Z
intent_1b754805015e,es_yorb_sizing_L_2_4_1,es_yorb_sizing_L_2_4_1_2011_01,ES,paper,sell,stop,1,,1327.25,protective_stop,submitted,false,,intent_90ad65f34e33,true,runner_stop,,,ord_c5a67dc95544_bracket,GTC,,,2026-05-21T21:17:54Z,2026-05-21T21:17:54Z
intent_652eb007d542,es_yorb_sizing_L_2_4_1,es_yorb_sizing_L_2_4_1_2011_01,ES,paper,sell,stop,4,,1327.25,protective_stop,submitted,false,,intent_688b844158e3,true,stop,,,ord_f8d6356fd801_bracket,GTC,,,2026-05-21T21:17:54Z,2026-05-21T21:17:54Z
intent_6a14141eadf0,es_yorb_sizing_L_2_4_1,es_yorb_sizing_L_2_4_1_2011_01,ES,paper,sell,limit,4,1444.75,,target,submitted,false,,intent_688b844158e3,true,target,,,ord_f8d6356fd801_bracket,GTC,,,2026-05-21T21:17:54Z,2026-05-21T21:17:54Z
intent_fb7ab248312b,es_yorb_sizing_L_2_4_1,es_yorb_sizing_L_2_4_1_2011_02,ES,paper,buy,limit,2,1343.0,,long_tp25_entry,submitted,true,verify_e08f32b5739b,,false,entry,1327.25,1368.4375,,GTC,2011-05-09,2011-12-31T23:59:59,2026-05-21T21:17:54Z,2026-05-21T21:17:54Z
intent_9a49132750e0,es_yorb_sizing_L_2_4_1,es_yorb_sizing_L_2_4_1_2011_02,ES,paper,buy,limit,4,1343.0,,long_tp_entry,submitted,true,verify_c0dd170e8794,,false,entry,1327.25,1444.75,,GTC,2011-05-09,2011-12-31T23:59:59,2026-05-21T21:17:54Z,2026-05-21T21:17:54Z
intent_41a67d0bbdbf,es_yorb_sizing_L_2_4_1,es_yorb_sizing_L_2_4_1_2011_02,ES,paper,buy,limit,1,1343.0,,long_runner_entry,submitted,true,verify_a8ede077e18e,,false,runner_entry,1327.25,,,GTC,2011-05-09,2011-12-31T23:59:59,2026-05-21T21:17:54Z,2026-05-21T21:17:54Z
intent_62e9b6786333,es_yorb_sizing_L_2_4_1,es_yorb_sizing_L_2_4_1_2011_02,ES,paper,sell,stop,1,,1327.25,protective_stop,submitted,false,,intent_41a67d0bbdbf,true,runner_stop,,,ord_536a3f3dbe3f_bracket,GTC,,,2026-05-21T21:17:54Z,2026-05-21T21:17:54Z
intent_10e5b93652b4,es_yorb_sizing_L_2_4_1,es_yorb_sizing_L_2_4_1_2011_02,ES,paper,sell,stop,2,,1327.25,protective_stop,submitted,false,,intent_fb7ab248312b,true,stop,,,ord_cc5c80b032cb_bracket,GTC,,,2026-05-21T21:17:54Z,2026-05-21T21:17:54Z
intent_989bfa21ca4a,es_yorb_sizing_L_2_4_1,es_yorb_sizing_L_2_4_1_2011_02,ES,paper,sell,limit,2,1368.4375,,target,submitted,false,,intent_fb7ab248312b,true,target,,,ord_cc5c80b032cb_bracket,GTC,,,2026-05-21T21:17:54Z,2026-05-21T21:17:54Z
intent_4bae8884065a,es_yorb_sizing_L_2_4_1,es_yorb_sizing_L_2_4_1_2011_02,ES,paper,sell,stop,4,,1327.25,protective_stop,submitted,false,,intent_9a49132750e0,true,stop,,,ord_d5ddb1657103_bracket,GTC,,,2026-05-21T21:17:54Z,2026-05-21T21:17:54Z
intent_e441f0191daa,es_yorb_sizing_L_2_4_1,es_yorb_sizing_L_2_4_1_2011_02,ES,paper,sell,limit,4,1444.75,,target,submitted,false,,intent_9a49132750e0,true,target,,,ord_d5ddb1657103_bracket,GTC,,,2026-05-21T21:17:54Z,2026-05-21T21:17:54Z
intent_646e1375f3b6,es_yorb_sizing_L_2_4_1,es_yorb_sizing_L_2_4_1_2011_02,ES,paper,sell,market,7,,,range_close,submitted,false,,,true,close,,,,GTC,,,2026-05-21T21:17:54Z,2026-05-21T21:17:54Z
intent_ac8c3a4a8296,es_yorb_sizing_L_2_4_1,es_yorb_sizing_L_2_4_1_2011_03,ES,paper,buy,limit,2,1343.0,,long_tp25_entry,submitted,true,verify_6eb0d1db8655,,false,entry,1327.25,1368.4375,,GTC,2011-05-12,2011-12-31T23:59:59,2026-05-21T21:17:54Z,2026-05-21T21:17:54Z
