broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,remaining_quantity,status,limit_price,stop_price,reduce_only,bracket_role,parent_order_id,oco_group,live_after_ts,expires_after_ts,created_at,updated_at
ord_71e444af3fec,intent_8847d5971bdd,es_yorb_sizing_L_3_3_3,es_yorb_sizing_L_3_3_3_2011_01,ES,paper,buy,limit,3,0,filled,1343.0,,false,entry,,,2011-04-26,2011-12-31T23:59:59,2026-05-21T21:09:39Z,2026-05-21T21:09:39Z
ord_c8d9992b9608,intent_c974435373c5,es_yorb_sizing_L_3_3_3,es_yorb_sizing_L_3_3_3_2011_01,ES,paper,buy,limit,3,0,filled,1343.0,,false,entry,,,2011-04-26,2011-12-31T23:59:59,2026-05-21T21:09:39Z,2026-05-21T21:09:39Z
ord_95d527c88fb3,intent_6d2480c65e6e,es_yorb_sizing_L_3_3_3,es_yorb_sizing_L_3_3_3_2011_01,ES,paper,buy,limit,3,0,filled,1343.0,,false,runner_entry,,,2011-04-26,2011-12-31T23:59:59,2026-05-21T21:09:39Z,2026-05-21T21:09:39Z
ord_da8dda194354,intent_9c25b6143930,es_yorb_sizing_L_3_3_3,es_yorb_sizing_L_3_3_3_2011_01,ES,paper,sell,stop,3,3,cancelled,,1327.25,true,stop,ord_71e444af3fec,ord_71e444af3fec_bracket,,,2026-05-21T21:09:39Z,2026-05-21T21:09:39Z
ord_07ca54739411,intent_b850a533ea5d,es_yorb_sizing_L_3_3_3,es_yorb_sizing_L_3_3_3_2011_01,ES,paper,sell,limit,3,0,filled,1368.4375,,true,target,ord_71e444af3fec,ord_71e444af3fec_bracket,,,2026-05-21T21:09:39Z,2026-05-21T21:09:39Z
ord_88e3b98e5074,intent_4589cfcbddea,es_yorb_sizing_L_3_3_3,es_yorb_sizing_L_3_3_3_2011_01,ES,paper,sell,stop,3,0,filled,,1327.25,true,runner_stop,ord_95d527c88fb3,ord_95d527c88fb3_bracket,,,2026-05-21T21:09:39Z,2026-05-21T21:09:39Z
ord_a2bd727ca308,intent_07a2286c6673,es_yorb_sizing_L_3_3_3,es_yorb_sizing_L_3_3_3_2011_01,ES,paper,sell,stop,3,0,filled,,1327.25,true,stop,ord_c8d9992b9608,ord_c8d9992b9608_bracket,,,2026-05-21T21:09:39Z,2026-05-21T21:09:39Z
ord_4c2a77aa185c,intent_44a5f6fdf1cd,es_yorb_sizing_L_3_3_3,es_yorb_sizing_L_3_3_3_2011_01,ES,paper,sell,limit,3,3,cancelled,1444.75,,true,target,ord_c8d9992b9608,ord_c8d9992b9608_bracket,,,2026-05-21T21:09:39Z,2026-05-21T21:09:39Z
ord_d8827992b3be,intent_2fdc2d609fa7,es_yorb_sizing_L_3_3_3,es_yorb_sizing_L_3_3_3_2011_02,ES,paper,buy,limit,3,0,filled,1343.0,,false,entry,,,2011-05-09,2011-12-31T23:59:59,2026-05-21T21:09:39Z,2026-05-21T21:09:39Z
ord_4aefd2fd53c0,intent_c72e9233af6e,es_yorb_sizing_L_3_3_3,es_yorb_sizing_L_3_3_3_2011_02,ES,paper,buy,limit,3,0,filled,1343.0,,false,entry,,,2011-05-09,2011-12-31T23:59:59,2026-05-21T21:09:39Z,2026-05-21T21:09:39Z
