fill_id,broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,quantity,price,ts,reason
fill_5358e6d34be8,ord_452facdebe53,intent_938f6e79894e,mes_yorb_sizing_L_1_1_3,mes_yorb_sizing_L_1_1_3_2020_01,MES,paper,buy,1,3397.5,2020-09-04,entry
fill_7beccc2d8c87,ord_54fbac40aa30,intent_b78666145c34,mes_yorb_sizing_L_1_1_3,mes_yorb_sizing_L_1_1_3_2020_01,MES,paper,buy,1,3397.5,2020-09-04,entry
fill_fa2958a5ce03,ord_d8be0fb16d1e,intent_0db3868d3e30,mes_yorb_sizing_L_1_1_3,mes_yorb_sizing_L_1_1_3_2020_01,MES,paper,buy,3,3397.5,2020-09-04,runner_entry
fill_213e6b984774,ord_0be5accb4a92,intent_7f0d26c6c85a,mes_yorb_sizing_L_1_1_3,mes_yorb_sizing_L_1_1_3_2020_01,MES,paper,sell,1,3344.25,2020-09-08,stop
fill_d8eb92c682e0,ord_2bb2c3869cfe,intent_d2d7ee49a04f,mes_yorb_sizing_L_1_1_3,mes_yorb_sizing_L_1_1_3_2020_01,MES,paper,sell,3,3344.25,2020-09-08,runner_stop
fill_d95623f42f31,ord_2cbc21f0b5e8,intent_e11a5fdefd7c,mes_yorb_sizing_L_1_1_3,mes_yorb_sizing_L_1_1_3_2020_01,MES,paper,sell,1,3344.25,2020-09-08,stop
fill_36a8e9aafa0e,ord_2ec162d8eb7a,intent_926f65dfc50e,mes_yorb_sizing_L_1_1_3,mes_yorb_sizing_L_1_1_3_2020_02,MES,paper,buy,1,3397.5,2020-09-10,entry
fill_7d16fcb68e87,ord_4f6200604907,intent_3d529e9c8c0e,mes_yorb_sizing_L_1_1_3,mes_yorb_sizing_L_1_1_3_2020_02,MES,paper,buy,3,3397.5,2020-09-10,runner_entry
fill_73d3df5ffa81,ord_b64c0bd778a9,intent_e432620d2808,mes_yorb_sizing_L_1_1_3,mes_yorb_sizing_L_1_1_3_2020_02,MES,paper,buy,1,3397.5,2020-09-10,entry
fill_19bfd9ab452b,ord_2bbe1ce9da7d,intent_2c6c0abd43dd,mes_yorb_sizing_L_1_1_3,mes_yorb_sizing_L_1_1_3_2020_02,MES,paper,sell,3,3344.25,2020-09-10,runner_stop
fill_d359629ad1db,ord_ec9cb20780a6,intent_26d382237e1c,mes_yorb_sizing_L_1_1_3,mes_yorb_sizing_L_1_1_3_2020_02,MES,paper,sell,1,3344.25,2020-09-10,stop
fill_5ba60d57d97f,ord_f2fd6f269dbe,intent_3f922a04d2c3,mes_yorb_sizing_L_1_1_3,mes_yorb_sizing_L_1_1_3_2020_02,MES,paper,sell,1,3344.25,2020-09-10,stop
fill_3037f384977f,ord_3fb7acba80d1,intent_26147d6c8ab5,mes_yorb_sizing_L_1_1_3,mes_yorb_sizing_L_1_1_3_2020_03,MES,paper,buy,1,3397.5,2020-10-26,entry
fill_eb5c1e36e6d9,ord_62b91309d9bb,intent_e0d67aaa5e65,mes_yorb_sizing_L_1_1_3,mes_yorb_sizing_L_1_1_3_2020_03,MES,paper,buy,3,3397.5,2020-10-26,runner_entry
fill_b9d079604a71,ord_6781c80f78e3,intent_02f7965006d0,mes_yorb_sizing_L_1_1_3,mes_yorb_sizing_L_1_1_3_2020_03,MES,paper,buy,1,3397.5,2020-10-26,entry
fill_d9cc779b6bc7,ord_0d425d3b5729,intent_a1c761e4a4b6,mes_yorb_sizing_L_1_1_3,mes_yorb_sizing_L_1_1_3_2020_03,MES,paper,sell,5,3439.0,2020-10-26,close
fill_efe8b8e96d03,ord_1077a763545a,intent_96e523a64cee,mes_yorb_sizing_L_1_1_3,mes_yorb_sizing_L_1_1_3_2022_01,MES,paper,sell,1,4101.25,2022-05-27,entry
fill_8df05c364cf5,ord_46668d3287a5,intent_fe82ae2cae85,mes_yorb_sizing_L_1_1_3,mes_yorb_sizing_L_1_1_3_2022_01,MES,paper,sell,1,4101.25,2022-05-27,entry
fill_ebf277180642,ord_b69ba7761efc,intent_5ea483f2319c,mes_yorb_sizing_L_1_1_3,mes_yorb_sizing_L_1_1_3_2022_01,MES,paper,sell,3,4101.25,2022-05-27,runner_entry
fill_ae3c380c5abb,ord_899a376a8c01,intent_7f2a62c6f8fd,mes_yorb_sizing_L_1_1_3,mes_yorb_sizing_L_1_1_3_2022_01,MES,paper,buy,5,4057.0,2022-05-27,close
fill_d8998c292a4c,ord_0336d46755cb,intent_4663ddd531bd,mes_yorb_sizing_L_1_1_3,mes_yorb_sizing_L_1_1_3_2022_02,MES,paper,sell,3,4101.25,2022-06-02,runner_entry
