verification_id,intent_id,strategy_id,account_mode,status,challenge,created_at,approved_at
verify_7af56bad2de9,intent_5a5a081b73ef,mes_yorb_sizing_L_3_2_1,paper,approved,SPOOF-1b73ef,2026-05-21T21:22:47Z,2026-05-21T21:22:47Z
verify_9359b58b2a99,intent_1868dd0bc061,mes_yorb_sizing_L_3_2_1,paper,approved,SPOOF-0bc061,2026-05-21T21:22:47Z,2026-05-21T21:22:47Z
verify_47e37f0de617,intent_ce242487ad2f,mes_yorb_sizing_L_3_2_1,paper,approved,SPOOF-87ad2f,2026-05-21T21:22:47Z,2026-05-21T21:22:47Z
verify_c18af766a967,intent_9e8f4042fa67,mes_yorb_sizing_L_3_2_1,paper,approved,SPOOF-42fa67,2026-05-21T21:22:47Z,2026-05-21T21:22:47Z
verify_150ea6aae761,intent_5435056cdbcd,mes_yorb_sizing_L_3_2_1,paper,approved,SPOOF-6cdbcd,2026-05-21T21:22:47Z,2026-05-21T21:22:47Z
verify_95bd7193b9c0,intent_533e7ba5453f,mes_yorb_sizing_L_3_2_1,paper,approved,SPOOF-a5453f,2026-05-21T21:22:47Z,2026-05-21T21:22:47Z
verify_f29ebce10034,intent_89a471ee1afd,mes_yorb_sizing_L_3_2_1,paper,approved,SPOOF-ee1afd,2026-05-21T21:22:47Z,2026-05-21T21:22:47Z
verify_693d2e549b9a,intent_45845a007e0a,mes_yorb_sizing_L_3_2_1,paper,approved,SPOOF-007e0a,2026-05-21T21:22:47Z,2026-05-21T21:22:47Z
verify_d06e293dcf60,intent_6f2d807213bf,mes_yorb_sizing_L_3_2_1,paper,approved,SPOOF-7213bf,2026-05-21T21:22:47Z,2026-05-21T21:22:47Z
verify_446768f59616,intent_a304996f45b9,mes_yorb_sizing_L_3_2_1,paper,approved,SPOOF-6f45b9,2026-05-21T21:22:47Z,2026-05-21T21:22:47Z
verify_937069a042c4,intent_d8a64d39e736,mes_yorb_sizing_L_3_2_1,paper,approved,SPOOF-39e736,2026-05-21T21:22:47Z,2026-05-21T21:22:47Z
verify_ee6e0e6d1f2d,intent_ecfd4bd74648,mes_yorb_sizing_L_3_2_1,paper,approved,SPOOF-d74648,2026-05-21T21:22:47Z,2026-05-21T21:22:47Z
verify_97131eac3374,intent_2ff09493358c,mes_yorb_sizing_L_3_2_1,paper,approved,SPOOF-93358c,2026-05-21T21:22:48Z,2026-05-21T21:22:48Z
verify_d30dbbd3598d,intent_bb27b8036ffb,mes_yorb_sizing_L_3_2_1,paper,approved,SPOOF-036ffb,2026-05-21T21:22:48Z,2026-05-21T21:22:48Z
verify_2eaac608ac07,intent_9620d926c911,mes_yorb_sizing_L_3_2_1,paper,approved,SPOOF-26c911,2026-05-21T21:22:48Z,2026-05-21T21:22:48Z
verify_c0f4dc792730,intent_610d275ac2aa,mes_yorb_sizing_L_3_2_1,paper,approved,SPOOF-5ac2aa,2026-05-21T21:22:49Z,2026-05-21T21:22:49Z
verify_26e4b35f9b46,intent_8af35fae5137,mes_yorb_sizing_L_3_2_1,paper,approved,SPOOF-ae5137,2026-05-21T21:22:49Z,2026-05-21T21:22:49Z
verify_239be9e80f3e,intent_10cbc2885f79,mes_yorb_sizing_L_3_2_1,paper,approved,SPOOF-885f79,2026-05-21T21:22:49Z,2026-05-21T21:22:49Z
verify_9c2efbb11a91,intent_3837e2c300ec,mes_yorb_sizing_L_3_2_1,paper,approved,SPOOF-c300ec,2026-05-21T21:22:49Z,2026-05-21T21:22:49Z
verify_41bf974e31c0,intent_303f901082bf,mes_yorb_sizing_L_3_2_1,paper,approved,SPOOF-1082bf,2026-05-21T21:22:49Z,2026-05-21T21:22:49Z
verify_d3656b865bec,intent_1d8fd7df91d6,mes_yorb_sizing_L_3_2_1,paper,approved,SPOOF-df91d6,2026-05-21T21:22:49Z,2026-05-21T21:22:49Z
verify_3914c290af49,intent_447fa05b94e0,mes_yorb_sizing_L_3_2_1,paper,approved,SPOOF-5b94e0,2026-05-21T21:22:49Z,2026-05-21T21:22:49Z
verify_1f77721d8305,intent_cefbe1ce8b13,mes_yorb_sizing_L_3_2_1,paper,approved,SPOOF-ce8b13,2026-05-21T21:22:49Z,2026-05-21T21:22:49Z
