broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,remaining_quantity,status,limit_price,stop_price,reduce_only,bracket_role,parent_order_id,oco_group,live_after_ts,expires_after_ts,created_at,updated_at
ord_62007a9a1771,intent_9c648d82b380,mes_yorb_sizing_L_4_2_1,mes_yorb_sizing_L_4_2_1_2020_01,MES,paper,buy,limit,4,0,filled,3397.5,,false,entry,,,2020-08-24,2020-12-31T23:59:59,2026-05-21T21:22:20Z,2026-05-21T21:22:20Z
ord_b884e81b88ec,intent_177ead40cca4,mes_yorb_sizing_L_4_2_1,mes_yorb_sizing_L_4_2_1_2020_01,MES,paper,buy,limit,2,0,filled,3397.5,,false,entry,,,2020-08-24,2020-12-31T23:59:59,2026-05-21T21:22:20Z,2026-05-21T21:22:20Z
ord_98490697d407,intent_e9b4c64bbd18,mes_yorb_sizing_L_4_2_1,mes_yorb_sizing_L_4_2_1_2020_01,MES,paper,buy,limit,1,0,filled,3397.5,,false,runner_entry,,,2020-08-24,2020-12-31T23:59:59,2026-05-21T21:22:20Z,2026-05-21T21:22:20Z
ord_afb28062d8a6,intent_c55c014e05a3,mes_yorb_sizing_L_4_2_1,mes_yorb_sizing_L_4_2_1_2020_01,MES,paper,sell,stop,4,0,filled,,3344.5,true,stop,ord_62007a9a1771,ord_62007a9a1771_bracket,,,2026-05-21T21:22:20Z,2026-05-21T21:22:20Z
ord_c5d6df8f7e23,intent_4a65bb898e16,mes_yorb_sizing_L_4_2_1,mes_yorb_sizing_L_4_2_1_2020_01,MES,paper,sell,limit,4,4,cancelled,3703.375,,true,target,ord_62007a9a1771,ord_62007a9a1771_bracket,,,2026-05-21T21:22:20Z,2026-05-21T21:22:20Z
ord_9f7a33cfecc0,intent_02777e07d71f,mes_yorb_sizing_L_4_2_1,mes_yorb_sizing_L_4_2_1_2020_01,MES,paper,sell,stop,1,0,filled,,3344.5,true,runner_stop,ord_98490697d407,ord_98490697d407_bracket,,,2026-05-21T21:22:20Z,2026-05-21T21:22:20Z
ord_b0fc392baacf,intent_65400f8649e7,mes_yorb_sizing_L_4_2_1,mes_yorb_sizing_L_4_2_1_2020_01,MES,paper,sell,stop,2,0,filled,,3344.5,true,stop,ord_b884e81b88ec,ord_b884e81b88ec_bracket,,,2026-05-21T21:22:20Z,2026-05-21T21:22:20Z
ord_c67fa8c03c1d,intent_80efdc889c7c,mes_yorb_sizing_L_4_2_1,mes_yorb_sizing_L_4_2_1_2020_01,MES,paper,sell,limit,2,2,cancelled,4621.0,,true,target,ord_b884e81b88ec,ord_b884e81b88ec_bracket,,,2026-05-21T21:22:20Z,2026-05-21T21:22:20Z
ord_53f314358408,intent_7546c3d8edf3,mes_yorb_sizing_L_4_2_1,mes_yorb_sizing_L_4_2_1_2020_02,MES,paper,buy,limit,4,0,filled,3397.5,,false,entry,,,2020-09-09,2020-12-31T23:59:59,2026-05-21T21:22:20Z,2026-05-21T21:22:20Z
ord_91eebff5aab6,intent_4002f6ae691d,mes_yorb_sizing_L_4_2_1,mes_yorb_sizing_L_4_2_1_2020_02,MES,paper,buy,limit,2,0,filled,3397.5,,false,entry,,,2020-09-09,2020-12-31T23:59:59,2026-05-21T21:22:20Z,2026-05-21T21:22:20Z
ord_b6214b5deba9,intent_a3d69bee660a,mes_yorb_sizing_L_4_2_1,mes_yorb_sizing_L_4_2_1_2020_02,MES,paper,buy,limit,1,0,filled,3397.5,,false,runner_entry,,,2020-09-09,2020-12-31T23:59:59,2026-05-21T21:22:20Z,2026-05-21T21:22:20Z
ord_44ecac1611b8,intent_eb4efaf1bdfe,mes_yorb_sizing_L_4_2_1,mes_yorb_sizing_L_4_2_1_2020_02,MES,paper,sell,stop,4,0,filled,,3344.5,true,stop,ord_53f314358408,ord_53f314358408_bracket,,,2026-05-21T21:22:20Z,2026-05-21T21:22:20Z
ord_c36919db536f,intent_6fd51c1a27ce,mes_yorb_sizing_L_4_2_1,mes_yorb_sizing_L_4_2_1_2020_02,MES,paper,sell,limit,4,4,cancelled,3703.375,,true,target,ord_53f314358408,ord_53f314358408_bracket,,,2026-05-21T21:22:20Z,2026-05-21T21:22:20Z
ord_1c0b7b46d887,intent_91d1103b4aa3,mes_yorb_sizing_L_4_2_1,mes_yorb_sizing_L_4_2_1_2020_02,MES,paper,sell,stop,2,0,filled,,3344.5,true,stop,ord_91eebff5aab6,ord_91eebff5aab6_bracket,,,2026-05-21T21:22:20Z,2026-05-21T21:22:20Z
ord_82300ac3f061,intent_b1af6b11055c,mes_yorb_sizing_L_4_2_1,mes_yorb_sizing_L_4_2_1_2020_02,MES,paper,sell,limit,2,2,cancelled,4621.0,,true,target,ord_91eebff5aab6,ord_91eebff5aab6_bracket,,,2026-05-21T21:22:20Z,2026-05-21T21:22:20Z
ord_0cf7928a634e,intent_31e90c88a7fd,mes_yorb_sizing_L_4_2_1,mes_yorb_sizing_L_4_2_1_2020_02,MES,paper,sell,stop,1,0,filled,,3344.5,true,runner_stop,ord_b6214b5deba9,ord_b6214b5deba9_bracket,,,2026-05-21T21:22:20Z,2026-05-21T21:22:20Z
ord_9d18e96883df,intent_137881f40541,mes_yorb_sizing_L_4_2_1,mes_yorb_sizing_L_4_2_1_2020_03,MES,paper,buy,limit,4,0,filled,3397.5,,false,entry,,,2020-10-07,2020-12-31T23:59:59,2026-05-21T21:22:20Z,2026-05-21T21:22:20Z
ord_8845c39f1a1d,intent_db7d6c3daec3,mes_yorb_sizing_L_4_2_1,mes_yorb_sizing_L_4_2_1_2020_03,MES,paper,buy,limit,2,0,filled,3397.5,,false,entry,,,2020-10-07,2020-12-31T23:59:59,2026-05-21T21:22:20Z,2026-05-21T21:22:20Z
ord_baa01b06c47d,intent_748279a467b0,mes_yorb_sizing_L_4_2_1,mes_yorb_sizing_L_4_2_1_2020_03,MES,paper,buy,limit,1,0,filled,3397.5,,false,runner_entry,,,2020-10-07,2020-12-31T23:59:59,2026-05-21T21:22:20Z,2026-05-21T21:22:20Z
ord_aedfaefe30d7,intent_8875d832e7bf,mes_yorb_sizing_L_4_2_1,mes_yorb_sizing_L_4_2_1_2020_03,MES,paper,sell,stop,2,2,cancelled,,3300.25,true,stop,ord_8845c39f1a1d,ord_8845c39f1a1d_bracket,,,2026-05-21T21:22:20Z,2026-05-21T21:22:20Z
ord_ca8fe3e4335b,intent_7e5e40c9cab0,mes_yorb_sizing_L_4_2_1,mes_yorb_sizing_L_4_2_1_2020_03,MES,paper,sell,limit,2,2,cancelled,4621.0,,true,target,ord_8845c39f1a1d,ord_8845c39f1a1d_bracket,,,2026-05-21T21:22:20Z,2026-05-21T21:22:20Z
ord_136b5b5a8566,intent_960b6d738335,mes_yorb_sizing_L_4_2_1,mes_yorb_sizing_L_4_2_1_2020_03,MES,paper,sell,stop,4,4,cancelled,,3300.25,true,stop,ord_9d18e96883df,ord_9d18e96883df_bracket,,,2026-05-21T21:22:20Z,2026-05-21T21:22:20Z
ord_c87548b95cb5,intent_dced218727ca,mes_yorb_sizing_L_4_2_1,mes_yorb_sizing_L_4_2_1_2020_03,MES,paper,sell,limit,4,4,cancelled,3703.375,,true,target,ord_9d18e96883df,ord_9d18e96883df_bracket,,,2026-05-21T21:22:20Z,2026-05-21T21:22:20Z
ord_ab128244f058,intent_c7ccd09856de,mes_yorb_sizing_L_4_2_1,mes_yorb_sizing_L_4_2_1_2020_03,MES,paper,sell,stop,1,1,cancelled,,3300.25,true,runner_stop,ord_baa01b06c47d,ord_baa01b06c47d_bracket,,,2026-05-21T21:22:20Z,2026-05-21T21:22:20Z
ord_ba9751f3dd41,intent_c20902ac3785,mes_yorb_sizing_L_4_2_1,mes_yorb_sizing_L_4_2_1_2020_03,MES,paper,sell,market,7,0,filled,,,true,close,,,,,2026-05-21T21:22:20Z,2026-05-21T21:22:20Z
ord_9e5b6be87b97,intent_996ef3f35deb,mes_yorb_sizing_L_4_2_1,mes_yorb_sizing_L_4_2_1_2020_04,MES,paper,buy,limit,4,4,cancelled,3397.5,,false,entry,,,2020-11-04,2020-12-31T23:59:59,2026-05-21T21:22:20Z,2026-05-21T21:22:20Z
ord_2184f761506e,intent_e37528a56a09,mes_yorb_sizing_L_4_2_1,mes_yorb_sizing_L_4_2_1_2020_04,MES,paper,buy,limit,2,2,cancelled,3397.5,,false,entry,,,2020-11-04,2020-12-31T23:59:59,2026-05-21T21:22:20Z,2026-05-21T21:22:20Z
ord_f4df4d70ab53,intent_9b202db04174,mes_yorb_sizing_L_4_2_1,mes_yorb_sizing_L_4_2_1_2020_04,MES,paper,buy,limit,1,1,cancelled,3397.5,,false,runner_entry,,,2020-11-04,2020-12-31T23:59:59,2026-05-21T21:22:20Z,2026-05-21T21:22:20Z
ord_f0d8b78bbbcd,intent_7be869441a79,mes_yorb_sizing_L_4_2_1,mes_yorb_sizing_L_4_2_1_2021_01,MES,paper,buy,limit,4,4,cancelled,3983.75,,false,entry,,,2021-04-01,2021-12-31T23:59:59,2026-05-21T21:22:21Z,2026-05-21T21:22:21Z
