alert_id,strategy_id,level,message,payload_json,status,created_at
alert_683577da57ac,mym_yorb_sizing_L_2_2_4,order_pending_verification,Yearly ORB long retest order intent created,{},sent,2026-05-21T21:46:48Z
alert_c0c9a78d7f95,mym_yorb_sizing_L_2_2_4,order_submitted,Submitted buy 2 MYM,{},sent,2026-05-21T21:46:48Z
alert_6aed2722cb60,mym_yorb_sizing_L_2_2_4,order_submitted,Submitted buy 2 MYM,{},sent,2026-05-21T21:46:48Z
alert_9d7c894ed0a2,mym_yorb_sizing_L_2_2_4,order_submitted,Submitted buy 4 MYM,{},sent,2026-05-21T21:46:48Z
alert_2e0ab925be24,mym_yorb_sizing_L_2_2_4,info,Yearly ORB range-close exit requested,{},sent,2026-05-21T21:46:48Z
alert_9323bb91bf4b,mym_yorb_sizing_L_2_2_4,order_submitted,Submitted sell 8 MYM,{},sent,2026-05-21T21:46:48Z
alert_476ea2c14e32,mym_yorb_sizing_L_2_2_4,order_pending_verification,Yearly ORB long retest order intent created,{},sent,2026-05-21T21:46:48Z
alert_06e0666c4dde,mym_yorb_sizing_L_2_2_4,order_submitted,Submitted buy 2 MYM,{},sent,2026-05-21T21:46:48Z
alert_5df2b030ba56,mym_yorb_sizing_L_2_2_4,order_submitted,Submitted buy 2 MYM,{},sent,2026-05-21T21:46:48Z
alert_56ea1de6329e,mym_yorb_sizing_L_2_2_4,order_submitted,Submitted buy 4 MYM,{},sent,2026-05-21T21:46:48Z
alert_0fc3c5416845,mym_yorb_sizing_L_2_2_4,info,Cancelled order ord_5eab4957a297,{},sent,2026-05-21T21:46:48Z
alert_a2da68d0339f,mym_yorb_sizing_L_2_2_4,info,Cancelled order ord_ebe6e3c1e470,{},sent,2026-05-21T21:46:48Z
alert_eeeaa7226156,mym_yorb_sizing_L_2_2_4,info,Cancelled order ord_1cdfe00c3728,{},sent,2026-05-21T21:46:48Z
alert_6dc06b97e318,mym_yorb_sizing_L_2_2_4,info,Cancelled order ord_bb77c7987f0f,{},sent,2026-05-21T21:46:48Z
alert_cf37ba95fde2,mym_yorb_sizing_L_2_2_4,info,Cancelled order ord_81a2c4c447c1,{},sent,2026-05-21T21:46:48Z
alert_1da603890b6c,mym_yorb_sizing_L_2_2_4,order_submitted,Submitted sell 8 MYM,{},sent,2026-05-21T21:46:48Z
alert_12ced33c6bb2,mym_yorb_sizing_L_2_2_4,order_pending_verification,Yearly ORB long retest order intent created,{},sent,2026-05-21T21:46:48Z
alert_b9e6b2b4f6a3,mym_yorb_sizing_L_2_2_4,order_submitted,Submitted buy 2 MYM,{},sent,2026-05-21T21:46:49Z
alert_ddb2ab0a0db1,mym_yorb_sizing_L_2_2_4,order_submitted,Submitted buy 2 MYM,{},sent,2026-05-21T21:46:49Z
alert_5d66888913ab,mym_yorb_sizing_L_2_2_4,order_submitted,Submitted buy 4 MYM,{},sent,2026-05-21T21:46:49Z
alert_7b243cdc201f,mym_yorb_sizing_L_2_2_4,info,Yearly ORB range-close exit requested,{},sent,2026-05-21T21:46:49Z
alert_55e49f1bde87,mym_yorb_sizing_L_2_2_4,order_submitted,Submitted sell 8 MYM,{},sent,2026-05-21T21:46:49Z
alert_08a7c703da0f,mym_yorb_sizing_L_2_2_4,order_pending_verification,Yearly ORB long retest order intent created,{},sent,2026-05-21T21:46:49Z
alert_4b2724799fd9,mym_yorb_sizing_L_2_2_4,order_submitted,Submitted buy 2 MYM,{},sent,2026-05-21T21:46:49Z
alert_eb3e7c3a4ece,mym_yorb_sizing_L_2_2_4,order_submitted,Submitted buy 2 MYM,{},sent,2026-05-21T21:46:49Z
alert_98813685de1a,mym_yorb_sizing_L_2_2_4,order_submitted,Submitted buy 4 MYM,{},sent,2026-05-21T21:46:49Z
alert_9ab04de39887,mym_yorb_sizing_L_2_2_4,order_pending_verification,Yearly ORB short retest order intent created,{},sent,2026-05-21T21:46:49Z
alert_0a319cbd4162,mym_yorb_sizing_L_2_2_4,order_submitted,Submitted sell 2 MYM,{},sent,2026-05-21T21:46:50Z
alert_b95094b00a0b,mym_yorb_sizing_L_2_2_4,order_submitted,Submitted sell 2 MYM,{},sent,2026-05-21T21:46:50Z
alert_366112c60513,mym_yorb_sizing_L_2_2_4,order_submitted,Submitted sell 4 MYM,{},sent,2026-05-21T21:46:50Z
alert_1778e6f4c383,mym_yorb_sizing_L_2_2_4,info,Yearly ORB range-close exit requested,{},sent,2026-05-21T21:46:50Z
alert_e2aee7611eb1,mym_yorb_sizing_L_2_2_4,order_submitted,Submitted buy 8 MYM,{},sent,2026-05-21T21:46:50Z
alert_2600a7dd5965,mym_yorb_sizing_L_2_2_4,order_pending_verification,Yearly ORB short retest order intent created,{},sent,2026-05-21T21:46:50Z
alert_28b6db56e690,mym_yorb_sizing_L_2_2_4,order_submitted,Submitted sell 2 MYM,{},sent,2026-05-21T21:46:50Z
alert_7cb043685b9d,mym_yorb_sizing_L_2_2_4,order_submitted,Submitted sell 2 MYM,{},sent,2026-05-21T21:46:50Z
alert_eb0290f7e6ac,mym_yorb_sizing_L_2_2_4,order_submitted,Submitted sell 4 MYM,{},sent,2026-05-21T21:46:50Z
alert_730e190f048e,mym_yorb_sizing_L_2_2_4,order_pending_verification,Yearly ORB short retest order intent created,{},sent,2026-05-21T21:46:50Z
alert_6bfd10355bb6,mym_yorb_sizing_L_2_2_4,order_submitted,Submitted sell 2 MYM,{},sent,2026-05-21T21:46:50Z
alert_7bb0e3e05167,mym_yorb_sizing_L_2_2_4,order_submitted,Submitted sell 2 MYM,{},sent,2026-05-21T21:46:50Z
alert_35e6a53c53bd,mym_yorb_sizing_L_2_2_4,order_submitted,Submitted sell 4 MYM,{},sent,2026-05-21T21:46:50Z
alert_bac4dc61e975,mym_yorb_sizing_L_2_2_4,info,Yearly ORB range-close exit requested,{},sent,2026-05-21T21:46:50Z
alert_6df898fac766,mym_yorb_sizing_L_2_2_4,order_submitted,Submitted buy 8 MYM,{},sent,2026-05-21T21:46:50Z
alert_42545e43d3b3,mym_yorb_sizing_L_2_2_4,order_pending_verification,Yearly ORB short retest order intent created,{},sent,2026-05-21T21:46:50Z
alert_ff18b5aebd28,mym_yorb_sizing_L_2_2_4,order_submitted,Submitted sell 2 MYM,{},sent,2026-05-21T21:46:50Z
alert_672e2dda6184,mym_yorb_sizing_L_2_2_4,order_submitted,Submitted sell 2 MYM,{},sent,2026-05-21T21:46:50Z
alert_e6b7f5ad7405,mym_yorb_sizing_L_2_2_4,order_submitted,Submitted sell 4 MYM,{},sent,2026-05-21T21:46:50Z
alert_f56a78afda69,mym_yorb_sizing_L_2_2_4,info,Yearly ORB range-close exit requested,{},sent,2026-05-21T21:46:50Z
