intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_1f112d7b55d5,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2020_01,MYM,paper,buy,limit,2,29541.0,,long_tp25_entry,submitted,true,verify_566fbae8ae3e,,false,entry,28815.0,32404.75,,GTC,2020-11-15,2020-12-31T23:59:59,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
intent_a081b9fb87a4,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2020_01,MYM,paper,buy,limit,4,29541.0,,long_tp_entry,submitted,true,verify_3a20186f65f6,,false,entry,28815.0,40996.0,,GTC,2020-11-15,2020-12-31T23:59:59,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
intent_27db4a4b7103,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2020_01,MYM,paper,buy,limit,1,29541.0,,long_runner_entry,submitted,true,verify_d182b9a6d34d,,false,runner_entry,28815.0,,,GTC,2020-11-15,2020-12-31T23:59:59,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
intent_9547ae93f5f2,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2020_01,MYM,paper,sell,stop,4,,28815.0,protective_stop,submitted,false,,intent_a081b9fb87a4,true,stop,,,ord_605a1e230944_bracket,GTC,,,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
intent_24547d23bb30,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2020_01,MYM,paper,sell,limit,4,40996.0,,target,submitted,false,,intent_a081b9fb87a4,true,target,,,ord_605a1e230944_bracket,GTC,,,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
intent_bff0b10fb967,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2020_01,MYM,paper,sell,stop,1,,28815.0,protective_stop,submitted,false,,intent_27db4a4b7103,true,runner_stop,,,ord_8c56b4944eb8_bracket,GTC,,,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
intent_e747f1d0147c,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2020_01,MYM,paper,sell,stop,2,,28815.0,protective_stop,submitted,false,,intent_1f112d7b55d5,true,stop,,,ord_97dd3569f61c_bracket,GTC,,,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
intent_d1d393610647,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2020_01,MYM,paper,sell,limit,2,32404.75,,target,submitted,false,,intent_1f112d7b55d5,true,target,,,ord_97dd3569f61c_bracket,GTC,,,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
intent_5613516859ef,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2020_01,MYM,paper,sell,market,7,,,range_close,submitted,false,,,true,close,,,,GTC,,,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
intent_47f6a2f85fb5,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2020_02,MYM,paper,buy,limit,2,29541.0,,long_tp25_entry,submitted,true,verify_47a043de3f1c,,false,entry,29121.0,32404.75,,GTC,2020-11-23,2020-12-31T23:59:59,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
intent_d7cc8ac7ff54,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2020_02,MYM,paper,buy,limit,4,29541.0,,long_tp_entry,submitted,true,verify_589da4d6c38c,,false,entry,29121.0,40996.0,,GTC,2020-11-23,2020-12-31T23:59:59,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
intent_aae56f7a2418,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2020_02,MYM,paper,buy,limit,1,29541.0,,long_runner_entry,submitted,true,verify_635d62780aa4,,false,runner_entry,29121.0,,,GTC,2020-11-23,2020-12-31T23:59:59,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
intent_ca49ef0b6c0f,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2020_02,MYM,paper,sell,stop,1,,29121.0,protective_stop,submitted,false,,intent_aae56f7a2418,true,runner_stop,,,ord_6ce2b15a7e3c_bracket,GTC,,,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
intent_479acaf406ee,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2020_02,MYM,paper,sell,stop,2,,29121.0,protective_stop,submitted,false,,intent_47f6a2f85fb5,true,stop,,,ord_9f82be742b54_bracket,GTC,,,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
intent_e33ad896e178,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2020_02,MYM,paper,sell,limit,2,32404.75,,target,submitted,false,,intent_47f6a2f85fb5,true,target,,,ord_9f82be742b54_bracket,GTC,,,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
intent_bc19a5b6f7af,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2020_02,MYM,paper,sell,stop,4,,29121.0,protective_stop,submitted,false,,intent_d7cc8ac7ff54,true,stop,,,ord_e93abb377890_bracket,GTC,,,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
intent_f911633af061,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2020_02,MYM,paper,sell,limit,4,40996.0,,target,submitted,false,,intent_d7cc8ac7ff54,true,target,,,ord_e93abb377890_bracket,GTC,,,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
intent_a14e93a85214,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2020_02,MYM,paper,sell,market,7,,,year_change,submitted,false,,,true,close,,,,GTC,,,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
intent_c7d339e1f6ec,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2021_01,MYM,paper,buy,limit,2,33133.0,,long_tp25_entry,submitted,true,verify_e241e2be3cea,,false,entry,32842.0,34028.5,,GTC,2021-04-02,2021-12-31T23:59:59,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
intent_deff5354250f,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2021_01,MYM,paper,buy,limit,4,33133.0,,long_tp_entry,submitted,true,verify_56d1341f91b9,,false,entry,32842.0,36715.0,,GTC,2021-04-02,2021-12-31T23:59:59,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
intent_19d3eb7e64b5,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2021_01,MYM,paper,buy,limit,1,33133.0,,long_runner_entry,submitted,true,verify_e40488d54682,,false,runner_entry,32842.0,,,GTC,2021-04-02,2021-12-31T23:59:59,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
intent_538850b50141,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2021_01,MYM,paper,sell,stop,4,,32842.0,protective_stop,submitted,false,,intent_deff5354250f,true,stop,,,ord_00b97d8fb430_bracket,GTC,,,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
intent_aa4a56901e12,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2021_01,MYM,paper,sell,limit,4,36715.0,,target,submitted,false,,intent_deff5354250f,true,target,,,ord_00b97d8fb430_bracket,GTC,,,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
intent_f7f2b0e0a4dd,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2021_01,MYM,paper,sell,stop,1,,32842.0,protective_stop,submitted,false,,intent_19d3eb7e64b5,true,runner_stop,,,ord_430dc59a94ab_bracket,GTC,,,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
intent_ab91dd77d8c4,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2021_01,MYM,paper,sell,stop,2,,32842.0,protective_stop,submitted,false,,intent_c7d339e1f6ec,true,stop,,,ord_719632678d3d_bracket,GTC,,,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
intent_87e57b08ab5f,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2021_01,MYM,paper,sell,limit,2,34028.5,,target,submitted,false,,intent_c7d339e1f6ec,true,target,,,ord_719632678d3d_bracket,GTC,,,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
intent_f3d7d01996bc,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2021_01,MYM,paper,sell,market,7,,,range_close,submitted,false,,,true,close,,,,GTC,,,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
intent_90ace394fae6,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2021_02,MYM,paper,buy,limit,2,33133.0,,long_tp25_entry,submitted,true,verify_8a9b462ab368,,false,entry,32842.0,34028.5,,GTC,2021-06-21,2021-12-31T23:59:59,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
intent_894d80c1203b,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2021_02,MYM,paper,buy,limit,4,33133.0,,long_tp_entry,submitted,true,verify_69e01deade9f,,false,entry,32842.0,36715.0,,GTC,2021-06-21,2021-12-31T23:59:59,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
intent_5e6465644a4d,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2021_02,MYM,paper,buy,limit,1,33133.0,,long_runner_entry,submitted,true,verify_301c11d954f5,,false,runner_entry,32842.0,,,GTC,2021-06-21,2021-12-31T23:59:59,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
intent_af40cdee0ee0,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2022_01,MYM,paper,sell,limit,2,32163.0,,short_tp25_entry,submitted,true,verify_79991a122ee0,,false,entry,34028.0,30995.75,,GTC,2022-05-10,2022-12-31T23:59:59,2026-05-21T21:47:01Z,2026-05-21T21:47:01Z
intent_02d084b14d3a,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2022_01,MYM,paper,sell,limit,4,32163.0,,short_tp_entry,submitted,true,verify_f4f5d91750f9,,false,entry,34028.0,27494.0,,GTC,2022-05-10,2022-12-31T23:59:59,2026-05-21T21:47:01Z,2026-05-21T21:47:01Z
intent_269c558ba76e,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2022_01,MYM,paper,sell,limit,1,32163.0,,short_runner_entry,submitted,true,verify_5aa5e956f1d9,,false,runner_entry,34028.0,,,GTC,2022-05-10,2022-12-31T23:59:59,2026-05-21T21:47:01Z,2026-05-21T21:47:01Z
intent_089b0a54f429,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2022_01,MYM,paper,buy,stop,1,,34028.0,protective_stop,submitted,false,,intent_269c558ba76e,true,runner_stop,,,ord_774ae8b79ba1_bracket,GTC,,,2026-05-21T21:47:01Z,2026-05-21T21:47:01Z
intent_2ffba97f9222,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2022_01,MYM,paper,buy,stop,2,,34028.0,protective_stop,submitted,false,,intent_af40cdee0ee0,true,stop,,,ord_a1fdf04e93d5_bracket,GTC,,,2026-05-21T21:47:01Z,2026-05-21T21:47:01Z
intent_4201205ff7f2,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2022_01,MYM,paper,buy,limit,2,30995.75,,target,submitted,false,,intent_af40cdee0ee0,true,target,,,ord_a1fdf04e93d5_bracket,GTC,,,2026-05-21T21:47:01Z,2026-05-21T21:47:01Z
intent_bc9d69024f00,mym_yorb_sizing_L_2_4_1,mym_yorb_sizing_L_2_4_1_2022_01,MYM,paper,buy,stop,4,,34028.0,protective_stop,submitted,false,,intent_02d084b14d3a,true,stop,,,ord_ff39c3429cdd_bracket,GTC,,,2026-05-21T21:47:01Z,2026-05-21T21:47:01Z
