verification_id,intent_id,strategy_id,account_mode,status,challenge,created_at,approved_at
verify_566fbae8ae3e,intent_1f112d7b55d5,mym_yorb_sizing_L_2_4_1,paper,approved,SPOOF-7b55d5,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
verify_3a20186f65f6,intent_a081b9fb87a4,mym_yorb_sizing_L_2_4_1,paper,approved,SPOOF-fb87a4,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
verify_d182b9a6d34d,intent_27db4a4b7103,mym_yorb_sizing_L_2_4_1,paper,approved,SPOOF-4b7103,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
verify_47a043de3f1c,intent_47f6a2f85fb5,mym_yorb_sizing_L_2_4_1,paper,approved,SPOOF-f85fb5,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
verify_589da4d6c38c,intent_d7cc8ac7ff54,mym_yorb_sizing_L_2_4_1,paper,approved,SPOOF-c7ff54,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
verify_635d62780aa4,intent_aae56f7a2418,mym_yorb_sizing_L_2_4_1,paper,approved,SPOOF-7a2418,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
verify_e241e2be3cea,intent_c7d339e1f6ec,mym_yorb_sizing_L_2_4_1,paper,approved,SPOOF-e1f6ec,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
verify_56d1341f91b9,intent_deff5354250f,mym_yorb_sizing_L_2_4_1,paper,approved,SPOOF-54250f,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
verify_e40488d54682,intent_19d3eb7e64b5,mym_yorb_sizing_L_2_4_1,paper,approved,SPOOF-7e64b5,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
verify_8a9b462ab368,intent_90ace394fae6,mym_yorb_sizing_L_2_4_1,paper,approved,SPOOF-94fae6,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
verify_69e01deade9f,intent_894d80c1203b,mym_yorb_sizing_L_2_4_1,paper,approved,SPOOF-c1203b,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
verify_301c11d954f5,intent_5e6465644a4d,mym_yorb_sizing_L_2_4_1,paper,approved,SPOOF-644a4d,2026-05-21T21:47:00Z,2026-05-21T21:47:00Z
verify_79991a122ee0,intent_af40cdee0ee0,mym_yorb_sizing_L_2_4_1,paper,approved,SPOOF-ee0ee0,2026-05-21T21:47:01Z,2026-05-21T21:47:01Z
verify_f4f5d91750f9,intent_02d084b14d3a,mym_yorb_sizing_L_2_4_1,paper,approved,SPOOF-b14d3a,2026-05-21T21:47:01Z,2026-05-21T21:47:01Z
verify_5aa5e956f1d9,intent_269c558ba76e,mym_yorb_sizing_L_2_4_1,paper,approved,SPOOF-8ba76e,2026-05-21T21:47:01Z,2026-05-21T21:47:01Z
verify_d45100bc0cbe,intent_5cc3dc04109f,mym_yorb_sizing_L_2_4_1,paper,approved,SPOOF-04109f,2026-05-21T21:47:01Z,2026-05-21T21:47:01Z
verify_1a00f2c5e359,intent_339542ed0bd5,mym_yorb_sizing_L_2_4_1,paper,approved,SPOOF-ed0bd5,2026-05-21T21:47:01Z,2026-05-21T21:47:01Z
verify_a70233b75b4a,intent_b6712a526e2e,mym_yorb_sizing_L_2_4_1,paper,approved,SPOOF-526e2e,2026-05-21T21:47:01Z,2026-05-21T21:47:01Z
