broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,remaining_quantity,status,limit_price,stop_price,reduce_only,bracket_role,parent_order_id,oco_group,live_after_ts,expires_after_ts,created_at,updated_at
ord_38ae2a93e4c8,intent_72bbd8aca575,mym_yorb_sizing_L_4_2_1_rc20,mym_yorb_sizing_L_4_2_1_rc20_2020_01,MYM,paper,buy,limit,4,0,filled,29541.0,,false,entry,,,2020-11-15,2020-12-31T23:59:59,2026-05-21T21:44:47Z,2026-05-21T21:44:47Z
ord_f153a31088b0,intent_39e4a513f2a8,mym_yorb_sizing_L_4_2_1_rc20,mym_yorb_sizing_L_4_2_1_rc20_2020_01,MYM,paper,buy,limit,2,0,filled,29541.0,,false,entry,,,2020-11-15,2020-12-31T23:59:59,2026-05-21T21:44:47Z,2026-05-21T21:44:47Z
ord_6c5ce15269c8,intent_faea9f8486f0,mym_yorb_sizing_L_4_2_1_rc20,mym_yorb_sizing_L_4_2_1_rc20_2020_01,MYM,paper,buy,limit,1,0,filled,29541.0,,false,runner_entry,,,2020-11-15,2020-12-31T23:59:59,2026-05-21T21:44:47Z,2026-05-21T21:44:47Z
ord_0d64e140138a,intent_5ab5e45f9b7b,mym_yorb_sizing_L_4_2_1_rc20,mym_yorb_sizing_L_4_2_1_rc20_2020_01,MYM,paper,sell,stop,4,4,cancelled,,28815.0,true,stop,ord_38ae2a93e4c8,ord_38ae2a93e4c8_bracket,,,2026-05-21T21:44:47Z,2026-05-21T21:44:47Z
ord_7f7a80e5bac9,intent_98380fcf28a6,mym_yorb_sizing_L_4_2_1_rc20,mym_yorb_sizing_L_4_2_1_rc20_2020_01,MYM,paper,sell,limit,4,4,cancelled,32404.75,,true,target,ord_38ae2a93e4c8,ord_38ae2a93e4c8_bracket,,,2026-05-21T21:44:47Z,2026-05-21T21:44:47Z
ord_9907eb381e7d,intent_f6ee7b7d5821,mym_yorb_sizing_L_4_2_1_rc20,mym_yorb_sizing_L_4_2_1_rc20_2020_01,MYM,paper,sell,stop,1,1,cancelled,,28815.0,true,runner_stop,ord_6c5ce15269c8,ord_6c5ce15269c8_bracket,,,2026-05-21T21:44:47Z,2026-05-21T21:44:47Z
ord_6ec9a2c2de2b,intent_655912fc73e2,mym_yorb_sizing_L_4_2_1_rc20,mym_yorb_sizing_L_4_2_1_rc20_2020_01,MYM,paper,sell,stop,2,2,cancelled,,28815.0,true,stop,ord_f153a31088b0,ord_f153a31088b0_bracket,,,2026-05-21T21:44:47Z,2026-05-21T21:44:47Z
ord_ddc2d395e2cd,intent_f65a55c9a9f9,mym_yorb_sizing_L_4_2_1_rc20,mym_yorb_sizing_L_4_2_1_rc20_2020_01,MYM,paper,sell,limit,2,2,cancelled,40996.0,,true,target,ord_f153a31088b0,ord_f153a31088b0_bracket,,,2026-05-21T21:44:47Z,2026-05-21T21:44:47Z
ord_6881ce406fd6,intent_f04db9eb06ec,mym_yorb_sizing_L_4_2_1_rc20,mym_yorb_sizing_L_4_2_1_rc20_2020_01,MYM,paper,sell,market,7,0,filled,,,true,close,,,,,2026-05-21T21:44:47Z,2026-05-21T21:44:47Z
ord_d1a339ccff3b,intent_fa2f5d82f33e,mym_yorb_sizing_L_4_2_1_rc20,mym_yorb_sizing_L_4_2_1_rc20_2021_01,MYM,paper,buy,limit,4,0,filled,33133.0,,false,entry,,,2021-04-02,2021-12-31T23:59:59,2026-05-21T21:44:48Z,2026-05-21T21:44:48Z
