verification_id,intent_id,strategy_id,account_mode,status,challenge,created_at,approved_at
verify_a4f1a4a6e4a7,intent_72bbd8aca575,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-aca575,2026-05-21T21:44:47Z,2026-05-21T21:44:47Z
verify_ac2ca0f9c3fc,intent_39e4a513f2a8,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-13f2a8,2026-05-21T21:44:47Z,2026-05-21T21:44:47Z
verify_1ef07b923d22,intent_faea9f8486f0,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-8486f0,2026-05-21T21:44:47Z,2026-05-21T21:44:47Z
verify_fdcfa51b9145,intent_fa2f5d82f33e,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-82f33e,2026-05-21T21:44:48Z,2026-05-21T21:44:48Z
verify_5fd9030ff29c,intent_e7058869a148,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-69a148,2026-05-21T21:44:48Z,2026-05-21T21:44:48Z
verify_219deef59695,intent_d34ae361b6b9,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-61b6b9,2026-05-21T21:44:48Z,2026-05-21T21:44:48Z
verify_eaa28da67a0d,intent_ed8c933d7698,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-3d7698,2026-05-21T21:44:49Z,2026-05-21T21:44:49Z
verify_ca55212a6eb9,intent_c0bb7f11ef9a,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-11ef9a,2026-05-21T21:44:49Z,2026-05-21T21:44:49Z
verify_986c5dfc04b9,intent_ab0d143096e5,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-3096e5,2026-05-21T21:44:49Z,2026-05-21T21:44:49Z
verify_3a583541d701,intent_7604070f66dd,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-0f66dd,2026-05-21T21:44:49Z,2026-05-21T21:44:49Z
verify_cfc7a24cc9fd,intent_81b2bee108dd,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-e108dd,2026-05-21T21:44:49Z,2026-05-21T21:44:49Z
verify_d9725cc24bc4,intent_d18e79d4baf1,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-d4baf1,2026-05-21T21:44:49Z,2026-05-21T21:44:49Z
verify_7d628a6af393,intent_5c69035877dc,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-5877dc,2026-05-21T21:44:49Z,2026-05-21T21:44:49Z
verify_ae96c046b8f3,intent_bb4cbb377c60,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-377c60,2026-05-21T21:44:49Z,2026-05-21T21:44:49Z
verify_9f8d1fa94b69,intent_dabb1ff413ef,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-f413ef,2026-05-21T21:44:49Z,2026-05-21T21:44:49Z
verify_595b5bb88573,intent_1d83352fa26f,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-2fa26f,2026-05-21T21:44:50Z,2026-05-21T21:44:50Z
verify_dc5dd2bf6623,intent_fc7e58f00403,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-f00403,2026-05-21T21:44:50Z,2026-05-21T21:44:50Z
verify_8d1114f04bf2,intent_6f3c06434838,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-434838,2026-05-21T21:44:50Z,2026-05-21T21:44:50Z
verify_7561310400b5,intent_d5d62b9ad68e,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-9ad68e,2026-05-21T21:44:50Z,2026-05-21T21:44:50Z
verify_fdbd30e05f05,intent_bb45c239ccfd,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-39ccfd,2026-05-21T21:44:50Z,2026-05-21T21:44:50Z
verify_4f5250f6ed77,intent_e941ff96b8dd,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-96b8dd,2026-05-21T21:44:50Z,2026-05-21T21:44:50Z
verify_bf1434adf953,intent_805eab86cb73,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-86cb73,2026-05-21T21:44:50Z,2026-05-21T21:44:50Z
verify_aef631a7cf24,intent_abff55e504ec,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-e504ec,2026-05-21T21:44:50Z,2026-05-21T21:44:50Z
verify_b513d3117c79,intent_c375932b7e01,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-2b7e01,2026-05-21T21:44:51Z,2026-05-21T21:44:51Z
verify_99103eaaaf13,intent_11a0a54adeee,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-4adeee,2026-05-21T21:44:51Z,2026-05-21T21:44:51Z
verify_70a0295432d5,intent_f338e3399d38,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-399d38,2026-05-21T21:44:51Z,2026-05-21T21:44:51Z
verify_3adc24f35e39,intent_b13f666a6f7c,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-6a6f7c,2026-05-21T21:44:51Z,2026-05-21T21:44:51Z
verify_28c1b3260982,intent_85bb2f6ec348,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-6ec348,2026-05-21T21:44:52Z,2026-05-21T21:44:52Z
verify_325e86a4c627,intent_8a4960d4092c,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-d4092c,2026-05-21T21:44:52Z,2026-05-21T21:44:52Z
verify_3cb646344f37,intent_64ca798cb8bf,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-8cb8bf,2026-05-21T21:44:52Z,2026-05-21T21:44:52Z
verify_c7c608bd3500,intent_c437b1e36be5,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-e36be5,2026-05-21T21:44:52Z,2026-05-21T21:44:52Z
verify_4cbf638573c6,intent_ea7c471063db,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-1063db,2026-05-21T21:44:52Z,2026-05-21T21:44:52Z
verify_d34a242761de,intent_f85df1ba86de,mym_yorb_sizing_L_4_2_1_rc20,paper,approved,SPOOF-ba86de,2026-05-21T21:44:52Z,2026-05-21T21:44:52Z
