intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_10fd84eb7c49,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2020_01,MYM,paper,buy,stop,7,,29541.0,long_oco_entry,submitted,true,verify_ada2d16b81b8,,false,entry,,,mym_yorb_sizing_O_4_2_1_rc20_2020_01_entry_oco,GTC,2020-04-01,2020-12-31T23:59:59,2026-05-21T21:44:57Z,2026-05-21T21:44:57Z
intent_185cbf3c6a98,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2020_01,MYM,paper,sell,stop,7,,18086.0,short_oco_entry,submitted,true,verify_1516b27f1877,,false,entry,,,mym_yorb_sizing_O_4_2_1_rc20_2020_01_entry_oco,GTC,2020-04-01,2020-12-31T23:59:59,2026-05-21T21:44:57Z,2026-05-21T21:44:57Z
intent_62c90528ef84,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2020_01,MYM,paper,sell,stop,7,,26909.0,protective_stop,submitted,false,,,true,stop,,,,GTC,2020-11-09,,2026-05-21T21:44:58Z,2026-05-21T21:44:58Z
intent_45816a3b1bd3,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2020_01,MYM,paper,sell,limit,4,32404.75,,target,submitted,false,,,true,target,,,,GTC,2020-11-09,,2026-05-21T21:44:58Z,2026-05-21T21:44:58Z
intent_2d8b9f750260,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2020_01,MYM,paper,sell,limit,2,40996.0,,target,submitted,false,,,true,target,,,,GTC,2020-11-09,,2026-05-21T21:44:58Z,2026-05-21T21:44:58Z
intent_e523898d0f14,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2020_01,MYM,paper,sell,market,7,,,year_change,submitted,false,,,true,close,,,,GTC,,,2026-05-21T21:44:58Z,2026-05-21T21:44:58Z
intent_4dab3035df3f,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2021_01,MYM,paper,buy,stop,7,,33133.0,long_oco_entry,submitted,true,verify_3fdebca86e72,,false,entry,,,mym_yorb_sizing_O_4_2_1_rc20_2021_01_entry_oco,GTC,2021-04-01,2021-12-31T23:59:59,2026-05-21T21:44:59Z,2026-05-21T21:44:59Z
intent_7f904a4dbc9a,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2021_01,MYM,paper,sell,stop,7,,29551.0,short_oco_entry,submitted,true,verify_ce0b472505e9,,false,entry,,,mym_yorb_sizing_O_4_2_1_rc20_2021_01_entry_oco,GTC,2021-04-01,2021-12-31T23:59:59,2026-05-21T21:44:59Z,2026-05-21T21:44:59Z
intent_b65db70282bb,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2021_01,MYM,paper,sell,stop,7,,32842.0,protective_stop,submitted,false,,,true,stop,,,,GTC,2021-04-02,,2026-05-21T21:44:59Z,2026-05-21T21:44:59Z
intent_01ab0964b02c,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2021_01,MYM,paper,sell,limit,4,34028.5,,target,submitted,false,,,true,target,,,,GTC,2021-04-02,,2026-05-21T21:44:59Z,2026-05-21T21:44:59Z
intent_86e1aff5cd0f,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2021_01,MYM,paper,sell,limit,2,36715.0,,target,submitted,false,,,true,target,,,,GTC,2021-04-02,,2026-05-21T21:44:59Z,2026-05-21T21:44:59Z
intent_ca5c0d31a408,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2021_01,MYM,paper,sell,market,3,,,year_change,submitted,false,,,true,close,,,,GTC,,,2026-05-21T21:44:59Z,2026-05-21T21:44:59Z
intent_76a0fcc4531d,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2022_01,MYM,paper,buy,stop,7,,36832.0,long_oco_entry,submitted,true,verify_5ae2169f954a,,false,entry,,,mym_yorb_sizing_O_4_2_1_rc20_2022_01_entry_oco,GTC,2022-04-01,2022-12-31T23:59:59,2026-05-21T21:45:00Z,2026-05-21T21:45:00Z
intent_52991e1ff032,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2022_01,MYM,paper,sell,stop,7,,32163.0,short_oco_entry,submitted,true,verify_9ae69810bfa9,,false,entry,,,mym_yorb_sizing_O_4_2_1_rc20_2022_01_entry_oco,GTC,2022-04-01,2022-12-31T23:59:59,2026-05-21T21:45:00Z,2026-05-21T21:45:00Z
intent_066046990c71,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2022_01,MYM,paper,buy,stop,7,,34028.0,protective_stop,submitted,false,,,true,stop,,,,GTC,2022-05-09,,2026-05-21T21:45:00Z,2026-05-21T21:45:00Z
intent_680e09b10874,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2022_01,MYM,paper,buy,limit,4,30995.75,,target,submitted,false,,,true,target,,,,GTC,2022-05-09,,2026-05-21T21:45:00Z,2026-05-21T21:45:00Z
intent_26f05392d202,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2022_01,MYM,paper,buy,limit,2,27494.0,,target,submitted,false,,,true,target,,,,GTC,2022-05-09,,2026-05-21T21:45:00Z,2026-05-21T21:45:00Z
intent_dccdd82fab2d,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2022_01,MYM,paper,buy,market,3,,,range_close,submitted,false,,,true,close,,,,GTC,,,2026-05-21T21:45:00Z,2026-05-21T21:45:00Z
intent_6b7ad27b6403,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2022_02,MYM,paper,buy,stop,7,,36832.0,long_oco_entry,submitted,true,verify_3360c50da18b,,false,entry,,,mym_yorb_sizing_O_4_2_1_rc20_2022_02_entry_oco,GTC,2022-05-29,2022-12-31T23:59:59,2026-05-21T21:45:00Z,2026-05-21T21:45:00Z
intent_b094df05e45d,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2022_02,MYM,paper,sell,stop,7,,32163.0,short_oco_entry,submitted,true,verify_9e988ab5c3ad,,false,entry,,,mym_yorb_sizing_O_4_2_1_rc20_2022_02_entry_oco,GTC,2022-05-29,2022-12-31T23:59:59,2026-05-21T21:45:00Z,2026-05-21T21:45:00Z
intent_6058efcb8814,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2022_02,MYM,paper,buy,stop,7,,33229.0,protective_stop,submitted,false,,,true,stop,,,,GTC,2022-06-10,,2026-05-21T21:45:00Z,2026-05-21T21:45:00Z
intent_15d765bec3e4,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2022_02,MYM,paper,buy,limit,4,30995.75,,target,submitted,false,,,true,target,,,,GTC,2022-06-10,,2026-05-21T21:45:00Z,2026-05-21T21:45:00Z
intent_8f1d3f337a51,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2022_02,MYM,paper,buy,limit,2,27494.0,,target,submitted,false,,,true,target,,,,GTC,2022-06-10,,2026-05-21T21:45:00Z,2026-05-21T21:45:00Z
intent_c225a97fb0f8,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2022_03,MYM,paper,buy,stop,7,,36832.0,long_oco_entry,submitted,true,verify_1f459a160465,,false,entry,,,mym_yorb_sizing_O_4_2_1_rc20_2022_03_entry_oco,GTC,2022-08-10,2022-12-31T23:59:59,2026-05-21T21:45:00Z,2026-05-21T21:45:00Z
intent_ed636fdc66fc,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2022_03,MYM,paper,sell,stop,7,,32163.0,short_oco_entry,submitted,true,verify_88260d391508,,false,entry,,,mym_yorb_sizing_O_4_2_1_rc20_2022_03_entry_oco,GTC,2022-08-10,2022-12-31T23:59:59,2026-05-21T21:45:00Z,2026-05-21T21:45:00Z
intent_b381dbc6451d,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2022_03,MYM,paper,buy,stop,7,,34245.0,protective_stop,submitted,false,,,true,stop,,,,GTC,2022-08-26,,2026-05-21T21:45:00Z,2026-05-21T21:45:00Z
intent_d0ffcb3468e7,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2022_03,MYM,paper,buy,limit,4,30995.75,,target,submitted,false,,,true,target,,,,GTC,2022-08-26,,2026-05-21T21:45:00Z,2026-05-21T21:45:00Z
intent_92b8ed5127e1,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2022_03,MYM,paper,buy,limit,2,27494.0,,target,submitted,false,,,true,target,,,,GTC,2022-08-26,,2026-05-21T21:45:00Z,2026-05-21T21:45:00Z
intent_c70992ebc7d9,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2022_03,MYM,paper,buy,market,3,,,range_close,submitted,false,,,true,close,,,,GTC,,,2026-05-21T21:45:00Z,2026-05-21T21:45:00Z
intent_cde032b19e3b,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2022_04,MYM,paper,buy,stop,7,,36832.0,long_oco_entry,submitted,true,verify_902538e915aa,,false,entry,,,mym_yorb_sizing_O_4_2_1_rc20_2022_04_entry_oco,GTC,2022-11-09,2022-12-31T23:59:59,2026-05-21T21:45:00Z,2026-05-21T21:45:00Z
intent_ce8979451176,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2022_04,MYM,paper,sell,stop,7,,32163.0,short_oco_entry,submitted,true,verify_548443d9a3a1,,false,entry,,,mym_yorb_sizing_O_4_2_1_rc20_2022_04_entry_oco,GTC,2022-11-09,2022-12-31T23:59:59,2026-05-21T21:45:00Z,2026-05-21T21:45:00Z
intent_ea41895c0e06,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2023_01,MYM,paper,buy,stop,7,,34551.0,long_oco_entry,submitted,true,verify_9e3c029a9f1b,,false,entry,,,mym_yorb_sizing_O_4_2_1_rc20_2023_01_entry_oco,GTC,2023-04-02,2023-12-31T23:59:59,2026-05-21T21:45:01Z,2026-05-21T21:45:01Z
intent_32baf6d62ecd,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2023_01,MYM,paper,sell,stop,7,,31640.0,short_oco_entry,submitted,true,verify_e8db5d5e9ed5,,false,entry,,,mym_yorb_sizing_O_4_2_1_rc20_2023_01_entry_oco,GTC,2023-04-02,2023-12-31T23:59:59,2026-05-21T21:45:01Z,2026-05-21T21:45:01Z
intent_5ede8ef24fa7,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2023_01,MYM,paper,sell,stop,7,,33448.0,protective_stop,submitted,false,,,true,stop,,,,GTC,2023-06-13,,2026-05-21T21:45:01Z,2026-05-21T21:45:01Z
intent_4b1ae4315fad,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2023_01,MYM,paper,sell,limit,4,35278.75,,target,submitted,false,,,true,target,,,,GTC,2023-06-13,,2026-05-21T21:45:01Z,2026-05-21T21:45:01Z
intent_fedc5d1d7815,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2023_01,MYM,paper,sell,limit,2,37462.0,,target,submitted,false,,,true,target,,,,GTC,2023-06-13,,2026-05-21T21:45:01Z,2026-05-21T21:45:01Z
intent_3f554cdc469a,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2023_01,MYM,paper,sell,market,7,,,range_close,submitted,false,,,true,close,,,,GTC,,,2026-05-21T21:45:01Z,2026-05-21T21:45:01Z
intent_1cab086295c5,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2023_02,MYM,paper,buy,stop,7,,34551.0,long_oco_entry,submitted,true,verify_f2ca63ff45d9,,false,entry,,,mym_yorb_sizing_O_4_2_1_rc20_2023_02_entry_oco,GTC,2023-06-25,2023-12-31T23:59:59,2026-05-21T21:45:01Z,2026-05-21T21:45:01Z
intent_10885df29254,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2023_02,MYM,paper,sell,stop,7,,31640.0,short_oco_entry,submitted,true,verify_1caa7af198bc,,false,entry,,,mym_yorb_sizing_O_4_2_1_rc20_2023_02_entry_oco,GTC,2023-06-25,2023-12-31T23:59:59,2026-05-21T21:45:01Z,2026-05-21T21:45:01Z
intent_49bc5d02d212,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2023_02,MYM,paper,sell,stop,7,,33856.0,protective_stop,submitted,false,,,true,stop,,,,GTC,2023-06-30,,2026-05-21T21:45:01Z,2026-05-21T21:45:01Z
intent_e984ec41647e,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2023_02,MYM,paper,sell,limit,4,35278.75,,target,submitted,false,,,true,target,,,,GTC,2023-06-30,,2026-05-21T21:45:01Z,2026-05-21T21:45:01Z
intent_9a2ede60aed1,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2023_02,MYM,paper,sell,limit,2,37462.0,,target,submitted,false,,,true,target,,,,GTC,2023-06-30,,2026-05-21T21:45:01Z,2026-05-21T21:45:01Z
intent_58d74248dd54,mym_yorb_sizing_O_4_2_1_rc20,mym_yorb_sizing_O_4_2_1_rc20_2023_02,MYM,paper,sell,market,7,,,range_close,submitted,false,,,true,close,,,,GTC,,,2026-05-21T21:45:01Z,2026-05-21T21:45:01Z
