intent_id,strategy_id,trade_id,instrument,account_mode,side,order_type,quantity,limit_price,stop_price,reason,status,requires_verification,verification_id,parent_intent_id,reduce_only,bracket_role,bracket_stop_price,bracket_target_price,oco_group,tif,live_after_ts,expires_after_ts,created_at,updated_at
intent_84e4099e1692,ym_yorb_sizing_L_1_1_3,ym_yorb_sizing_L_1_1_3_2011_01,YM,paper,buy,limit,1,12379.0,,long_tp25_entry,submitted,true,verify_d39f8e0cb48c,,false,entry,12036.0,12611.0,,GTC,2011-04-20,2011-12-31T23:59:59,2026-05-21T21:35:53Z,2026-05-21T21:35:53Z
intent_4a82af7bee26,ym_yorb_sizing_L_1_1_3,ym_yorb_sizing_L_1_1_3_2011_01,YM,paper,buy,limit,1,12379.0,,long_tp_entry,submitted,true,verify_8958955b801a,,false,entry,12036.0,13307.0,,GTC,2011-04-20,2011-12-31T23:59:59,2026-05-21T21:35:53Z,2026-05-21T21:35:53Z
intent_7b7e88091fdb,ym_yorb_sizing_L_1_1_3,ym_yorb_sizing_L_1_1_3_2011_01,YM,paper,buy,limit,3,12379.0,,long_runner_entry,submitted,true,verify_a785f56e77ea,,false,runner_entry,12036.0,,,GTC,2011-04-20,2011-12-31T23:59:59,2026-05-21T21:35:53Z,2026-05-21T21:35:53Z
intent_2fb41502eb68,ym_yorb_sizing_L_1_1_3,ym_yorb_sizing_L_1_1_3_2011_01,YM,paper,sell,stop,1,,12036.0,protective_stop,submitted,false,,intent_84e4099e1692,true,stop,,,ord_07945ff3dca5_bracket,GTC,,,2026-05-21T21:35:53Z,2026-05-21T21:35:53Z
intent_44a46b999344,ym_yorb_sizing_L_1_1_3,ym_yorb_sizing_L_1_1_3_2011_01,YM,paper,sell,limit,1,12611.0,,target,submitted,false,,intent_84e4099e1692,true,target,,,ord_07945ff3dca5_bracket,GTC,,,2026-05-21T21:35:53Z,2026-05-21T21:35:53Z
intent_97bb6a6ca9c4,ym_yorb_sizing_L_1_1_3,ym_yorb_sizing_L_1_1_3_2011_01,YM,paper,sell,stop,1,,12036.0,protective_stop,submitted,false,,intent_4a82af7bee26,true,stop,,,ord_1153870f574d_bracket,GTC,,,2026-05-21T21:35:53Z,2026-05-21T21:35:53Z
intent_17df6576fded,ym_yorb_sizing_L_1_1_3,ym_yorb_sizing_L_1_1_3_2011_01,YM,paper,sell,limit,1,13307.0,,target,submitted,false,,intent_4a82af7bee26,true,target,,,ord_1153870f574d_bracket,GTC,,,2026-05-21T21:35:53Z,2026-05-21T21:35:53Z
intent_4b7ca2ec09a3,ym_yorb_sizing_L_1_1_3,ym_yorb_sizing_L_1_1_3_2011_01,YM,paper,sell,stop,3,,12036.0,protective_stop,submitted,false,,intent_7b7e88091fdb,true,runner_stop,,,ord_3426af8ee09c_bracket,GTC,,,2026-05-21T21:35:53Z,2026-05-21T21:35:53Z
intent_41fa3e03f72d,ym_yorb_sizing_L_1_1_3,ym_yorb_sizing_L_1_1_3_2011_01,YM,paper,sell,market,4,,,range_close,submitted,false,,,true,close,,,,GTC,,,2026-05-21T21:35:53Z,2026-05-21T21:35:53Z
intent_a53b4141bccb,ym_yorb_sizing_L_1_1_3,ym_yorb_sizing_L_1_1_3_2011_02,YM,paper,buy,limit,1,12379.0,,long_tp25_entry,submitted,true,verify_2b27864c26ee,,false,entry,12036.0,12611.0,,GTC,2011-05-26,2011-12-31T23:59:59,2026-05-21T21:35:53Z,2026-05-21T21:35:53Z
intent_6778f77798c3,ym_yorb_sizing_L_1_1_3,ym_yorb_sizing_L_1_1_3_2011_02,YM,paper,buy,limit,1,12379.0,,long_tp_entry,submitted,true,verify_98fb6333bf63,,false,entry,12036.0,13307.0,,GTC,2011-05-26,2011-12-31T23:59:59,2026-05-21T21:35:53Z,2026-05-21T21:35:53Z
intent_de7278423cbe,ym_yorb_sizing_L_1_1_3,ym_yorb_sizing_L_1_1_3_2011_02,YM,paper,buy,limit,3,12379.0,,long_runner_entry,submitted,true,verify_d08f073f79c1,,false,runner_entry,12036.0,,,GTC,2011-05-26,2011-12-31T23:59:59,2026-05-21T21:35:53Z,2026-05-21T21:35:53Z
intent_fee4590646fe,ym_yorb_sizing_L_1_1_3,ym_yorb_sizing_L_1_1_3_2011_02,YM,paper,sell,stop,3,,12036.0,protective_stop,submitted,false,,intent_de7278423cbe,true,runner_stop,,,ord_1453df7e1578_bracket,GTC,,,2026-05-21T21:35:53Z,2026-05-21T21:35:53Z
intent_3fbd82d4e58f,ym_yorb_sizing_L_1_1_3,ym_yorb_sizing_L_1_1_3_2011_02,YM,paper,sell,stop,1,,12036.0,protective_stop,submitted,false,,intent_6778f77798c3,true,stop,,,ord_37f7c312e135_bracket,GTC,,,2026-05-21T21:35:53Z,2026-05-21T21:35:53Z
