alert_id,strategy_id,level,message,payload_json,status,created_at
alert_eccb6f92b9d0,ym_yorb_sizing_L_2_2_2,order_pending_verification,Yearly ORB long retest order intent created,{},sent,2026-05-21T21:28:56Z
alert_174d2dc92080,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T21:28:56Z
alert_f20739fac034,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T21:28:56Z
alert_711e40387ba2,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T21:28:56Z
alert_760d43bfa6e2,ym_yorb_sizing_L_2_2_2,info,Yearly ORB range-close exit requested,{},sent,2026-05-21T21:28:56Z
alert_bd7649b84ffd,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted sell 4 YM,{},sent,2026-05-21T21:28:56Z
alert_cf37449a7b68,ym_yorb_sizing_L_2_2_2,order_pending_verification,Yearly ORB long retest order intent created,{},sent,2026-05-21T21:28:56Z
alert_7357a179639f,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T21:28:56Z
alert_6b88da3f37bd,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T21:28:56Z
alert_ab4d89a64f9f,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T21:28:56Z
alert_c83191e7445c,ym_yorb_sizing_L_2_2_2,info,Yearly ORB range-close exit requested,{},sent,2026-05-21T21:28:56Z
alert_5e9703bb03bc,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted sell 6 YM,{},sent,2026-05-21T21:28:56Z
alert_d3982eed0a3f,ym_yorb_sizing_L_2_2_2,order_pending_verification,Yearly ORB long retest order intent created,{},sent,2026-05-21T21:28:56Z
alert_84a20a51171a,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T21:28:56Z
alert_5a54bc5a3b9b,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T21:28:56Z
alert_59c1e7b21c07,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T21:28:56Z
alert_73e2626b39fe,ym_yorb_sizing_L_2_2_2,info,Yearly ORB range-close exit requested,{},sent,2026-05-21T21:28:56Z
alert_e99836851eee,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted sell 6 YM,{},sent,2026-05-21T21:28:56Z
alert_507b3f19297b,ym_yorb_sizing_L_2_2_2,order_pending_verification,Yearly ORB long retest order intent created,{},sent,2026-05-21T21:28:56Z
alert_f30ce0c3e12d,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T21:28:56Z
alert_f783722e3659,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T21:28:56Z
alert_c68160ce4021,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T21:28:56Z
alert_4af22bf6f0a5,ym_yorb_sizing_L_2_2_2,info,Yearly ORB range-close exit requested,{},sent,2026-05-21T21:28:56Z
alert_762f506217fa,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted sell 6 YM,{},sent,2026-05-21T21:28:56Z
alert_4e14eea57b7a,ym_yorb_sizing_L_2_2_2,order_pending_verification,Yearly ORB long retest order intent created,{},sent,2026-05-21T21:28:56Z
alert_e8482aa364fa,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T21:28:56Z
alert_5bc6eccd4923,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T21:28:56Z
alert_a562b1519433,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T21:28:56Z
alert_001e0e4bc960,ym_yorb_sizing_L_2_2_2,info,Yearly ORB range-close exit requested,{},sent,2026-05-21T21:28:56Z
alert_c3b78656b1c9,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted sell 6 YM,{},sent,2026-05-21T21:28:56Z
alert_ab4960f8de44,ym_yorb_sizing_L_2_2_2,order_pending_verification,Yearly ORB short retest order intent created,{},sent,2026-05-21T21:28:57Z
alert_68e33a5b09a9,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted sell 2 YM,{},sent,2026-05-21T21:28:57Z
alert_5bba8142c3a1,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted sell 2 YM,{},sent,2026-05-21T21:28:57Z
alert_b6d70106afaf,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted sell 2 YM,{},sent,2026-05-21T21:28:57Z
alert_5acfb470ae1b,ym_yorb_sizing_L_2_2_2,info,Modified order ord_08a08d724623,{},sent,2026-05-21T21:28:57Z
alert_2501a0dee9cf,ym_yorb_sizing_L_2_2_2,order_pending_verification,Yearly ORB short retest order intent created,{},sent,2026-05-21T21:28:57Z
alert_06be5e46395b,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted sell 2 YM,{},sent,2026-05-21T21:28:57Z
alert_98125c8011c7,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted sell 2 YM,{},sent,2026-05-21T21:28:57Z
alert_c09e848fcf23,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted sell 2 YM,{},sent,2026-05-21T21:28:57Z
alert_637789a75678,ym_yorb_sizing_L_2_2_2,info,Modified order ord_5b9b4429464f,{},sent,2026-05-21T21:28:57Z
alert_d347db4cfc44,ym_yorb_sizing_L_2_2_2,order_pending_verification,Yearly ORB short retest order intent created,{},sent,2026-05-21T21:28:57Z
alert_cace15fca2f8,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted sell 2 YM,{},sent,2026-05-21T21:28:57Z
alert_cdc10e6a15e9,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted sell 2 YM,{},sent,2026-05-21T21:28:57Z
alert_46631291ce33,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted sell 2 YM,{},sent,2026-05-21T21:28:57Z
alert_ead5237d0c48,ym_yorb_sizing_L_2_2_2,info,Yearly ORB range-close exit requested,{},sent,2026-05-21T21:28:57Z
alert_153b9c0a5faf,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted buy 4 YM,{},sent,2026-05-21T21:28:57Z
alert_fa56af86f1b2,ym_yorb_sizing_L_2_2_2,order_pending_verification,Yearly ORB short retest order intent created,{},sent,2026-05-21T21:28:57Z
alert_6844f4750261,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted sell 2 YM,{},sent,2026-05-21T21:28:57Z
alert_2811564774b2,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted sell 2 YM,{},sent,2026-05-21T21:28:57Z
alert_7c2f1c118f1b,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted sell 2 YM,{},sent,2026-05-21T21:28:57Z
alert_9afd02b8fead,ym_yorb_sizing_L_2_2_2,info,Yearly ORB range-close exit requested,{},sent,2026-05-21T21:28:57Z
alert_dba53ca20db3,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted buy 6 YM,{},sent,2026-05-21T21:28:57Z
alert_7424134df6f7,ym_yorb_sizing_L_2_2_2,order_pending_verification,Yearly ORB short retest order intent created,{},sent,2026-05-21T21:28:57Z
alert_c0ac4d05a551,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted sell 2 YM,{},sent,2026-05-21T21:28:58Z
alert_9296d633a6b5,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted sell 2 YM,{},sent,2026-05-21T21:28:58Z
alert_3db0196f2245,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted sell 2 YM,{},sent,2026-05-21T21:28:58Z
alert_b1e2e75fa747,ym_yorb_sizing_L_2_2_2,info,Yearly ORB range-close exit requested,{},sent,2026-05-21T21:28:58Z
alert_4f1a8edbdf8f,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted buy 6 YM,{},sent,2026-05-21T21:28:58Z
alert_e6a25c7815ad,ym_yorb_sizing_L_2_2_2,order_pending_verification,Yearly ORB long retest order intent created,{},sent,2026-05-21T21:28:58Z
alert_78a9a34d4f83,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T21:28:58Z
alert_dcc683719897,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T21:28:58Z
alert_79d5d99c18e9,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T21:28:58Z
alert_191e10873527,ym_yorb_sizing_L_2_2_2,info,Yearly ORB range-close exit requested,{},sent,2026-05-21T21:28:58Z
alert_46f069892b8b,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted sell 6 YM,{},sent,2026-05-21T21:28:58Z
alert_1c6c75d13bf4,ym_yorb_sizing_L_2_2_2,order_pending_verification,Yearly ORB long retest order intent created,{},sent,2026-05-21T21:28:58Z
alert_0a10a580056e,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T21:28:58Z
alert_14641f455820,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T21:28:58Z
alert_4bb593e983be,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T21:28:58Z
alert_a7e59e56a7b8,ym_yorb_sizing_L_2_2_2,info,Yearly ORB range-close exit requested,{},sent,2026-05-21T21:28:58Z
alert_fcb024c7f674,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted sell 6 YM,{},sent,2026-05-21T21:28:58Z
alert_4bb06be6ca04,ym_yorb_sizing_L_2_2_2,order_pending_verification,Yearly ORB long retest order intent created,{},sent,2026-05-21T21:28:58Z
alert_61baeece9f23,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T21:28:58Z
alert_44a45cb419bc,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T21:28:58Z
alert_beb80ed830ff,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T21:28:58Z
alert_866df74fc280,ym_yorb_sizing_L_2_2_2,info,Yearly ORB range-close exit requested,{},sent,2026-05-21T21:28:58Z
alert_940ea714be5d,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted sell 6 YM,{},sent,2026-05-21T21:28:58Z
alert_6e6fd9804ece,ym_yorb_sizing_L_2_2_2,order_pending_verification,Yearly ORB long retest order intent created,{},sent,2026-05-21T21:28:58Z
alert_a1122d857199,ym_yorb_sizing_L_2_2_2,order_submitted,Submitted buy 2 YM,{},sent,2026-05-21T21:28:58Z
