fill_id,broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,quantity,price,ts,reason
fill_56b7fdeb14aa,ord_3f765553baa8,intent_f1bcd748713f,ym_yorb_sizing_L_3_1_3,ym_yorb_sizing_L_3_1_3_2011_01,YM,paper,buy,1,12379.0,2011-05-17,entry
fill_63dbd38b2e28,ord_6edb52593b8c,intent_0729876d25ad,ym_yorb_sizing_L_3_1_3,ym_yorb_sizing_L_3_1_3_2011_01,YM,paper,buy,3,12379.0,2011-05-17,runner_entry
fill_487668a8ad16,ord_afe9d6429db5,intent_4eef6bc352b1,ym_yorb_sizing_L_3_1_3,ym_yorb_sizing_L_3_1_3_2011_01,YM,paper,buy,3,12379.0,2011-05-17,entry
fill_1a77d1e423c2,ord_8a2d7600fb24,intent_9f1fa3b84669,ym_yorb_sizing_L_3_1_3,ym_yorb_sizing_L_3_1_3_2011_01,YM,paper,sell,3,12611.0,2011-05-19,target
fill_28245944e9a3,ord_c5c3b60acf00,intent_fbb64b67d980,ym_yorb_sizing_L_3_1_3,ym_yorb_sizing_L_3_1_3_2011_01,YM,paper,sell,4,12451.0,2011-05-23,close
fill_d768f6a3360b,ord_1566987d1dda,intent_929efb1d3b51,ym_yorb_sizing_L_3_1_3,ym_yorb_sizing_L_3_1_3_2011_02,YM,paper,buy,1,12379.0,2011-06-01,entry
fill_73cd696671be,ord_3989686f9340,intent_2f18f28a11ce,ym_yorb_sizing_L_3_1_3,ym_yorb_sizing_L_3_1_3_2011_02,YM,paper,buy,3,12379.0,2011-06-01,runner_entry
fill_713be4e3842a,ord_c24cf3fb2035,intent_81c00e2bb251,ym_yorb_sizing_L_3_1_3,ym_yorb_sizing_L_3_1_3_2011_02,YM,paper,buy,3,12379.0,2011-06-01,entry
fill_2ee777a6f56a,ord_3e206b1bf1cf,intent_8110c745890b,ym_yorb_sizing_L_3_1_3,ym_yorb_sizing_L_3_1_3_2011_02,YM,paper,sell,7,12572.0,2011-06-01,close
fill_f58b9c3e739d,ord_bea3e77913c5,intent_2668623d9db7,ym_yorb_sizing_L_3_1_3,ym_yorb_sizing_L_3_1_3_2011_03,YM,paper,buy,1,12379.0,2011-07-12,entry
fill_5bc9e28ca57e,ord_c54507efd802,intent_9ce6f7aec165,ym_yorb_sizing_L_3_1_3,ym_yorb_sizing_L_3_1_3_2011_03,YM,paper,buy,3,12379.0,2011-07-12,entry
fill_b91fe36cee9c,ord_f5247a3a1ddf,intent_61eeb4475131,ym_yorb_sizing_L_3_1_3,ym_yorb_sizing_L_3_1_3_2011_03,YM,paper,buy,3,12379.0,2011-07-12,runner_entry
fill_79df0770de26,ord_fc340ce62e55,intent_bc8ee03e5dca,ym_yorb_sizing_L_3_1_3,ym_yorb_sizing_L_3_1_3_2011_03,YM,paper,sell,7,12397.0,2011-07-14,close
fill_c6155d1aa179,ord_7f380a653f30,intent_b0735a332ea3,ym_yorb_sizing_L_3_1_3,ym_yorb_sizing_L_3_1_3_2011_04,YM,paper,buy,1,12379.0,2011-07-18,entry
fill_78d1ea5c7401,ord_91ef9af4dcaf,intent_395fffedbf92,ym_yorb_sizing_L_3_1_3,ym_yorb_sizing_L_3_1_3_2011_04,YM,paper,buy,3,12379.0,2011-07-18,runner_entry
fill_58b6b454f073,ord_ff714162404c,intent_359d046b2cd2,ym_yorb_sizing_L_3_1_3,ym_yorb_sizing_L_3_1_3_2011_04,YM,paper,buy,3,12379.0,2011-07-18,entry
fill_3d74d3980bfa,ord_a9806743da82,intent_feb5ae944730,ym_yorb_sizing_L_3_1_3,ym_yorb_sizing_L_3_1_3_2011_04,YM,paper,sell,7,12422.0,2011-07-18,close
fill_828a0ef10aa0,ord_702156ca8f7e,intent_7bda1d62a971,ym_yorb_sizing_L_3_1_3,ym_yorb_sizing_L_3_1_3_2011_05,YM,paper,buy,1,12379.0,2011-07-27,entry
fill_63d0a359c9a8,ord_b281cc4c19dc,intent_504cbee10261,ym_yorb_sizing_L_3_1_3,ym_yorb_sizing_L_3_1_3_2011_05,YM,paper,buy,3,12379.0,2011-07-27,runner_entry
fill_27088654d931,ord_cce003520471,intent_ef485851dc45,ym_yorb_sizing_L_3_1_3,ym_yorb_sizing_L_3_1_3_2011_05,YM,paper,buy,3,12379.0,2011-07-27,entry
