verification_id,intent_id,strategy_id,account_mode,status,challenge,created_at,approved_at
verify_49e468416e5d,intent_4eef6bc352b1,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-c352b1,2026-05-21T21:42:52Z,2026-05-21T21:42:52Z
verify_cac3138bde02,intent_f1bcd748713f,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-48713f,2026-05-21T21:42:52Z,2026-05-21T21:42:52Z
verify_b394aea1899a,intent_0729876d25ad,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-6d25ad,2026-05-21T21:42:52Z,2026-05-21T21:42:52Z
verify_3cebfd47017e,intent_81c00e2bb251,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-2bb251,2026-05-21T21:42:52Z,2026-05-21T21:42:52Z
verify_0759e3f48bd3,intent_929efb1d3b51,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-1d3b51,2026-05-21T21:42:52Z,2026-05-21T21:42:52Z
verify_bfb5e0d48972,intent_2f18f28a11ce,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-8a11ce,2026-05-21T21:42:52Z,2026-05-21T21:42:52Z
verify_171388eda3d1,intent_9ce6f7aec165,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-aec165,2026-05-21T21:42:52Z,2026-05-21T21:42:52Z
verify_f2379d3abfe6,intent_2668623d9db7,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-3d9db7,2026-05-21T21:42:52Z,2026-05-21T21:42:52Z
verify_83d9b8677acf,intent_61eeb4475131,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-475131,2026-05-21T21:42:52Z,2026-05-21T21:42:52Z
verify_82bc2bcc3315,intent_359d046b2cd2,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-6b2cd2,2026-05-21T21:42:52Z,2026-05-21T21:42:52Z
verify_eb64f034e51b,intent_b0735a332ea3,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-332ea3,2026-05-21T21:42:52Z,2026-05-21T21:42:52Z
verify_20dba8eb8ba5,intent_395fffedbf92,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-edbf92,2026-05-21T21:42:52Z,2026-05-21T21:42:52Z
verify_d710cf7c9da4,intent_ef485851dc45,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-51dc45,2026-05-21T21:42:53Z,2026-05-21T21:42:53Z
verify_aba273a79d9d,intent_7bda1d62a971,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-62a971,2026-05-21T21:42:53Z,2026-05-21T21:42:53Z
verify_d20e11a45096,intent_504cbee10261,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-e10261,2026-05-21T21:42:53Z,2026-05-21T21:42:53Z
verify_01e035444c09,intent_09f41d883c73,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-883c73,2026-05-21T21:42:53Z,2026-05-21T21:42:53Z
verify_45bac38bb8ce,intent_660453776e26,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-776e26,2026-05-21T21:42:53Z,2026-05-21T21:42:53Z
verify_44f5853cb410,intent_85420e4fe47e,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-4fe47e,2026-05-21T21:42:53Z,2026-05-21T21:42:53Z
verify_508e93c0ee30,intent_a97889a90f24,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-a90f24,2026-05-21T21:42:53Z,2026-05-21T21:42:53Z
verify_a3111a308e65,intent_b5de4d85f39b,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-85f39b,2026-05-21T21:42:53Z,2026-05-21T21:42:53Z
verify_3c63b5d311b9,intent_3521a1ec0332,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-ec0332,2026-05-21T21:42:53Z,2026-05-21T21:42:53Z
verify_b7f75f55c544,intent_21cfe4e42e32,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-e42e32,2026-05-21T21:42:53Z,2026-05-21T21:42:53Z
verify_018a6a7b66a3,intent_25fd64a8bcb3,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-a8bcb3,2026-05-21T21:42:53Z,2026-05-21T21:42:53Z
verify_6833de3a3d77,intent_fc2980193444,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-193444,2026-05-21T21:42:53Z,2026-05-21T21:42:53Z
verify_6089028bd3a6,intent_ae221f54ffae,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-54ffae,2026-05-21T21:42:53Z,2026-05-21T21:42:53Z
verify_b345f7159442,intent_db9916a56c95,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-a56c95,2026-05-21T21:42:53Z,2026-05-21T21:42:53Z
verify_45d30969f935,intent_edb367a0e4c6,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-a0e4c6,2026-05-21T21:42:53Z,2026-05-21T21:42:53Z
verify_88bb15855041,intent_e0da38436968,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-436968,2026-05-21T21:42:54Z,2026-05-21T21:42:54Z
verify_8e447a93c116,intent_ee82bbf71b33,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-f71b33,2026-05-21T21:42:54Z,2026-05-21T21:42:54Z
verify_2bc1ba05af93,intent_4ae537ef019b,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-ef019b,2026-05-21T21:42:54Z,2026-05-21T21:42:54Z
verify_112fdba6368f,intent_f27d4661b6d2,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-61b6d2,2026-05-21T21:42:54Z,2026-05-21T21:42:54Z
verify_0bfa7405fded,intent_6eb4babca289,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-bca289,2026-05-21T21:42:54Z,2026-05-21T21:42:54Z
verify_86bf77c059b6,intent_81ab4501f2b6,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-01f2b6,2026-05-21T21:42:54Z,2026-05-21T21:42:54Z
verify_a336f5b26ee2,intent_6ec1791be5e3,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-1be5e3,2026-05-21T21:42:54Z,2026-05-21T21:42:54Z
verify_7edeb9f155b0,intent_157024496353,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-496353,2026-05-21T21:42:54Z,2026-05-21T21:42:54Z
verify_e50bfcb6a007,intent_360336b2897e,ym_yorb_sizing_L_3_1_3,paper,approved,SPOOF-b2897e,2026-05-21T21:42:54Z,2026-05-21T21:42:54Z
