fill_id,broker_order_id,intent_id,strategy_id,trade_id,instrument,account_mode,side,quantity,price,ts,reason
fill_95650fd898fb,ord_32a094b85685,intent_b9780b269fdb,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210315_78,YM,paper,sell,5,32653.5,2021-03-15T11:02:00-04:00,entry
fill_24bee72a24af,ord_e6ffc492771c,intent_53d48783020e,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210315_78,YM,paper,buy,1,32674.5,2021-03-15T11:02:00-04:00,tp1
fill_9debb55dccc1,ord_e36dc7c1b590,intent_943fc5e1eb67,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210315_78,YM,paper,buy,1,32601.5,2021-03-15T11:28:00-04:00,tp2
fill_93e8850a112b,ord_2faad52984e1,intent_c02a5637ea43,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210315_78,YM,paper,buy,3,32748.25,2021-03-15T14:00:00-04:00,runner_stop
fill_d160250fa618,ord_c9d55ab6b34d,intent_0bc4b7e915d9,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210316_78,YM,paper,sell,5,32691.5,2021-03-16T11:02:00-04:00,entry
fill_ef487c9ff9c8,ord_bf717db33d12,intent_e43920091c48,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210316_78,YM,paper,buy,1,32720.5,2021-03-16T11:02:00-04:00,tp1
fill_eeab791fce0c,ord_26da27de2a79,intent_b5b497e816aa,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210316_78,YM,paper,buy,4,32780.25,2021-03-16T15:35:00-04:00,runner_stop
fill_444faf6fd27a,ord_b3766c94d6a8,intent_566504422ef3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210317_18,YM,paper,sell,5,32718.25,2021-03-17T10:05:00-04:00,entry
fill_4d331c6b41a7,ord_4a47fa3e82b6,intent_cf08e6c6dcaa,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210317_18,YM,paper,buy,5,32812.5,2021-03-17T11:35:00-04:00,wide_stop
fill_7d8e48716bed,ord_34db2b87f17d,intent_b1084380b326,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210318_258,YM,paper,sell,5,32852.25,2021-03-18T14:35:00-04:00,entry
fill_e4f0cf18d037,ord_3b96d1c9147d,intent_a113f57ad2a2,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210318_258,YM,paper,buy,1,32736.5,2021-03-18T15:47:00-04:00,tp1
fill_2a1f5be19f62,ord_90094a75ae7c,intent_37fafdfd9a72,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210318_258,YM,paper,buy,4,32768.5,2021-03-18T15:59:00-04:00,eod_close
fill_772b93430928,ord_fd1b5dea25ec,intent_39b4dd8cd671,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210323_258,YM,paper,sell,5,32477.5,2021-03-23T14:02:00-04:00,entry
fill_3be6825d8b0c,ord_603b88536e53,intent_7db3d88d91b8,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210323_258,YM,paper,buy,1,32440.5,2021-03-23T14:42:00-04:00,tp1
fill_80387d77e692,ord_c3014c622613,intent_e8c230447049,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210323_258,YM,paper,buy,1,32372.5,2021-03-23T15:01:00-04:00,tp2
fill_80a0f17e6364,ord_529e2bc6a486,intent_396d7e59f91c,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210323_258,YM,paper,buy,3,32301.5,2021-03-23T15:59:00-04:00,eod_close
fill_2e68516c216a,ord_9b58cdd86089,intent_1d3a0af73ae9,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210324_318,YM,paper,sell,5,32411.25,2021-03-24T15:32:00-04:00,entry
fill_b6cbb464528d,ord_32cca493fd34,intent_bb3b6c4ad5f0,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210324_318,YM,paper,buy,5,32305.5,2021-03-24T15:59:00-04:00,eod_close
fill_8999f0cafac2,ord_976927a3349a,intent_d90ae0313808,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210330_18,YM,paper,sell,5,32936.25,2021-03-30T10:06:00-04:00,entry
fill_4c0631472286,ord_dacf26d0c7e0,intent_62bc2046754b,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210330_18,YM,paper,buy,5,33020.5,2021-03-30T10:29:00-04:00,wide_stop
fill_12938766896b,ord_f0830ae3bf0b,intent_d9b0aa2585bf,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210331_01,YM,paper,sell,5,32930.25,2021-03-31T10:14:00-04:00,entry
fill_1c6f661d2556,ord_6f180e637944,intent_6920afcbb740,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210331_01,YM,paper,buy,5,32907.5,2021-03-31T15:59:00-04:00,eod_close
fill_9a150fe377bb,ord_3416e43df9d0,intent_b3e7b92140f5,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210406_01,YM,paper,sell,5,33331.25,2021-04-06T13:26:00-04:00,entry
fill_b65cbf9c8b54,ord_528e9209e58c,intent_c3a4723ff515,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210406_01,YM,paper,buy,5,33377.5,2021-04-06T13:48:00-04:00,wide_stop
fill_77bc302f7548,ord_1edd60ed986f,intent_e7e8de90e69a,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210419_01,YM,paper,sell,5,33931.25,2021-04-19T10:04:00-04:00,entry
fill_52396df6e8fc,ord_ebd6810c3862,intent_07d7b1b696bf,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210419_01,YM,paper,buy,5,33978.5,2021-04-19T15:59:00-04:00,eod_close
fill_6ab593f031fd,ord_3c4399e19fb3,intent_88f3807daf6f,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210422_01,YM,paper,sell,5,33855.25,2021-04-22T10:02:00-04:00,entry
fill_1dec28c51c3e,ord_30f999f0c722,intent_63ce7e4126d0,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210422_01,YM,paper,buy,5,34007.5,2021-04-22T12:36:00-04:00,wide_stop
fill_0054fe76ac46,ord_e67cbc1d06a8,intent_c94b2bb5a43c,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210426_318,YM,paper,sell,5,33915.5,2021-04-26T15:02:00-04:00,entry
fill_99d509178620,ord_478c38d46189,intent_902569e6419a,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210426_318,YM,paper,buy,1,33907.5,2021-04-26T15:29:00-04:00,tp1
fill_1abb0c34f246,ord_7c5c508ac174,intent_8b7249a1d331,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210426_318,YM,paper,buy,1,33838.5,2021-04-26T15:30:00-04:00,tp2
fill_4bd2104c8382,ord_d988565f2d98,intent_732930ccd681,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210426_318,YM,paper,buy,3,33887.5,2021-04-26T15:59:00-04:00,eod_close
fill_50ef9d79fdf5,ord_fc469fd84185,intent_623cbc8bbef3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210429_18,YM,paper,sell,5,33805.5,2021-04-29T10:02:00-04:00,entry
fill_972e69c11d3c,ord_62fe834eff16,intent_0442236efb9e,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210429_18,YM,paper,buy,1,33712.5,2021-04-29T10:36:00-04:00,tp1
fill_431dd270b44d,ord_89af457ff81b,intent_1a255e49cf76,ym_v2b_prior_opposed_stpmc_only_S_1_1_3,ym_v2b_prior_opposed_stpmc_only_S_1_1_3_20210429_18,YM,paper,buy,4,33822.25,2021-04-29T13:12:00-04:00,runner_stop
