year,start_capital_usd,bump_level,max_contracts,required_capital_usd,capital_headroom_usd,year_net_usd,year_mtm_dd_usd,year_max_open_units,end_capital_usd
2010,96731.25,0,10,96731.25,0.0,0.0,0.0,0,96731.25
2011,96731.25,0,10,96731.25,0.0,0.0,0.0,0,96731.25
2012,96731.25,0,10,96731.25,0.0,-483.75,-6517.5,10,96247.5
2013,96247.5,NO_TRADE,0,,,0.0,0.0,0,96247.5
2014,96247.5,NO_TRADE,0,,,0.0,0.0,0,96247.5
2015,96247.5,NO_TRADE,0,,,0.0,0.0,0,96247.5
2016,96247.5,NO_TRADE,0,,,0.0,0.0,0,96247.5
2017,96247.5,NO_TRADE,0,,,0.0,0.0,0,96247.5
2018,96247.5,NO_TRADE,0,,,0.0,0.0,0,96247.5
2019,96247.5,NO_TRADE,0,,,0.0,0.0,0,96247.5
2020,96247.5,NO_TRADE,0,,,0.0,0.0,0,96247.5
2021,96247.5,NO_TRADE,0,,,0.0,0.0,0,96247.5
2022,96247.5,NO_TRADE,0,,,0.0,0.0,0,96247.5
2023,96247.5,NO_TRADE,0,,,0.0,0.0,0,96247.5
2024,96247.5,NO_TRADE,0,,,0.0,0.0,0,96247.5
2025,96247.5,NO_TRADE,0,,,0.0,0.0,0,96247.5
2026,96247.5,NO_TRADE,0,,,0.0,0.0,0,96247.5
