trade_id,direction,signal_date,entry_date,exit_date,exit_reason,prior_bearish_stop_level,initial_entry_guard_level,units,max_units,net_points,net_usd,mae_usd,mfe_usd,cumulative_points,cumulative_usd
1,Long,2020-10-11,2020-10-12,2020-10-20,Initial-Entry-Close-Exit,11737.70321628046,11743.5,1,1,-28.25,-56.5,-303.0,1011.0,-28.25,-56.5
2,Long,2020-11-04,2020-11-05,2020-11-11,Initial-Entry-Close-Exit,11758.320840484676,11795.25,1,1,-197.5,-395.0,-584.5,1225.5,-225.75,-451.5
3,Long,2020-11-11,2020-11-12,2021-01-29,Weekly-ATR-Bearish-Exit,11383.500198752088,11795.25,8,8,5337.0,10674.0,-457.0,18066.0,5111.25,10222.5
4,Long,2021-06-04,2021-06-06,2021-06-07,Initial-Entry-Close-Exit,13757.441412012562,13772.25,1,1,-4.75,-9.5,-12.5,29.0,5106.5,10213.0
5,Long,2021-06-07,2021-06-08,2021-09-17,Weekly-ATR-Bearish-Exit,13248.206537989918,13772.25,10,10,7738.0,15476.0,-192.5,20021.0,12844.5,25689.0
6,Long,2021-10-18,2021-10-19,2021-11-26,Weekly-ATR-Bearish-Exit,15240.275017375738,15292.25,4,4,2025.0,4050.0,-37.0,7228.0,14869.5,29739.0
7,Long,2021-12-27,2021-12-28,2021-12-29,Initial-Entry-Close-Exit,16489.312760885827,16555.0,1,1,-16.25,-32.5,-203.5,207.0,14853.25,29706.5
8,Long,2023-08-29,2023-08-30,2023-09-07,Initial-Entry-Close-Exit,15367.460337387207,15434.5,1,1,-44.25,-88.5,-248.0,453.5,14809.0,29618.0
9,Long,2023-09-11,2023-09-12,2023-09-17,Initial-Entry-Close-Exit,14925.185541759403,15434.5,1,1,-274.25,-548.5,-602.5,123.5,14534.75,29069.5
10,Long,2023-10-11,2023-10-12,2023-10-13,Initial-Entry-Close-Exit,15316.661675791247,15414.75,1,1,-84.75,-169.5,-397.0,109.5,14450.0,28900.0
11,Long,2023-11-03,2023-11-05,2023-11-06,Initial-Entry-Close-Exit,15049.779839334511,15187.0,1,1,-11.25,-22.5,-29.0,32.0,14438.75,28877.5
12,Long,2023-11-06,2023-11-07,2024-01-03,Weekly-ATR-Bearish-Exit,14490.687350453152,15187.0,8,8,2974.5,5949.0,-467.0,12409.0,17413.25,34826.5
13,Long,2024-08-13,2024-08-14,2024-08-15,Initial-Entry-Close-Exit,19091.248544460275,19117.0,1,1,-10.25,-20.5,-383.0,173.5,17403.0,34806.0
14,Long,2024-08-15,2024-08-16,2024-09-04,Initial-Entry-Close-Exit,17792.64033997254,19117.0,2,2,-1235.0,-2470.0,-2658.0,823.5,16168.0,32336.0
15,Long,2024-09-13,2024-09-15,2024-12-18,Weekly-ATR-Bearish-Exit,19472.003293209666,19498.25,10,10,16128.75,32257.5,-3300.0,35302.5,32296.75,64593.5
16,Long,2025-08-08,2025-08-10,2025-08-11,Initial-Entry-Close-Exit,23650.76479549173,23767.25,1,1,-60.25,-120.5,-132.0,5.5,32236.5,64473.0
17,Long,2025-08-12,2025-08-13,2025-08-20,Initial-Entry-Close-Exit,22911.686781959386,23767.25,1,1,-537.0,-1074.0,-1092.5,218.5,31699.5,63399.0
18,Long,2025-09-07,2025-09-08,2025-10-10,Weekly-ATR-Bearish-Exit,23164.68594568687,23767.25,4,4,2682.5,5365.0,-103.5,5825.0,34382.0,68764.0
19,Long,2025-10-26,2025-10-27,2025-11-05,Initial-Entry-Close-Exit,25636.97430822077,25717.0,1,1,-212.75,-425.5,-430.5,1365.0,34169.25,68338.5
20,Long,2025-11-05,2025-11-06,2025-11-07,Initial-Entry-Close-Exit,25169.268005933445,25717.0,1,1,-456.0,-912.0,-1151.0,102.0,33713.25,67426.5
21,Long,2025-11-10,2025-11-11,2025-11-12,Initial-Entry-Close-Exit,25169.268005933445,25717.0,1,1,-91.5,-183.0,-527.0,53.5,33621.75,67243.5
22,Long,2025-12-24,2025-12-25,2025-12-28,Initial-Entry-Close-Exit,25828.56635263139,25870.0,1,1,-1.0,-2.0,-71.5,130.0,33620.75,67241.5
