market,gap_type,prev_close_date,open_date,direction,prev_close,open_px,gap_pts,abs_gap_pts,filled,fill_time,chart
MNQ,daily,2019-05-06,2019-05-07,Gap Down,7808.25,7719.5,-88.75,88.75,0,,
MNQ,daily,2019-05-07,2019-05-08,Gap Down,7653.75,7629.5,-24.25,24.25,1,2019-05-08T09:48:00-04:00,
MNQ,daily,2019-05-08,2019-05-09,Gap Down,7627.25,7550.5,-76.75,76.75,0,,
MNQ,daily,2019-05-09,2019-05-10,Gap Down,7592.75,7563.5,-29.25,29.25,1,2019-05-10T15:06:00-04:00,
MNQ,daily,2019-05-13,2019-05-14,Gap Up,7333.25,7372.5,39.25,39.25,0,,
MNQ,daily,2019-05-14,2019-05-15,Gap Down,7411.5,7367.0,-44.5,44.5,1,2019-05-15T09:56:00-04:00,
MNQ,daily,2019-05-15,2019-05-16,Gap Up,7517.5,7519.25,1.75,1.75,1,2019-05-16T09:30:00-04:00,
MNQ,daily,2019-05-16,2019-05-17,Gap Down,7594.0,7517.0,-77.0,77.0,1,2019-05-17T10:54:00-04:00,
MNQ,daily,2019-05-20,2019-05-21,Gap Up,7387.0,7450.75,63.75,63.75,0,,
MNQ,daily,2019-05-21,2019-05-22,Gap Down,7463.25,7421.0,-42.25,42.25,1,2019-05-22T10:15:00-04:00,
MNQ,daily,2019-05-22,2019-05-23,Gap Down,7430.5,7345.5,-85.0,85.0,0,,
MNQ,daily,2019-05-23,2019-05-24,Gap Up,7316.25,7356.75,40.5,40.5,1,2019-05-24T10:53:00-04:00,
MNQ,daily,2019-05-27,2019-05-28,Gap Up,7318.75,7329.25,10.5,10.5,1,2019-05-28T14:30:00-04:00,
MNQ,daily,2019-05-28,2019-05-29,Gap Down,7283.0,7239.75,-43.25,43.25,0,,
MNQ,daily,2019-05-29,2019-05-30,Gap Up,7223.5,7241.25,17.75,17.75,1,2019-05-30T14:24:00-04:00,
MNQ,daily,2019-05-30,2019-05-31,Gap Down,7252.0,7165.75,-86.25,86.25,0,,
MNQ,daily,2019-06-03,2019-06-04,Gap Up,6979.5,7051.75,72.25,72.25,0,,
MNQ,daily,2019-06-04,2019-06-05,Gap Up,7171.5,7239.75,68.25,68.25,1,2019-06-05T10:30:00-04:00,
MNQ,daily,2019-06-05,2019-06-06,Gap Up,7226.0,7236.5,10.5,10.5,1,2019-06-06T09:31:00-04:00,
MNQ,daily,2019-06-06,2019-06-07,Gap Up,7282.25,7318.5,36.25,36.25,0,,
MNQ,daily,2019-06-10,2019-06-11,Gap Up,7506.75,7587.5,80.75,80.75,1,2019-06-11T12:03:00-04:00,
MNQ,daily,2019-06-11,2019-06-12,Gap Down,7517.75,7496.25,-21.5,21.5,0,,
MNQ,daily,2019-06-12,2019-06-13,Gap Up,7475.25,7505.25,30.0,30.0,0,,
MNQ,daily,2019-06-13,2019-06-14,Gap Down,7518.75,7476.0,-42.75,42.75,0,,
MNQ,daily,2019-06-17,2019-06-18,Gap Up,7555.75,7643.0,87.25,87.25,0,,
MNQ,daily,2019-06-18,2019-06-19,Gap Up,7666.75,7679.25,12.5,12.5,1,2019-06-19T09:35:00-04:00,
MNQ,daily,2019-06-19,2019-06-20,Gap Up,7695.75,7801.25,105.5,105.5,0,,
MNQ,daily,2019-06-20,2019-06-21,Gap Down,7762.5,7751.75,-10.75,10.75,1,2019-06-21T10:04:00-04:00,
MNQ,daily,2019-06-24,2019-06-25,Gap Down,7753.0,7749.0,-4.0,4.0,1,2019-06-25T09:30:00-04:00,
MNQ,daily,2019-06-25,2019-06-26,Gap Up,7621.75,7670.25,48.5,48.5,0,,
MNQ,daily,2019-06-26,2019-06-27,Gap Up,7655.5,7682.0,26.5,26.5,0,,
