session,side,entry_time,entry_px,exit_time,exit_px,reason_exit,pnl_usd
2019-05-06,short,2019-05-06 10:11:00-04:00,7751.902526596375,2019-05-06 11:46:00-04:00,7787.2287898945615,sl_atr,-70.65
2019-05-07,long,2019-05-07 10:40:00-04:00,7678.484982883857,2019-05-07 11:03:00-04:00,7645.477474325786,sl_atr,-66.02
2019-05-10,long,2019-05-10 10:38:00-04:00,7474.5838901417455,2019-05-10 11:43:00-04:00,7436.625835212618,sl_atr,-75.92
2019-05-14,short,2019-05-14 11:35:00-04:00,7436.3510469768125,2019-05-14 15:59:00-04:00,7411.5,session_16:00,49.7
2019-05-15,short,2019-05-15 12:05:00-04:00,7517.1727051778635,2019-05-15 15:59:00-04:00,7517.5,session_16:00,-0.65
2019-05-23,long,2019-05-23 11:00:00-04:00,7329.824407346838,2019-05-23 11:56:00-04:00,7300.861611020257,sl_atr,-57.93
2019-05-28,long,2019-05-28 15:31:00-04:00,7295.620810406246,2019-05-28 15:59:00-04:00,7283.0,session_16:00,-25.24
2019-05-29,long,2019-05-29 11:29:00-04:00,7205.014471442689,2019-05-29 15:59:00-04:00,7223.5,session_16:00,36.97
2019-05-31,long,2019-05-31 12:22:00-04:00,7157.841364562162,2019-05-31 15:38:00-04:00,7131.387046843243,sl_atr,-52.91
2019-06-03,long,2019-06-03 12:21:00-04:00,7018.088474583277,2019-06-03 13:31:00-04:00,6986.382711874916,sl_atr,-63.41
2019-06-04,short,2019-06-04 10:20:00-04:00,7065.485357792835,2019-06-04 11:02:00-04:00,7097.603036689253,sl_atr,-64.24
2019-06-06,short,2019-06-06 15:31:00-04:00,7286.038376583995,2019-06-06 15:59:00-04:00,7282.25,session_16:00,7.58
2019-06-13,short,2019-06-13 11:00:00-04:00,7508.364864130596,2019-06-13 15:59:00-04:00,7518.75,session_16:00,-20.77
2019-06-14,long,2019-06-14 11:11:00-04:00,7467.381168341674,2019-06-14 15:59:00-04:00,7482.0,session_16:00,29.24
2019-06-19,long,2019-06-19 14:00:00-04:00,7639.620863540247,2019-06-19 15:59:00-04:00,7695.75,session_16:00,112.26
2019-06-20,long,2019-06-20 12:19:00-04:00,7710.182042138841,2019-06-20 15:59:00-04:00,7762.5,session_16:00,104.64
2019-06-21,short,2019-06-21 11:02:00-04:00,7789.961390197504,2019-06-21 15:59:00-04:00,7755.75,session_16:00,68.42
2019-06-24,long,2019-06-24 10:00:00-04:00,7750.58884960859,2019-06-24 15:59:00-04:00,7753.0,session_16:00,4.82
2019-06-25,long,2019-06-25 10:39:00-04:00,7693.500193765313,2019-06-25 12:37:00-04:00,7675.625290647969,sl_atr,-35.75
2019-06-26,short,2019-06-26 12:00:00-04:00,7692.118791250793,2019-06-26 15:59:00-04:00,7655.5,session_16:00,73.24
2019-07-01,short,2019-07-01 10:02:00-04:00,7836.526526452376,2019-07-01 15:59:00-04:00,7793.0,session_16:00,87.05
2019-07-03,short,2019-07-03 10:39:00-04:00,7863.719333708044,2019-07-03 12:55:00-04:00,7880.3290005620665,sl_atr,-33.22
2019-07-05,long,2019-07-05 15:12:00-04:00,7864.5912756337675,2019-07-05 15:59:00-04:00,7868.5,session_16:00,7.82
2019-07-08,long,2019-07-08 11:40:00-04:00,7788.977681295692,2019-07-08 15:59:00-04:00,7810.75,session_16:00,43.54
2019-07-10,short,2019-07-10 11:00:00-04:00,7902.848514895436,2019-07-10 13:33:00-04:00,7929.147772343154,sl_atr,-52.6
2019-07-11,long,2019-07-11 13:37:00-04:00,7911.090356093324,2019-07-11 15:59:00-04:00,7919.5,session_16:00,16.82
2019-07-16,long,2019-07-16 10:17:00-04:00,7972.577614669399,2019-07-16 11:58:00-04:00,7960.116422004099,sl_atr,-24.92
2019-07-17,long,2019-07-17 15:57:00-04:00,7914.22819728995,2019-07-17 15:59:00-04:00,7909.0,session_16:00,-10.46
2019-07-18,short,2019-07-18 10:07:00-04:00,7890.079078991113,2019-07-18 14:24:00-04:00,7908.618618486671,sl_atr,-37.08
2019-07-19,long,2019-07-19 10:49:00-04:00,7919.851895149794,2019-07-19 14:10:00-04:00,7898.27784272469,sl_atr,-43.15
2019-07-23,short,2019-07-23 15:59:00-04:00,7970.047162042679,2019-07-23 15:59:00-04:00,7970.25,session_16:00,-0.41
