segment,trades,days,net_usd,trade_max_dd_usd,daily_max_dd_usd,win_rate,profit_factor,avg_trade_usd,median_trade_usd
full adaptive baseline,1920,1284,22020.0,-5411.5,-5379.5,0.496875,1.1359674715422305,11.46875,-1.75
"full adaptive, v2b monthly aligned only",899,739,10325.0,-4063.0,-4063.0,0.5116796440489433,1.1393801128540186,11.484983314794215,12.0
"full adaptive, v2b monthly opposed only",911,751,15371.0,-3720.5,-3720.5,0.5137211855104281,1.2093328884561172,16.87266739846323,22.0
"full adaptive, v2b monthly outside only",1327,893,22739.0,-4053.0,-4053.0,0.5124340617935192,1.215524309159238,17.135644310474756,14.0
v2b only baseline,1437,961,19063.0,-5442.0,-5410.0,0.4913013221990257,1.1589252143610436,13.265831593597774,-6.5
v2b aligned only,416,416,7368.0,-3158.0,-3158.0,0.5096153846153846,1.2296972908937869,17.71153846153846,9.25
v2b opposed only,428,428,12414.0,-2537.0,-2537.0,0.514018691588785,1.3950043751491528,29.00467289719626,18.5
v2b monthly outside only,844,570,19782.0,-2297.5,-1963.5,0.5118483412322274,1.3115054838633482,23.438388625592417,10.0
v2b dropped by monthly filter,1021,819,11695.0,-6312.5,-6312.5,0.4838393731635651,1.1330905573416028,11.454456415279138,-8.5
v2d retained unchanged,483,323,2957.0,-4763.5,-4763.5,0.5134575569358178,1.070403085640818,6.122153209109731,26.5
