Cluster_ID,Run_Variant,Max_Concurrent_Trades,Event,Period,Activation_Date,Range_High,Range_Low,Attempts,Cluster_Months,Time,Price,Old_TP1,New_TP1
1,breakout_only_2active,2,start,2019-08,2019-08-05,8014.5,7650.0,0.0,,,,,
1,breakout_only_2active,2,expand,2019-09,2019-09-04,8014.5,7581.5,0.0,,,,,
1,breakout_only_2active,2,expand,2019-10,2019-10-04,8014.5,7474.75,0.0,,,,,
1,breakout_only_2active,2,fill_stop,,,8014.5,7474.75,1.0,2019-07+2019-08+2019-09+2019-10,2019-10-25T08:00:00-04:00,8014.5,,
2,breakout_only_2active,2,start,2019-12,2019-12-04,8456.75,8089.5,0.0,,,,,
2,breakout_only_2active,2,fill_stop,,,8456.75,8089.5,1.0,2019-11+2019-12,2019-12-12T07:00:00-05:00,8456.75,,
3,breakout_only_2active,2,start,2020-03,2020-03-04,9369.0,8248.5,0.0,,,,,
4,breakout_only_2active,2,start,2020-10,2020-10-05,12466.0,11205.0,0.0,,,,,
4,breakout_only_2active,2,expand,2020-11,2020-11-04,12466.0,10942.25,0.0,,,,,
4,breakout_only_2active,2,fill_stop,,,12466.0,10942.25,1.0,2020-09+2020-10+2020-11,2020-12-01T11:00:00-05:00,12466.0,,
4,breakout_only_2active,2,expand,2020-12,2020-12-04,12540.25,10942.25,1.0,,,,,
4,breakout_only_2active,2,extend_target,,,12540.25,10942.25,,2020-09+2020-10+2020-11+2020-12,2020-12-06T15:00:00-05:00,,13989.75,14138.25
4,breakout_only_2active,2,expand,2021-01,2021-01-06,12960.0,10942.25,1.0,,,,,
4,breakout_only_2active,2,expand,2021-02,2021-02-04,13584.25,10942.25,1.0,,,,,
4,breakout_only_2active,2,expand,2021-03,2021-03-04,13584.25,10942.25,1.0,,,,,
4,breakout_only_2active,2,expand,2021-04,2021-04-05,13584.25,10942.25,1.0,,,,,
4,breakout_only_2active,2,expand,2021-05,2021-05-05,13947.5,10942.25,1.0,,,,,
4,breakout_only_2active,2,expand,2021-06,2021-06-04,13947.5,10942.25,1.0,,,,,
5,breakout_only_2active,2,start,2021-12,2021-12-05,16427.75,15538.0,0.0,,,,,
5,breakout_only_2active,2,fill_stop,,,16427.75,15538.0,1.0,2021-11+2021-12,2021-12-08T03:00:00-05:00,16427.75,,
5,breakout_only_2active,2,fill_stop,,,16427.75,15538.0,2.0,2021-11+2021-12,2021-12-15T23:00:00-05:00,16427.75,,
5,breakout_only_2active,2,expand,2022-01,2022-01-05,16564.0,15538.0,2.0,,,,,
6,breakout_only_2active,2,start,2022-06,2022-06-05,13184.0,12442.25,0.0,,,,,
7,breakout_only_2active,2,start,2022-11,2022-11-04,11676.25,10692.75,0.0,,,,,
7,breakout_only_2active,2,fill_stop,,,11676.25,10692.75,1.0,2022-10+2022-11,2022-11-10T15:00:00-05:00,11676.25,,
8,breakout_only_2active,2,start,2023-03,2023-03-05,12950.0,11831.5,0.0,,,,,
8,breakout_only_2active,2,fill_stop,,,12950.0,11831.5,1.0,2023-02+2023-03,2023-03-22T12:00:00-04:00,12950.0,,
9,breakout_only_2active,2,start,2023-05,2023-05-04,13367.25,13043.0,0.0,,,,,
9,breakout_only_2active,2,fill_stop,,,13367.25,13043.0,1.0,2023-04+2023-05,2023-05-08T12:00:00-04:00,13367.25,,
9,breakout_only_2active,2,fill_stop,,,13367.25,13043.0,2.0,2023-04+2023-05,2023-05-10T08:00:00-04:00,13367.25,,
10,breakout_only_2active,2,start,2023-08,2023-08-04,15889.0,15307.5,0.0,,,,,
10,breakout_only_2active,2,expand,2023-09,2023-09-05,15889.0,15307.5,0.0,,,,,
11,breakout_only_2active,2,start,2023-11,2023-11-05,15228.5,14411.0,0.0,,,,,
11,breakout_only_2active,2,fill_stop,,,15228.5,14411.0,1.0,2023-10+2023-11,2023-11-06T07:00:00-05:00,15228.5,,
12,breakout_only_2active,2,start,2024-04,2024-04-04,18611.25,18030.25,0.0,,,,,
12,breakout_only_2active,2,expand,2024-05,2024-05-05,18611.25,17386.0,0.0,,,,,
12,breakout_only_2active,2,fill_stop,,,18611.25,17386.0,1.0,2024-03+2024-04+2024-05,2024-05-15T12:00:00-04:00,18611.25,,
12,breakout_only_2active,2,expand,2024-06,2024-06-05,18755.5,17386.0,1.0,,,,,
12,breakout_only_2active,2,extend_target,,,18755.5,17386.0,,2024-03+2024-04+2024-05+2024-06,2024-06-05T04:00:00-04:00,,19836.5,20125.0
13,breakout_only_2active,2,start,2024-09,2024-09-04,19716.75,18214.25,0.0,,,,,
13,breakout_only_2active,2,fill_stop,,,19716.75,18214.25,1.0,2024-08+2024-09,2024-09-16T00:00:00-04:00,19716.75,,
14,breakout_only_2active,2,start,2024-11,2024-11-05,20331.5,19818.0,0.0,,,,,
14,breakout_only_2active,2,fill_stop,,,20331.5,19818.0,1.0,2024-10+2024-11,2024-11-05T11:00:00-05:00,20331.5,,
15,breakout_only_2active,2,start,2025-01,2025-01-05,21559.25,20939.75,0.0,,,,,
15,breakout_only_2active,2,fill_stop,,,21559.25,20939.75,1.0,2024-12+2025-01,2025-01-05T23:00:00-05:00,21559.25,,
15,breakout_only_2active,2,fill_stop,,,21559.25,20939.75,2.0,2024-12+2025-01,2025-01-15T23:00:00-05:00,21559.25,,
