Market,Run_Variant,Max_Concurrent_Trades,Trade_Side,Cluster_ID,Cluster_Months,Exit_Fill_Mode,Entry_Kind,Order_Live_Time,Entry_Time,Entry_Price,Range_High,Range_Low,Range,TP50,TP1,TP2,Stop,Catastrophe_Stop_Frac,Catastrophe_Stop,Exit_Time,Exit_Price,Exit_Reason,Trade_PL,Result,MAE_Price_Pts,MFE_Price_Pts,Open_At_End,False_Breakout,Units,TP50_Units,Had_4H_Close_Above_Range,Had_4H_Close_Below_Range,Extension_Used,Extension_Time,Extension_Old_TP1,Extension_New_TP1,Unit_Exits,Symbol,Cumulative_PL
MNQ,breakout_only_2active_short,2,short,1,2019-07+2019-08,next_open,Stop-Breakout,2019-08-05T00:00:00-04:00,2019-08-05T00:00:00-04:00,7650.0,8014.5,7650.0,364.5,7467.75,7285.5,6921.0,,,,2019-08-23T00:00:00-04:00,7748.5,TP50+TP1+Next-Open-After-Daily-Close-25pct-Back-In-Range-After-TP1,448.25,Win,139.25,425.0,False,False,3,1,False,True,False,,,,U1:2019-08-05T08:00:00-04:00:7467.75:TP50:182.25;U2:2019-08-05T16:00:00-04:00:7285.50:TP1:364.50;U3:2019-08-23T00:00:00-04:00:7748.50:Next-Open-After-Daily-Close-25pct-Back-In-Range-After-TP1:-98.50,MNQU9,448.25
MNQ,breakout_only_2active_short,2,short,1,2019-07+2019-08,next_open,Stop-Breakout,2019-08-23T04:00:00-04:00,2019-08-23T08:00:00-04:00,7650.0,8014.5,7650.0,364.5,7467.75,7285.5,6921.0,,,,2019-09-05T00:00:00-04:00,7822.0,TP50+Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1,-161.75,Loss,189.75,338.25,False,False,3,1,False,True,False,,,,U1:2019-08-23T12:00:00-04:00:7467.75:TP50:182.25;U2:2019-09-05T00:00:00-04:00:7822.00:Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1:-172.00;U3:2019-09-05T00:00:00-04:00:7822.00:Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1:-172.00,MNQU9,286.5
MNQ,breakout_only_2active_short,2,short,3,2020-02+2020-03,next_open,Stop-Breakout,2020-03-04T03:00:00-05:00,2020-03-08T16:00:00-04:00,8248.5,9369.0,8248.5,1120.5,7688.25,7128.0,6007.5,,,,2020-04-15T00:00:00-04:00,8655.5,TP50+TP1+Next-Open-After-Daily-Close-25pct-Back-In-Range-After-TP1,1273.75,Win,460.0,1619.75,False,False,3,1,False,True,False,,,,U1:2020-03-11T20:00:00-04:00:7688.25:TP50:560.25;U2:2020-03-12T16:00:00-04:00:7128.00:TP1:1120.50;U3:2020-04-15T00:00:00-04:00:8655.50:Next-Open-After-Daily-Close-25pct-Back-In-Range-After-TP1:-407.00,MNQH0,1560.25
MNQ,breakout_only_2active_short,2,short,4,2020-09+2020-10,next_open,Stop-Breakout,2020-10-05T00:00:00-04:00,2020-10-06T16:00:00-04:00,11205.0,12466.0,11205.0,1261.0,10574.5,9944.0,8683.0,,,,2020-10-09T00:00:00-04:00,11595.75,Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1,-1172.25,Loss,397.25,0.0,False,False,3,1,False,False,False,,,,U1:2020-10-09T00:00:00-04:00:11595.75:Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1:-390.75;U2:2020-10-09T00:00:00-04:00:11595.75:Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1:-390.75;U3:2020-10-09T00:00:00-04:00:11595.75:Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1:-390.75,MNQZ0,388.0
MNQ,breakout_only_2active_short,2,short,4,2020-09+2020-10,next_open,Stop-Breakout,2020-10-09T04:00:00-04:00,2020-10-28T08:00:00-04:00,11205.0,12466.0,11205.0,1261.0,10574.5,9944.0,8683.0,,,,2020-11-05T03:00:00-05:00,11999.0,Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1,-2382.0,Loss,812.0,262.75,False,False,3,1,False,True,False,,,,U1:2020-11-05T03:00:00-05:00:11999.00:Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1:-794.00;U2:2020-11-05T03:00:00-05:00:11999.00:Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1:-794.00;U3:2020-11-05T03:00:00-05:00:11999.00:Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1:-794.00,MNQZ0,-1994.0
MNQ,breakout_only_2active_short,2,short,5,2021-11+2021-12,next_open,Stop-Breakout,2021-12-05T15:00:00-05:00,2021-12-19T23:00:00-05:00,15538.0,16427.75,15538.0,889.75,15093.125,14648.25,13758.5,,,,2021-12-21T03:00:00-05:00,15786.25,Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1,-744.75,Loss,289.25,46.25,False,False,3,1,False,False,False,,,,U1:2021-12-21T03:00:00-05:00:15786.25:Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1:-248.25;U2:2021-12-21T03:00:00-05:00:15786.25:Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1:-248.25;U3:2021-12-21T03:00:00-05:00:15786.25:Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1:-248.25,MNQH2,-2738.75
MNQ,breakout_only_2active_short,2,short,5,2021-11+2021-12+2022-01,next_open,Stop-Breakout,2022-01-05T03:00:00-05:00,2022-01-07T07:00:00-05:00,15538.0,16564.0,15538.0,1026.0,15025.0,14512.0,13486.0,,,,2022-01-12T03:00:00-05:00,15872.75,Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1,-1004.25,Loss,359.75,385.5,False,False,3,1,False,True,False,,,,U1:2022-01-12T03:00:00-05:00:15872.75:Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1:-334.75;U2:2022-01-12T03:00:00-05:00:15872.75:Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1:-334.75;U3:2022-01-12T03:00:00-05:00:15872.75:Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1:-334.75,MNQH2,-3743.0
MNQ,breakout_only_2active_short,2,short,6,2022-05+2022-06,next_open,Stop-Breakout,2022-06-05T16:00:00-04:00,2022-06-07T04:00:00-04:00,12442.25,13184.0,12442.25,741.75,12071.375,11700.5,10958.75,,,,2022-06-08T00:00:00-04:00,12657.0,Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1,-644.25,Loss,298.25,30.25,False,False,3,1,False,False,False,,,,U1:2022-06-08T00:00:00-04:00:12657.00:Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1:-214.75;U2:2022-06-08T00:00:00-04:00:12657.00:Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1:-214.75;U3:2022-06-08T00:00:00-04:00:12657.00:Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1:-214.75,MNQM2,-4387.25
MNQ,breakout_only_2active_short,2,short,6,2022-05+2022-06,next_open,Stop-Breakout,2022-06-08T04:00:00-04:00,2022-06-09T12:00:00-04:00,12442.25,13184.0,12442.25,741.75,12071.375,11700.5,10958.75,,,,2022-07-29T00:00:00-04:00,12890.25,TP50+TP1+Next-Open-After-Daily-Close-25pct-Back-In-Range-After-TP1,664.625,Win,505.75,1373.5,False,False,3,1,False,True,False,,,,U1:2022-06-10T08:00:00-04:00:12071.38:TP50:370.88;U2:2022-06-12T16:00:00-04:00:11700.50:TP1:741.75;U3:2022-07-29T00:00:00-04:00:12890.25:Next-Open-After-Daily-Close-25pct-Back-In-Range-After-TP1:-448.00,MNQM2,-3722.625
MNQ,breakout_only_2active_short,2,short,7,2022-10+2022-11,next_open,Stop-Breakout,2022-11-04T00:00:00-04:00,2022-11-04T08:00:00-04:00,10692.75,11676.25,10692.75,983.5,10201.0,9709.25,8725.75,,,,2022-11-08T03:00:00-05:00,10983.5,Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1,-872.25,Loss,370.5,30.0,False,False,3,1,False,False,False,,,,U1:2022-11-08T03:00:00-05:00:10983.50:Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1:-290.75;U2:2022-11-08T03:00:00-05:00:10983.50:Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1:-290.75;U3:2022-11-08T03:00:00-05:00:10983.50:Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1:-290.75,MNQZ2,-4594.875
