Market,Period,Exit_Fill_Mode,Entry_Kind,Order_Live_Time,Entry_Time,Entry_Price,Range_High,Range_Low,Range,TP50,TP1,TP2,Stop,Exit_Time,Exit_Price,Exit_Reason,Trade_PL,Result,MAE_Price_Pts,MFE_Price_Pts,Open_At_End,False_Breakout,Units,TP50_Units,Had_4H_Close_Above_Range,Unit_Exits,Symbol,Cumulative_PL
MNQ,2019-06,next_open,Stop-Breakout,2019-06-05T00:00:00-04:00,2019-06-05T00:00:00-04:00,7211.25,7211.25,6940.5,270.75,7346.625,7482.0,7752.75,,2019-06-19T20:00:00-04:00,7752.75,TP50+TP1+TP2,1083.0,Win,61.25,554.75,False,False,4,2,True,U1:2019-06-07T08:00:00-04:00:7346.62:TP50:135.38;U2:2019-06-07T08:00:00-04:00:7346.62:TP50:135.38;U3:2019-06-09T16:00:00-04:00:7482.00:TP1:270.75;U4:2019-06-19T20:00:00-04:00:7752.75:TP2:541.50,MNQM9,1083.0
MNQ,2019-07,next_open,Stop-Breakout,2019-07-04T00:00:00-04:00,2019-07-04T08:00:00-04:00,7900.75,7900.75,7758.75,142.0,7971.75,8042.75,8184.75,,2019-07-07T16:00:00-04:00,7855.0,Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1,-183.0,Loss,103.75,8.5,False,False,4,2,True,U1:2019-07-07T16:00:00-04:00:7855.00:Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1:-45.75;U2:2019-07-07T16:00:00-04:00:7855.00:Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1:-45.75;U3:2019-07-07T16:00:00-04:00:7855.00:Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1:-45.75;U4:2019-07-07T16:00:00-04:00:7855.00:Next-Open-After-Daily-Close-25pct-Back-In-Range-Before-TP1:-45.75,MNQU9,900.0
MNQ,2019-07,next_open,Bottom-Limit,2019-07-07T20:00:00-04:00,2019-07-08T20:00:00-04:00,7758.75,7900.75,7758.75,142.0,7900.75,8042.75,,7723.25,2019-07-24T16:00:00-04:00,8042.75,Top-Boundary+TP1,710.0,Win,15.5,293.0,False,False,3,1,False,U1:2019-07-10T08:00:00-04:00:7900.75:Top-Boundary:142.00;U2:2019-07-24T16:00:00-04:00:8042.75:TP1:284.00;U3:2019-07-24T16:00:00-04:00:8042.75:TP1:284.00,MNQU9,1610.0
MNQ,2019-07,next_open,Top-Refill,2019-07-24T20:00:00-04:00,2019-07-31T12:00:00-04:00,7900.75,7900.75,7758.75,142.0,7971.75,8042.75,,,2019-07-31T20:00:00-04:00,7875.25,Period-Close,-51.0,Loss,81.25,0.0,True,False,2,1,False,U1:2019-07-31T20:00:00-04:00:7875.25:Period-Close:-25.50;U2:2019-07-31T20:00:00-04:00:7875.25:Period-Close:-25.50,MNQU9,1559.0
MNQ,2019-09,next_open,Stop-Breakout,2019-09-04T00:00:00-04:00,2019-09-04T00:00:00-04:00,7695.75,7695.75,7581.5,114.25,7752.875,7810.0,7924.25,,2019-09-11T16:00:00-04:00,7924.25,TP50+TP1+TP2,457.0,Win,31.25,264.25,False,False,4,2,True,U1:2019-09-04T20:00:00-04:00:7752.88:TP50:57.12;U2:2019-09-04T20:00:00-04:00:7752.88:TP50:57.12;U3:2019-09-04T20:00:00-04:00:7810.00:TP1:114.25;U4:2019-09-11T16:00:00-04:00:7924.25:TP2:228.50,MNQU9,2016.0
MNQ,2019-09,next_open,Top-Refill,2019-09-11T20:00:00-04:00,2019-09-25T04:00:00-04:00,7695.75,7695.75,7581.5,114.25,7752.875,7810.0,,,2019-09-25T12:00:00-04:00,7810.0,TP50+TP1,171.375,Win,32.0,148.5,False,False,2,1,False,U1:2019-09-25T08:00:00-04:00:7752.88:TP50:57.12;U2:2019-09-25T12:00:00-04:00:7810.00:TP1:114.25,MNQZ9,2187.375
MNQ,2019-09,next_open,Top-Refill,2019-09-25T16:00:00-04:00,2019-09-27T12:00:00-04:00,7695.75,7695.75,7581.5,114.25,7752.875,7810.0,,,2019-09-30T20:00:00-04:00,7810.0,TP50+TP1,171.375,Win,0.0,125.25,False,False,2,1,False,U1:2019-09-29T16:00:00-04:00:7752.88:TP50:57.12;U2:2019-09-30T20:00:00-04:00:7810.00:TP1:114.25,MNQZ9,2358.75
MNQ,2019-10,next_open,Stop-Breakout,2019-10-04T00:00:00-04:00,2019-10-11T04:00:00-04:00,7841.5,7841.5,7474.75,366.75,8024.875,8208.25,8575.0,,2019-10-31T20:00:00-04:00,8117.0,TP50+Period-Close,917.75,Win,34.5,300.5,True,False,4,2,True,U1:2019-10-25T08:00:00-04:00:8024.88:TP50:183.38;U2:2019-10-25T08:00:00-04:00:8024.88:TP50:183.38;U3:2019-10-31T20:00:00-04:00:8117.00:Period-Close:275.50;U4:2019-10-31T20:00:00-04:00:8117.00:Period-Close:275.50,MNQZ9,3276.5
MNQ,2019-11,next_open,Stop-Breakout,2019-11-05T03:00:00-05:00,2019-11-05T03:00:00-05:00,8246.5,8246.5,8089.5,157.0,8325.0,8403.5,8560.5,,2019-11-29T11:00:00-05:00,8421.25,TP50+TP1+Period-Close,488.75,Win,85.25,212.25,True,False,4,2,True,U1:2019-11-17T23:00:00-05:00:8325.00:TP50:78.50;U2:2019-11-17T23:00:00-05:00:8325.00:TP50:78.50;U3:2019-11-25T19:00:00-05:00:8403.50:TP1:157.00;U4:2019-11-29T11:00:00-05:00:8421.25:Period-Close:174.75,MNQZ9,3765.25
MNQ,2019-12,next_open,Stop-Breakout,2019-12-04T03:00:00-05:00,2019-12-12T07:00:00-05:00,8456.75,8456.75,8168.5,288.25,8600.875,8745.0,9033.25,,2019-12-31T15:00:00-05:00,8771.5,TP50+TP1+Period-Close,891.25,Win,54.25,386.5,True,False,4,2,True,U1:2019-12-16T07:00:00-05:00:8600.88:TP50:144.12;U2:2019-12-16T07:00:00-05:00:8600.88:TP50:144.12;U3:2019-12-26T07:00:00-05:00:8745.00:TP1:288.25;U4:2019-12-31T15:00:00-05:00:8771.50:Period-Close:314.75,MNQZ9,4656.5
