date,year,bundles,daily_pnl_usd,equity_usd,drawdown_usd
2021-03-04,2021,1,205.5,16344.0,0.0
2021-03-05,2021,1,709.5,17053.5,0.0
2021-03-08,2021,1,442.5,17496.0,0.0
2021-03-09,2021,1,152.5,17648.5,0.0
2021-03-10,2021,1,43.5,17692.0,0.0
2021-03-11,2021,1,193.0,17885.0,0.0
2021-03-12,2021,1,-310.0,17575.0,-310.0
2021-03-15,2021,1,-356.5,17218.5,-666.5
2021-03-16,2021,1,-0.5,17218.0,-667.0
2021-03-17,2021,1,1.5,17219.5,-665.5
2021-03-18,2021,1,66.5,17286.0,-599.0
2021-03-19,2021,1,-334.5,16951.5,-933.5
2021-03-22,2021,1,103.5,17055.0,-830.0
2021-03-23,2021,1,-216.0,16839.0,-1046.0
2021-03-24,2021,1,99.5,16938.5,-946.5
2021-03-25,2021,1,-625.5,16313.0,-1572.0
2021-03-26,2021,1,-420.5,15892.5,-1992.5
2021-03-29,2021,1,-29.0,15863.5,-2021.5
2021-03-30,2021,1,-229.5,15634.0,-2251.0
2021-03-31,2021,1,241.5,15875.5,-2009.5
2021-04-01,2021,1,-28.0,15847.5,-2037.5
2021-04-05,2021,1,71.0,15918.5,-1966.5
2021-04-06,2021,1,29.0,15947.5,-1937.5
2021-04-07,2021,1,219.0,16166.5,-1718.5
2021-04-08,2021,1,-147.0,16019.5,-1865.5
2021-04-09,2021,1,-9.0,16010.5,-1874.5
2021-04-12,2021,1,-49.0,15961.5,-1923.5
2021-04-13,2021,1,56.5,16018.0,-1867.0
2021-04-14,2021,1,43.5,16061.5,-1823.5
2021-04-15,2021,1,38.5,16100.0,-1785.0
2021-04-16,2021,1,-174.0,15926.0,-1959.0
2021-04-19,2021,1,245.0,16171.0,-1714.0
2021-04-20,2021,1,37.5,16208.5,-1676.5
2021-04-21,2021,1,10.0,16218.5,-1666.5
2021-04-22,2021,1,-247.0,15971.5,-1913.5
2021-04-23,2021,1,179.5,16151.0,-1734.0
2021-04-26,2021,1,-22.0,16129.0,-1756.0
2021-04-27,2021,1,143.5,16272.5,-1612.5
2021-04-28,2021,1,-352.0,15920.5,-1964.5
2021-04-29,2021,1,96.5,16017.0,-1868.0
2021-04-30,2021,1,96.5,16113.5,-1771.5
2021-05-03,2021,1,-302.0,15811.5,-2073.5
