Period,Direction,Breakout_Time,Breakout_Close,Range_High,Range_Low,Range,Target_1R,Target_2R,Opposing_Boundary,False_Break,False_Time,Hit_1R,Hit_1R_Time,Clean_1R_No_4H_Close_Back_Inside,Closed_Back_Inside_Before_1R,Hit_2R,Hit_2R_Time,Terminal_Time,Terminal_Reason,Max_Favorable_Pts,Max_Adverse_Pts
2019-05,Short,2019-05-09T00:00:00-04:00,7571.25,7817.5,7581.5,236.0,7345.5,7109.5,7817.5,False,,True,2019-05-13T08:00:00-04:00,False,True,False,,2019-05-31T16:00:00-04:00,Period-Close,441.75,82.25
2019-06,Long,2019-06-05T00:00:00-04:00,7214.25,7211.25,6940.5,270.75,7482.0,7752.75,6940.5,False,,True,2019-06-09T16:00:00-04:00,False,True,True,2019-06-19T20:00:00-04:00,2019-06-19T20:00:00-04:00,Target-2R,551.75,64.25
2019-06,Long,2019-06-20T00:00:00-04:00,7778.0,7211.25,6940.5,270.75,7482.0,7752.75,6940.5,False,,True,2019-06-20T04:00:00-04:00,True,False,True,2019-06-20T04:00:00-04:00,2019-06-20T04:00:00-04:00,Target-2R,29.5,3.5
2019-06,Long,2019-06-20T08:00:00-04:00,7753.25,7211.25,6940.5,270.75,7482.0,7752.75,6940.5,False,,True,2019-06-20T12:00:00-04:00,True,False,True,2019-06-20T12:00:00-04:00,2019-06-20T12:00:00-04:00,Target-2R,23.0,46.75
2019-06,Long,2019-06-20T16:00:00-04:00,7764.0,7211.25,6940.5,270.75,7482.0,7752.75,6940.5,False,,True,2019-06-20T20:00:00-04:00,True,False,True,2019-06-20T20:00:00-04:00,2019-06-20T20:00:00-04:00,Target-2R,7.0,28.25
2019-06,Long,2019-06-21T00:00:00-04:00,7761.5,7211.25,6940.5,270.75,7482.0,7752.75,6940.5,False,,True,2019-06-21T04:00:00-04:00,True,False,True,2019-06-21T04:00:00-04:00,2019-06-21T04:00:00-04:00,Target-2R,0.5,22.0
2019-06,Long,2019-06-21T08:00:00-04:00,7764.0,7211.25,6940.5,270.75,7482.0,7752.75,6940.5,False,,True,2019-06-21T12:00:00-04:00,True,False,True,2019-06-21T12:00:00-04:00,2019-06-21T12:00:00-04:00,Target-2R,14.25,12.75
2019-06,Long,2019-06-21T16:00:00-04:00,7746.5,7211.25,6940.5,270.75,7482.0,7752.75,6940.5,False,,True,2019-06-23T16:00:00-04:00,True,False,True,2019-06-23T16:00:00-04:00,2019-06-23T16:00:00-04:00,Target-2R,27.0,29.75
2019-06,Long,2019-06-23T20:00:00-04:00,7789.5,7211.25,6940.5,270.75,7482.0,7752.75,6940.5,False,,True,2019-06-24T00:00:00-04:00,True,False,True,2019-06-24T00:00:00-04:00,2019-06-24T00:00:00-04:00,Target-2R,1.25,16.75
2019-06,Long,2019-06-24T04:00:00-04:00,7773.5,7211.25,6940.5,270.75,7482.0,7752.75,6940.5,False,,True,2019-06-24T08:00:00-04:00,True,False,True,2019-06-24T08:00:00-04:00,2019-06-24T08:00:00-04:00,Target-2R,5.0,24.0
