Period,Range_High,Range_Low,Range,Trade_Direction,Breakout_Date,Entry_Date,Entry_Price,Initial_Stop,Exit_Date,Exit_Price,Trade_PL,MAE_Pts,MFE_Pts,Result,Exit_Reason,Symbol,Range_Days,Trade_Days,Cumulative_PL
2020,9763.0,6628.75,3134.25,Long,2020-06-05,2020-06-07,9819.0,9808.0,2020-06-08,9808.0,-11.0,72.25,82.0,Loss,Trail-Stop,MNQH0,78,234,-11.0
2020,9763.0,6628.75,3134.25,Long,2020-06-08,2020-06-09,9879.5,9811.5,2020-06-11,9958.5,79.0,295.0,276.0,Win,Trail-Stop,MNQH0,78,234,68.0
2020,9763.0,6628.75,3134.25,Long,2020-06-15,2020-06-16,9865.0,9786.0,2020-06-18,9915.0,50.0,79.0,182.5,Win,Trail-Stop,MNQH0,78,234,118.0
2020,9763.0,6628.75,3134.25,Long,2020-06-18,2020-06-19,10020.5,9912.75,2020-06-21,9884.5,-136.0,179.25,92.0,Loss,Trail-Stop,MNQH0,78,234,-18.0
2020,9763.0,6628.75,3134.25,Long,2020-06-21,2020-06-22,9905.25,9895.0,2020-06-24,9972.5,67.25,10.25,390.75,Win,Trail-Stop,MNQH0,78,234,49.25
2020,9763.0,6628.75,3134.25,Long,2020-06-24,2020-06-25,9974.25,9885.5,2020-06-26,9885.5,-88.75,150.25,146.25,Loss,Trail-Stop,MNQH0,78,234,-39.5
2020,9763.0,6628.75,3134.25,Long,2020-06-26,2020-06-28,9796.5,9777.75,2020-06-29,9777.75,-18.75,67.5,211.75,Loss,Trail-Stop,MNQH0,78,234,-58.25
2020,9763.0,6628.75,3134.25,Long,2020-06-29,2020-06-30,9993.5,9940.0,2020-07-08,10506.0,512.5,53.5,704.5,Win,Trail-Stop,MNQH0,78,234,454.25
2020,9763.0,6628.75,3134.25,Long,2020-07-08,2020-07-09,10682.25,10560.25,2020-07-13,10846.5,164.25,122.0,376.0,Win,Trail-Stop,MNQH0,78,234,618.5
2020,9763.0,6628.75,3134.25,Long,2020-07-13,2020-07-14,10645.25,10358.75,2020-07-16,10551.5,-93.75,286.5,121.25,Loss,Trail-Stop,MNQH0,78,234,524.75
