Date,Regime,MA_fast_prev,MA_slow_prev,Day_of_Week,Symbol,Range_High,Range_Low,Range,Trade_Direction,Entry_Price,Exit_Price,Trade_PL,Drawdown_Pct,Result,Net_$,Cumulative_PL,Cumulative_$
2021-03-04,v1_limit,13249.53,12351.17,Thursday,MNQH1,12765.0,12649.5,115.5,Short,12649.5,12765.0,-115.5,100.0,Loss,-232.5,-115.5,-232.5
2021-03-04,v1_limit,13249.53,12351.17,Thursday,MNQH1,12765.0,12649.5,115.5,Long,12765.0,12649.5,-115.5,100.0,Loss,-232.5,-231.0,-465.0
2021-03-05,v1_limit,13249.25,12359.27,Friday,MNQH1,12606.0,12446.25,159.75,Short,12446.25,12286.5,159.75,29.26,Win,318.0,-71.25,-147.0
2021-03-05,v1_limit,13249.25,12359.27,Friday,MNQH1,12606.0,12446.25,159.75,Short,12446.25,12606.0,-159.75,100.0,Loss,-321.0,-231.0,-468.0
2021-03-08,v1_limit,13228.8,12377.71,Monday,MNQH1,12686.0,12526.5,159.5,Long,12686.0,12526.5,-159.5,100.0,Loss,-320.5,-390.5,-788.5
2021-03-08,v1_limit,13228.8,12377.71,Monday,MNQH1,12686.0,12526.5,159.5,Short,12526.5,12367.0,159.5,38.71,Win,317.5,-231.0,-471.0
2021-03-09,v1_limit,13223.32,12388.62,Tuesday,MNQH1,12652.25,12587.0,65.25,Long,12652.25,12717.5,65.25,15.33,Win,129.0,-165.75,-342.0
2021-03-11,v1_limit,13223.72,12409.51,Thursday,MNQH1,13006.75,12931.75,75.0,Short,12931.75,13006.75,-75.0,100.0,Loss,-151.5,-240.75,-493.5
2021-03-11,v1_limit,13223.72,12409.51,Thursday,MNQH1,13006.75,12931.75,75.0,Long,13006.75,13081.75,75.0,18.33,Win,148.5,-165.75,-345.0
2021-03-12,v1_limit,13222.99,12420.61,Friday,MNQM1,12865.25,12789.0,76.25,Long,12865.25,12789.0,-76.25,100.0,Loss,-154.0,-242.0,-499.0
2021-03-12,v1_limit,13222.99,12420.61,Friday,MNQM1,12865.25,12789.0,76.25,Short,12789.0,12865.25,-76.25,100.0,Loss,-154.0,-318.25,-653.0
2021-03-15,v1_limit,13229.45,12447.27,Monday,MNQM1,12941.5,12887.5,54.0,Long,12941.5,12887.5,-54.0,100.0,Loss,-109.5,-372.25,-762.5
2021-03-15,v1_limit,13229.45,12447.27,Monday,MNQM1,12941.5,12887.5,54.0,Short,12887.5,12941.5,-54.0,100.0,Loss,-109.5,-426.25,-872.0
2021-03-16,v1_limit,13237.48,12462.05,Tuesday,MNQM1,13190.0,13132.25,57.75,Long,13190.0,13132.25,-57.75,100.0,Loss,-117.0,-484.0,-989.0
2021-03-16,v1_limit,13237.48,12462.05,Tuesday,MNQM1,13190.0,13132.25,57.75,Short,13132.25,13139.25,-7.0,95.67,EOD-Close,-15.5,-491.0,-1004.5
2021-03-17,v1_limit,13245.28,12476.78,Wednesday,MNQM1,13015.75,12934.25,81.5,Long,13015.75,13097.25,81.5,94.48,Win,161.5,-409.5,-843.0
2021-03-18,v1_limit,13239.94,12487.87,Thursday,MNQM1,13022.0,12963.75,58.25,Short,12963.75,12905.5,58.25,76.82,Win,115.0,-351.25,-728.0
2021-03-18,v1_limit,13239.94,12487.87,Thursday,MNQM1,13022.0,12963.75,58.25,Short,12963.75,12905.5,58.25,24.89,Win,115.0,-293.0,-613.0
2021-03-19,v1_limit,13230.16,12501.72,Friday,MNQM1,12837.0,12725.0,112.0,Short,12725.0,12837.0,-112.0,100.0,Loss,-225.5,-405.0,-838.5
2021-03-19,v1_limit,13230.16,12501.72,Friday,MNQM1,12837.0,12725.0,112.0,Long,12837.0,12837.0,0.0,70.76,EOD-Close,-1.5,-405.0,-840.0
2021-03-22,v1_limit,13214.36,12527.46,Monday,MNQM1,12992.5,12927.75,64.75,Long,12992.5,13057.25,64.75,15.06,Win,128.0,-340.25,-712.0
2021-03-23,v1_limit,13206.97,12539.92,Tuesday,MNQM1,13119.5,13066.75,52.75,Short,13066.75,13119.5,-52.75,100.0,Loss,-107.0,-393.0,-819.0
2021-03-23,v1_limit,13206.97,12539.92,Tuesday,MNQM1,13119.5,13066.75,52.75,Long,13119.5,13066.75,-52.75,100.0,Loss,-107.0,-445.75,-926.0
2021-03-24,v1_limit,13193.81,12549.17,Wednesday,MNQM1,13072.5,12988.5,84.0,Short,12988.5,12904.5,84.0,71.43,Win,166.5,-361.75,-759.5
2021-03-25,v1_limit,13178.61,12558.9,Thursday,MNQM1,12803.0,12688.25,114.75,Long,12803.0,12688.25,-114.75,100.0,Loss,-231.0,-476.5,-990.5
2021-03-25,v1_limit,13178.61,12558.9,Thursday,MNQM1,12803.0,12688.25,114.75,Short,12688.25,12803.0,-114.75,100.0,Loss,-231.0,-591.25,-1221.5
2021-03-26,v1_limit,13178.26,12569.01,Friday,MNQM1,12820.75,12754.0,66.75,Long,12820.75,12754.0,-66.75,100.0,Loss,-135.0,-658.0,-1356.5
2021-03-26,v1_limit,13178.26,12569.01,Friday,MNQM1,12820.75,12754.0,66.75,Short,12754.0,12820.75,-66.75,100.0,Loss,-135.0,-724.75,-1491.5
2021-03-29,v1_limit,13176.06,12589.5,Monday,MNQM1,12977.5,12915.5,62.0,Short,12915.5,12977.5,-62.0,100.0,Loss,-125.5,-786.75,-1617.0
2021-03-29,v1_limit,13176.06,12589.5,Monday,MNQM1,12977.5,12915.5,62.0,Long,12977.5,12915.5,-62.0,100.0,Loss,-125.5,-848.75,-1742.5
2021-03-30,v1_limit,13178.08,12599.92,Tuesday,MNQM1,12888.0,12813.75,74.25,Short,12813.75,12888.0,-74.25,100.0,Loss,-150.0,-923.0,-1892.5
2021-03-30,v1_limit,13178.08,12599.92,Tuesday,MNQM1,12888.0,12813.75,74.25,Long,12888.0,12895.5,7.5,84.51,EOD-Close,13.5,-915.5,-1879.0
2021-04-01,v1_limit,13172.42,12625.1,Thursday,MNQM1,13294.0,13241.5,52.5,Long,13294.0,13314.25,20.25,64.76,EOD-Close,39.0,-895.25,-1840.0
2021-04-06,v1_limit,13165.85,12674.19,Tuesday,MNQM1,13586.0,13538.75,47.25,Long,13586.0,13633.25,47.25,46.56,Win,93.0,-848.0,-1747.0
2021-04-06,v1_limit,13165.85,12674.19,Tuesday,MNQM1,13586.0,13538.75,47.25,Long,13586.0,13572.0,-14.0,85.19,EOD-Close,-29.5,-862.0,-1776.5
2021-04-07,v1_limit,13164.99,12684.38,Wednesday,MNQM1,13560.5,13513.0,47.5,Long,13560.5,13608.0,47.5,1.58,Win,93.5,-814.5,-1683.0
2021-04-08,v1_limit,13167.28,12695.63,Thursday,MNQM1,13746.75,13711.25,35.5,Short,13711.25,13746.75,-35.5,100.0,Loss,-72.5,-850.0,-1755.5
2021-04-08,v1_limit,13167.28,12695.63,Thursday,MNQM1,13746.75,13711.25,35.5,Long,13746.75,13711.25,-35.5,100.0,Loss,-72.5,-885.5,-1828.0
2021-04-09,v1_limit,13170.39,12707.95,Friday,MNQM1,13703.0,13658.25,44.75,Long,13703.0,13747.75,44.75,18.44,Win,88.0,-840.75,-1740.0
2021-04-12,v1_limit,13171.26,12733.87,Monday,MNQM1,13809.5,13776.5,33.0,Short,13776.5,13743.5,33.0,87.88,Win,64.5,-807.75,-1675.5
2021-04-12,v1_limit,13171.26,12733.87,Monday,MNQM1,13809.5,13776.5,33.0,Short,13776.5,13809.5,-33.0,100.0,Loss,-67.5,-840.75,-1743.0
2021-04-13,v1_limit,13174.08,12747.83,Tuesday,MNQM1,13939.0,13866.5,72.5,Long,13939.0,13975.25,36.25,75.86,EOD-Close,71.0,-804.5,-1672.0
2021-04-14,v1_limit,13173.16,12761.81,Wednesday,MNQM1,13988.5,13943.25,45.25,Short,13943.25,13898.0,45.25,32.04,Win,89.0,-759.25,-1583.0
