session_day,side,status,entry,exit_px,net_usd,mae_pts,mfe_pts,result,sl_mode,london_low,london_high,breaker_high,breaker_low,stop_hunter_low,stop_hunter_high,piercer_high,piercer_low,tp_px,stop_px,first_sweep_time,stop_hunter_time,breaker_5m_left,breaker_confirm_time,breaker_minutes,breaker_close_confirm_required,breaker_close_confirm_time,breaker_close_confirm_px,piercer_time,piercer_confirm_time,setup_commit_time,order_live_time,fill_time,exit_time,attempt_id,reentry_mode,reentry_base_time,reentry_base_px,sl_family
2021-03-04,long,filled,12765.0,12509.0,-513.5,262.75,32.0,Loss,stop_hunter_low,12554.5,12709.0,12765.0,12730.0,12509.0,,12767.25,,13025.5,12509.0,2021-03-04T10:04:00-05:00,2021-03-04T10:20:00-05:00,2021-03-04T09:35:00-05:00,2021-03-04T09:40:00-05:00,5,False,NaT,,2021-03-04T11:03:00-05:00,2021-03-04T11:04:00-05:00,2021-03-04T11:04:00-05:00,2021-03-04T11:05:00-05:00,2021-03-04T11:05:00-05:00,2021-03-04T12:50:00-05:00,1,True,NaT,,stop_hunter
2021-03-04,short,filled,12649.5,12765.0,-232.5,117.5,24.5,Loss,stop_hunter_high,12554.5,12709.0,12748.25,12649.5,,12765.0,,12598.5,12432.0,12765.0,2021-03-04T09:32:00-05:00,2021-03-04T09:35:00-05:00,2021-03-04T09:30:00-05:00,2021-03-04T09:35:00-05:00,5,False,NaT,,2021-03-04T09:51:00-05:00,2021-03-04T09:52:00-05:00,2021-03-04T09:52:00-05:00,2021-03-04T09:53:00-05:00,2021-03-04T10:35:00-05:00,2021-03-04T11:02:00-05:00,1,True,NaT,,stop_hunter
2021-03-08,short,filled,12603.0,12644.75,-85.0,44.25,13.25,Loss,stop_hunter_high,12376.25,12642.5,12624.5,12603.0,,12644.75,,12559.75,12474.75,12644.75,2021-03-08T09:30:00-05:00,2021-03-08T09:30:00-05:00,2021-03-08T09:20:00-05:00,2021-03-08T09:25:00-05:00,5,False,NaT,,2021-03-08T09:32:00-05:00,2021-03-08T09:33:00-05:00,2021-03-08T09:33:00-05:00,2021-03-08T09:34:00-05:00,2021-03-08T09:40:00-05:00,2021-03-08T09:41:00-05:00,1,True,NaT,,stop_hunter
2021-03-12,long,filled,12824.25,12765.5,-119.0,63.5,12.0,Loss,stop_hunter_low,12776.25,12971.75,12824.25,12787.25,12765.5,,12831.25,,12897.0,12765.5,2021-03-12T10:27:00-05:00,2021-03-12T10:28:00-05:00,2021-03-12T10:30:00-05:00,2021-03-12T10:35:00-05:00,5,False,NaT,,2021-03-12T10:40:00-05:00,2021-03-12T10:41:00-05:00,2021-03-12T10:41:00-05:00,2021-03-12T10:42:00-05:00,2021-03-12T10:42:00-05:00,2021-03-12T10:56:00-05:00,1,True,NaT,,stop_hunter
2021-03-12,long,filled,12805.75,12871.75,130.5,16.5,70.75,Win,stop_hunter_low,12765.5,12971.75,12805.75,12759.75,12759.75,,12815.75,,12871.75,12759.75,2021-03-12T11:00:00-05:00,2021-03-12T11:04:00-05:00,2021-03-12T11:00:00-05:00,2021-03-12T11:05:00-05:00,5,False,NaT,,2021-03-12T11:11:00-05:00,2021-03-12T11:12:00-05:00,2021-03-12T11:12:00-05:00,2021-03-12T11:13:00-05:00,2021-03-12T11:13:00-05:00,2021-03-12T12:13:00-05:00,2,True,2021-03-12T10:28:00-05:00,12765.5,stop_hunter
2021-03-16,long,filled,13181.0,13139.25,-85.0,47.0,4.75,EOD-Loss,stop_hunter_low,13091.75,13168.0,13181.0,13162.5,13077.0,,13187.5,,13298.0,13077.0,2021-03-16T14:41:00-04:00,2021-03-16T14:44:00-04:00,2021-03-16T14:15:00-04:00,2021-03-16T14:20:00-04:00,5,False,NaT,,2021-03-16T15:35:00-04:00,2021-03-16T15:36:00-04:00,2021-03-16T15:36:00-04:00,2021-03-16T15:37:00-04:00,2021-03-16T15:37:00-04:00,2021-03-16T15:59:00-04:00,1,True,NaT,,stop_hunter
2021-03-17,long,filled,13015.75,13131.75,230.5,77.0,124.75,Win,stop_hunter_low,12967.75,13141.0,13015.75,12971.0,12934.25,,13033.0,,13131.75,12934.25,2021-03-17T09:35:00-04:00,2021-03-17T09:40:00-04:00,2021-03-17T09:30:00-04:00,2021-03-17T09:35:00-04:00,5,False,NaT,,2021-03-17T09:51:00-04:00,2021-03-17T09:52:00-04:00,2021-03-17T09:52:00-04:00,2021-03-17T09:53:00-04:00,2021-03-17T09:53:00-04:00,2021-03-17T14:11:00-04:00,1,True,NaT,,stop_hunter
2021-03-19,long,filled,12812.5,12837.0,47.5,54.75,78.75,EOD-Win,stop_hunter_low,12712.75,12898.0,12812.5,12766.0,12681.75,,12824.5,,12967.25,12681.75,2021-03-19T10:04:00-04:00,2021-03-19T10:08:00-04:00,2021-03-19T09:55:00-04:00,2021-03-19T10:00:00-04:00,5,False,NaT,,2021-03-19T10:41:00-04:00,2021-03-19T10:42:00-04:00,2021-03-19T10:42:00-04:00,2021-03-19T10:43:00-04:00,2021-03-19T10:48:00-04:00,2021-03-19T15:59:00-04:00,1,True,NaT,,stop_hunter
2021-03-25,long,filled,12724.0,12799.25,149.0,10.5,78.0,Win,stop_hunter_low,12692.75,12859.5,12724.0,12708.0,12688.25,,12743.75,,12799.25,12688.25,2021-03-25T09:30:00-04:00,2021-03-25T09:30:00-04:00,2021-03-25T09:20:00-04:00,2021-03-25T09:25:00-04:00,5,False,NaT,,2021-03-25T09:32:00-04:00,2021-03-25T09:33:00-04:00,2021-03-25T09:33:00-04:00,2021-03-25T09:34:00-04:00,2021-03-25T09:34:00-04:00,2021-03-25T09:40:00-04:00,1,True,NaT,,stop_hunter
2021-03-29,short,filled,12915.5,12829.0,171.5,29.5,88.25,Win,stop_hunter_high,12827.5,12969.25,12953.0,12915.5,,12977.5,,12903.25,12829.0,12977.5,2021-03-29T09:36:00-04:00,2021-03-29T09:37:00-04:00,2021-03-29T09:30:00-04:00,2021-03-29T09:35:00-04:00,5,False,NaT,,2021-03-29T09:46:00-04:00,2021-03-29T09:47:00-04:00,2021-03-29T09:47:00-04:00,2021-03-29T09:48:00-04:00,2021-03-29T09:48:00-04:00,2021-03-29T10:03:00-04:00,1,True,NaT,,stop_hunter
2021-03-29,short,filled,12953.75,12956.0,-6.0,17.5,27.5,EOD-Loss,stop_hunter_high,12827.5,12977.5,13000.25,12953.75,,13002.75,,12943.75,12884.75,13002.75,2021-03-29T13:02:00-04:00,2021-03-29T13:35:00-04:00,2021-03-29T13:30:00-04:00,2021-03-29T13:35:00-04:00,5,False,NaT,,2021-03-29T14:00:00-04:00,2021-03-29T14:01:00-04:00,2021-03-29T14:13:00-04:00,2021-03-29T14:14:00-04:00,2021-03-29T15:12:00-04:00,2021-03-29T15:59:00-04:00,2,True,2021-03-29T09:37:00-04:00,12977.5,stop_hunter
2021-03-30,long,filled,12852.25,12895.5,85.0,27.0,62.0,EOD-Win,stop_hunter_low,12835.75,12931.0,12852.25,12825.25,12776.75,,12874.5,,12972.25,12776.75,2021-03-30T09:33:00-04:00,2021-03-30T10:23:00-04:00,2021-03-30T10:10:00-04:00,2021-03-30T10:15:00-04:00,5,False,NaT,,2021-03-30T10:44:00-04:00,2021-03-30T10:45:00-04:00,2021-03-30T11:33:00-04:00,2021-03-30T11:34:00-04:00,2021-03-30T11:59:00-04:00,2021-03-30T15:59:00-04:00,1,True,NaT,,stop_hunter
2021-04-07,long,filled,13563.0,13633.0,138.5,3.25,72.25,Win,stop_hunter_low,13529.5,13607.75,13563.0,13546.75,13513.0,,13573.0,,13633.0,13513.0,2021-04-07T09:34:00-04:00,2021-04-07T09:34:00-04:00,2021-04-07T09:25:00-04:00,2021-04-07T09:30:00-04:00,5,False,NaT,,2021-04-07T09:47:00-04:00,2021-04-07T09:48:00-04:00,2021-04-07T09:48:00-04:00,2021-04-07T09:49:00-04:00,2021-04-07T12:30:00-04:00,2021-04-07T14:13:00-04:00,1,True,NaT,,stop_hunter
2021-04-07,short,filled,13591.25,13631.0,-81.0,44.0,31.5,Loss,stop_hunter_high,13529.5,13607.75,13610.0,13591.25,,13631.0,,13586.75,13542.5,13631.0,2021-04-07T10:12:00-04:00,2021-04-07T11:13:00-04:00,2021-04-07T10:50:00-04:00,2021-04-07T10:55:00-04:00,5,False,NaT,,2021-04-07T11:30:00-04:00,2021-04-07T11:31:00-04:00,2021-04-07T11:42:00-04:00,2021-04-07T11:43:00-04:00,2021-04-07T11:46:00-04:00,2021-04-07T14:13:00-04:00,1,True,NaT,,stop_hunter
