Date,Direction,v2e_pnl_5m,status,full_5c_stop,v2b_Net,ldn_0200_0930_h,ldn_0200_0930_l,ldn_mid,sl_mode,sl_points,mfe_past_london_opposite_pts,extreme_h_on_last_preopen_1m,extreme_l_on_last_preopen_1m,relevant_extreme_last_preopen_1m,entry_first_rth_1m,tight_930_entry_risk,side_rule,v2b_first_row_direction,side_match_v2b_first,v2b_oco_fill_ts,pwh,pwl,pwh_ldn_diff,pwl_ldn_diff
2021-03-04,Short,463.5,ok,0,228.5,12709.0,12554.5,12631.75,london_range,154.5,248.25,False,False,False,False,False,first_rth_touch,Short,True,,,,,
2021-03-05,Long,843.0,ok,0,317.0,12632.5,12351.5,12492.0,london_range,281.0,65.25,False,False,False,False,False,first_rth_touch,Short,False,,,,,
2021-03-08,Short,798.75,ok,0,-321.5,12642.5,12376.25,12509.375,london_range,266.25,92.5,True,False,True,True,True,first_rth_touch,Long,False,,,,,
2021-03-09,Short,-999.0,ok,1,128.0,12617.25,12367.5,12492.375,london_range,249.75,,True,False,True,True,True,first_rth_touch,Long,False,,,,,
2021-03-10,-,0.0,no_first_rth_fill,0,-200.5,12993.0,12704.25,12848.625,london_range,288.75,,False,False,False,False,False,first_rth_touch,Long,n/a,,,,,
2021-03-11,Short,-117.0,ok,0,-152.5,13017.0,12878.75,12947.875,london_range,138.25,,False,False,False,False,False,first_rth_touch,Short,True,,,,,
2021-03-12,Long,499.5,ok,0,-155.0,12971.75,12776.25,12874.0,london_range,195.5,,False,False,False,False,False,first_rth_touch,Long,True,,,,,
2021-03-15,Short,-321.0,ok,0,-110.5,12987.5,12863.25,12925.375,london_range,124.25,,False,False,False,False,False,first_rth_touch,Long,False,,,,,
2021-03-16,Short,-305.0,ok,1,113.0,13168.0,13091.75,13129.875,london_range,76.25,,False,False,False,False,False,first_rth_touch,Long,False,,,,,
2021-03-17,Long,519.75,ok,0,160.5,13141.0,12967.75,13054.375,london_range,173.25,130.0,False,False,False,False,False,first_rth_touch,Long,True,,,,,
2021-03-18,Long,-651.0,ok,0,114.0,13228.75,12944.75,13086.75,london_range,284.0,,False,False,False,False,False,first_rth_touch,Short,False,,,,,
2021-03-19,Long,433.75,ok,0,-226.5,12898.0,12712.75,12805.375,london_range,185.25,,False,False,False,False,False,first_rth_touch,Short,False,,,,,
2021-03-22,Short,-372.0,ok,1,127.0,12963.5,12870.5,12917.0,london_range,93.0,,False,False,False,False,False,first_rth_touch,Long,False,,,,,
2021-03-23,Short,354.75,ok,0,-108.0,13120.75,13002.5,13061.625,london_range,118.25,23.75,False,False,False,False,False,first_rth_touch,Short,True,,,,,
2021-03-24,Long,-497.0,ok,1,165.5,13145.0,13020.75,13082.875,london_range,124.25,,False,False,False,False,False,first_rth_touch,Short,False,,,,,
2021-03-25,Long,326.25,ok,0,-232.0,12859.5,12692.75,12776.125,london_range,166.75,,False,False,False,True,False,first_rth_touch,Long,True,,,,,
2021-03-26,Short,-326.0,ok,0,-136.0,12880.5,12675.75,12778.125,london_range,204.75,,False,False,False,False,False,first_rth_touch,Long,False,,,,,
