date,realized_points,open_unrealized_points,total_equity_points,open_units,direction
2019-05-05,0.0,0.0,0.0,0,
2019-05-06,0.0,0.0,0.0,0,
2019-05-07,0.0,0.0,0.0,0,
2019-05-08,0.0,0.0,0.0,0,
2019-05-09,0.0,0.0,0.0,0,
2019-05-10,0.0,0.0,0.0,0,
2019-05-12,0.0,0.0,0.0,0,
2019-05-13,0.0,0.0,0.0,0,
2019-05-14,0.0,0.0,0.0,0,
2019-05-15,0.0,0.0,0.0,0,
2019-05-16,0.0,0.0,0.0,0,
2019-05-17,0.0,0.0,0.0,0,
2019-05-19,0.0,0.0,0.0,0,
2019-05-20,0.0,0.0,0.0,0,
2019-05-21,0.0,0.0,0.0,0,
2019-05-22,0.0,0.0,0.0,0,
2019-05-23,0.0,0.0,0.0,0,
2019-05-24,0.0,0.0,0.0,0,
2019-05-26,0.0,0.0,0.0,0,
2019-05-27,0.0,0.0,0.0,0,
2019-05-28,0.0,0.0,0.0,0,
2019-05-29,0.0,0.0,0.0,0,
2019-05-30,0.0,0.0,0.0,0,
2019-05-31,0.0,0.0,0.0,0,
2019-06-02,0.0,0.0,0.0,0,
2019-06-03,0.0,0.0,0.0,0,
2019-06-04,0.0,0.0,0.0,0,
2019-06-05,0.0,0.0,0.0,0,
2019-06-06,0.0,639.0,639.0,3,Long
2019-06-07,0.0,1404.0,1404.0,3,Long
2019-06-09,0.0,1515.0,1515.0,3,Long
2019-06-10,0.0,1698.0,1698.0,3,Long
2019-06-11,0.0,1461.0,1461.0,3,Long
2019-06-12,0.0,1215.0,1215.0,3,Long
2019-06-13,0.0,1767.0,1767.0,3,Long
2019-06-14,0.0,1699.0,1699.0,4,Long
2019-06-16,0.0,1951.0,1951.0,4,Long
2019-06-17,0.0,1699.0,1699.0,4,Long
2019-06-18,0.0,3243.0,3243.0,4,Long
2019-06-19,0.0,3635.0,3635.0,4,Long
2019-06-20,0.0,4027.0,4027.0,4,Long
2019-06-21,0.0,3883.0,3883.0,4,Long
2019-06-23,0.0,4243.0,4243.0,4,Long
2019-06-24,0.0,3999.0,3999.0,4,Long
2019-06-25,0.0,3415.0,3415.0,4,Long
2019-06-26,0.0,3603.0,3603.0,4,Long
2019-06-27,0.0,3495.0,3495.0,4,Long
2019-06-28,0.0,3864.0,3864.0,5,Long
2019-06-30,0.0,4639.0,4639.0,5,Long
2019-07-01,0.0,4239.0,4239.0,5,Long
2019-07-02,0.0,4429.0,4429.0,5,Long
2019-07-03,0.0,5384.0,5384.0,5,Long
