date,realized_points,open_unrealized_points,total_equity_points,open_units,direction
2019-05-05,0.0,0.0,0.0,0,
2019-05-06,0.0,0.0,0.0,0,
2019-05-07,0.0,0.0,0.0,0,
2019-05-08,0.0,0.0,0.0,0,
2019-05-09,0.0,0.0,0.0,0,
2019-05-10,0.0,0.0,0.0,0,
2019-05-12,0.0,0.0,0.0,0,
2019-05-13,0.0,0.0,0.0,0,
2019-05-14,0.0,0.0,0.0,0,
2019-05-15,0.0,0.0,0.0,0,
2019-05-16,0.0,0.0,0.0,0,
2019-05-17,0.0,0.0,0.0,0,
2019-05-19,0.0,0.0,0.0,0,
2019-05-20,0.0,0.0,0.0,0,
2019-05-21,0.0,0.0,0.0,0,
2019-05-22,0.0,0.0,0.0,0,
2019-05-23,0.0,0.0,0.0,0,
2019-05-24,0.0,0.0,0.0,0,
2019-05-26,0.0,0.0,0.0,0,
2019-05-27,0.0,0.0,0.0,0,
2019-05-28,0.0,0.0,0.0,0,
2019-05-29,0.0,0.0,0.0,0,
2019-05-30,0.0,0.0,0.0,0,
2019-05-31,0.0,0.0,0.0,0,
2019-06-02,0.0,0.0,0.0,0,
2019-06-03,0.0,0.0,0.0,0,
2019-06-04,0.0,0.0,0.0,0,
2019-06-05,0.0,0.0,0.0,0,
2019-06-06,0.0,213.0,213.0,1,Long
2019-06-07,0.0,468.0,468.0,1,Long
2019-06-09,0.0,505.0,505.0,1,Long
2019-06-10,0.0,566.0,566.0,1,Long
2019-06-11,0.0,487.0,487.0,1,Long
2019-06-12,0.0,405.0,405.0,1,Long
2019-06-13,0.0,589.0,589.0,1,Long
2019-06-14,0.0,561.0,561.0,2,Long
2019-06-16,0.0,687.0,687.0,2,Long
2019-06-17,0.0,561.0,561.0,2,Long
2019-06-18,0.0,1333.0,1333.0,2,Long
2019-06-19,0.0,1529.0,1529.0,2,Long
2019-06-20,0.0,1725.0,1725.0,2,Long
2019-06-21,0.0,1653.0,1653.0,2,Long
2019-06-23,0.0,1833.0,1833.0,2,Long
2019-06-24,0.0,1711.0,1711.0,2,Long
2019-06-25,0.0,1419.0,1419.0,2,Long
2019-06-26,0.0,1513.0,1513.0,2,Long
2019-06-27,0.0,1459.0,1459.0,2,Long
2019-06-28,0.0,1777.0,1777.0,4,Long
2019-06-30,0.0,2397.0,2397.0,4,Long
2019-07-01,0.0,2077.0,2077.0,4,Long
2019-07-02,0.0,2229.0,2229.0,4,Long
2019-07-03,0.0,2993.0,2993.0,4,Long
