year,start_capital_usd,bump_level,max_contracts,required_capital_usd,capital_headroom_usd,year_net_usd,year_mtm_dd_usd,year_max_open_units,end_capital_usd
2010,384600.0,0,10,384600.0,0.0,16040.0,-9935.0,9,400640.0
2011,400640.0,0,10,384600.0,16040.0,-10075.0,-19100.0,8,390565.0
2012,390565.0,0,10,384600.0,5965.0,41765.0,-12140.0,10,432330.0
2013,432330.0,0,10,384600.0,47730.0,38320.0,-15835.0,10,470650.0
2014,470650.0,0,10,384600.0,86050.0,6930.0,-25240.0,10,477580.0
2015,477580.0,0,10,384600.0,92980.0,-6180.0,-14095.0,4,471400.0
2016,471400.0,0,10,384600.0,86800.0,-3455.0,-21420.0,8,467945.0
2017,467945.0,0,10,384600.0,83345.0,155970.0,-18600.0,10,623915.0
2018,623915.0,2,12,599010.0,24905.0,88220.0,-54500.0,12,712135.0
2019,712135.0,2,12,599010.0,113125.0,376670.0,-68250.0,12,1088805.0
2020,1088805.0,5,15,985185.0,103620.0,1668660.0,-152700.0,15,2757465.0
2021,2757465.0,21,31,2694450.0,63015.0,2097520.0,-359600.0,31,4854985.0
2022,4854985.0,38,48,4776525.0,78460.0,-762675.0,-1363560.0,48,4092310.0
2023,4092310.0,32,42,4041675.0,50635.0,4167360.0,-653940.0,42,8259670.0
2024,8259670.0,40,50,5021475.0,3238195.0,5822900.0,-994995.0,50,14082570.0
2025,14082570.0,40,50,5021475.0,9061095.0,5320300.0,-1132830.0,50,19402870.0
2026,19402870.0,40,50,5021475.0,14381395.0,-540995.0,-541200.0,41,18861875.0
