trade_id,unit_id,direction,entry_date,entry_price,entry_reason,entry_symbol,exit_date,exit_price,exit_reason,points,usd
1,1,Long,2012-11-23,2601.5,Weekly-ATR-Flip-Entry,NQZ2,2012-12-28,2627.75,Weekly-ATR-Bearish-Exit,26.25,525.0
1,2,Long,2012-11-23,2601.5,Weekly-ATR-Flip-Entry,NQZ2,2012-12-28,2627.75,Weekly-ATR-Bearish-Exit,26.25,525.0
1,3,Long,2012-11-23,2601.5,Weekly-ATR-Flip-Entry,NQZ2,2012-12-28,2627.75,Weekly-ATR-Bearish-Exit,26.25,525.0
1,4,Long,2012-12-07,2640.0,Friday-1550-Add,NQZ2,2012-12-28,2627.75,Weekly-ATR-Bearish-Exit,-12.25,-245.0
1,5,Long,2012-12-21,2654.25,Friday-1550-Add,NQH3,2012-12-28,2627.75,Weekly-ATR-Bearish-Exit,-26.5,-530.0
2,6,Long,2013-01-02,2686.25,Weekly-ATR-Flip-Entry,NQH3,2013-04-18,2779.0,Weekly-ATR-Bearish-Exit,92.75,1855.0
2,7,Long,2013-01-02,2686.25,Weekly-ATR-Flip-Entry,NQH3,2013-04-18,2779.0,Weekly-ATR-Bearish-Exit,92.75,1855.0
2,8,Long,2013-01-02,2686.25,Weekly-ATR-Flip-Entry,NQH3,2013-04-18,2779.0,Weekly-ATR-Bearish-Exit,92.75,1855.0
2,9,Long,2013-01-11,2743.25,Friday-1550-Add,NQH3,2013-04-18,2779.0,Weekly-ATR-Bearish-Exit,35.75,715.0
2,10,Long,2013-01-25,2728.0,Friday-1550-Add,NQH3,2013-04-18,2779.0,Weekly-ATR-Bearish-Exit,51.0,1020.0
2,11,Long,2013-02-08,2774.5,Friday-1550-Add,NQH3,2013-04-18,2779.0,Weekly-ATR-Bearish-Exit,4.5,90.0
2,12,Long,2013-02-22,2734.5,Friday-1550-Add,NQH3,2013-04-18,2779.0,Weekly-ATR-Bearish-Exit,44.5,890.0
2,13,Long,2013-03-08,2802.5,Friday-1550-Add,NQM3,2013-04-18,2779.0,Weekly-ATR-Bearish-Exit,-23.5,-470.0
2,14,Long,2013-03-22,2789.5,Friday-1550-Add,NQM3,2013-04-18,2779.0,Weekly-ATR-Bearish-Exit,-10.5,-210.0
2,15,Long,2013-04-12,2850.0,Friday-1550-Add,NQM3,2013-04-18,2779.0,Weekly-ATR-Bearish-Exit,-71.0,-1420.0
3,16,Long,2013-04-30,2858.0,Weekly-ATR-Flip-Entry,NQM3,2013-06-05,2973.5,Weekly-ATR-Bearish-Exit,115.5,2310.0
3,17,Long,2013-04-30,2858.0,Weekly-ATR-Flip-Entry,NQM3,2013-06-05,2973.5,Weekly-ATR-Bearish-Exit,115.5,2310.0
3,18,Long,2013-04-30,2858.0,Weekly-ATR-Flip-Entry,NQM3,2013-06-05,2973.5,Weekly-ATR-Bearish-Exit,115.5,2310.0
3,19,Long,2013-05-10,2975.75,Friday-1550-Add,NQM3,2013-06-05,2973.5,Weekly-ATR-Bearish-Exit,-2.25,-45.0
3,20,Long,2013-05-24,2981.25,Friday-1550-Add,NQM3,2013-06-05,2973.5,Weekly-ATR-Bearish-Exit,-7.75,-155.0
4,21,Long,2013-07-04,2966.0,Weekly-ATR-Flip-Entry,NQU3,2013-07-05,2963.25,Initial-Entry-Close-Exit,-2.75,-55.0
4,22,Long,2013-07-04,2966.0,Weekly-ATR-Flip-Entry,NQU3,2013-07-05,2963.25,Initial-Entry-Close-Exit,-2.75,-55.0
