ticker,filter_family,filter_label,detail,events_blocked,events_allowed,gross_saved,redeployed_est,ending_cash,total_contributed,ending_equity,net,ending_vs_basic_dca,max_dd,net_over_dd,buys,avg_buy_amount,deployed_contributions_pct,avg_exposure_pct
GOOGL,RSI,RSI daily >=60,"RSI14 EMA14, prior daily bar",81,182,81000.0,76000.0,5000.0,263000.0,4739552.485690829,4476552.485690829,-62988.365324244834,-920767.0563487471,4.861764389619195,182,1417.5824175824175,98.09885931558935,98.79235646772364
GOOGL,RSI,RSI daily >=65,"RSI14 EMA14, prior daily bar",42,221,42000.0,41000.0,1000.0,263000.0,4749205.573722797,4486205.573722797,-53335.27729227673,-923055.7728582649,4.860167397936477,221,1185.5203619909503,99.61977186311786,99.34277008638139
GOOGL,RSI,RSI daily >=70,"RSI14 EMA14, prior daily bar",17,246,17000.0,17000.0,0.0,263000.0,4771959.970470161,4508959.970470161,-30580.880544913,-928060.6755716424,4.858475409156681,246,1069.1056910569105,100.0,99.63756770637983
GOOGL,RSI,RSI daily >=75,"RSI14 EMA14, prior daily bar",8,255,8000.0,8000.0,0.0,263000.0,4773549.9803868355,4510549.9803868355,-28990.870628238656,-928370.4847634244,4.858566762316075,255,1031.3725490196077,100.0,99.67139874345453
GOOGL,RSI,RSI daily >=80,"RSI14 EMA14, prior daily bar",3,260,3000.0,3000.0,0.0,263000.0,4767947.583905408,4504947.583905408,-34593.26710966602,-927278.8727503498,4.8582446082735995,260,1011.5384615384615,100.0,99.68192569815348
GOOGL,RSI,RSI weekly >=60,"RSI14 EMA14, prior weekly bar",98,165,98000.0,88000.0,10000.0,263000.0,4747879.813662496,4484879.813662496,-54661.03735257778,-922163.2459862325,4.863433706757657,165,1533.3333333333333,96.1977186311787,98.01759553924622
GOOGL,RSI,RSI weekly >=65,"RSI14 EMA14, prior weekly bar",50,213,50000.0,45000.0,5000.0,263000.0,4777447.213428037,4514447.213428037,-25093.637587036937,-928051.027010968,4.864438572917698,213,1211.2676056338028,98.09885931558935,98.85034478478923
GOOGL,RSI,RSI weekly >=70,"RSI14 EMA14, prior weekly bar",26,237,26000.0,24000.0,2000.0,263000.0,4764832.282621704,4501832.282621704,-37708.56839337014,-925806.0321045704,4.862608501683665,237,1101.26582278481,99.23954372623575,99.20911870917693
GOOGL,RSI,RSI weekly >=75,"RSI14 EMA14, prior weekly bar",8,255,8000.0,8000.0,0.0,263000.0,4813174.073593049,4550174.073593049,10633.222577975132,-935717.1993210167,4.862766311119199,255,1031.3725490196077,100.0,99.95504546207383
GOOGL,RSI,RSI weekly >=80,"RSI14 EMA14, prior weekly bar",0,263,0.0,0.0,0.0,263000.0,4802540.851015074,4539540.851015074,0.0,-934019.2785880277,4.860221791007968,263,1000.0,100.0,100.0
GOOGL,RSI,RSI monthly >=60,"RSI14 EMA14, prior monthly bar",160,103,160000.0,40000.0,120000.0,263000.0,4155113.8546032324,3892113.8546032324,-647426.9964118418,-785231.1731077814,4.956647147869915,103,1388.3495145631068,54.372623574144484,93.38342819502417
GOOGL,RSI,RSI monthly >=65,"RSI14 EMA14, prior monthly bar",98,165,98000.0,90000.0,8000.0,263000.0,4722559.791241052,4459559.791241052,-79981.05977402255,-917619.4018108337,4.859923169061747,165,1545.4545454545455,96.95817490494296,96.62619855745247
GOOGL,RSI,RSI monthly >=70,"RSI14 EMA14, prior monthly bar",46,217,46000.0,41000.0,5000.0,263000.0,4944144.855544804,4681144.855544804,141604.0045297295,-961379.2026324607,4.869197131295158,217,1188.9400921658987,98.09885931558935,98.63795002955808
GOOGL,RSI,RSI monthly >=75,"RSI14 EMA14, prior monthly bar",9,254,9000.0,9000.0,0.0,263000.0,4800714.214382881,4537714.214382881,-1826.63663219288,-933663.3633118006,4.860118103260621,254,1035.4330708661416,100.0,99.88963488803483
GOOGL,RSI,RSI monthly >=80,"RSI14 EMA14, prior monthly bar",0,263,0.0,0.0,0.0,263000.0,4802540.851015074,4539540.851015074,0.0,-934019.2785880277,4.860221791007968,263,1000.0,100.0,100.0
