setup_id,direction,c3_month,entry,sl,tp,risk_pts,outcome,pnl_r,pnl_pts,mae_pts,mae_r,days_to_outcome,fill_date,outcome_date
1,bullish,2010-10,1998.25,1771.75,2224.75,226.5,open_eom,0.0,0.0,37.25,0.164,,2010-10-01,
2,bullish,2010-11,2133.0,1961.0,2305.0,172.0,open_eom,0.0,0.0,49.5,0.288,,2010-11-01,
3,bullish,2011-01,2224.25,2111.0,2337.5,113.25,tp,1.0,113.25,5.0,0.044,15.0,2011-01-02,2011-01-18
4,bullish,2011-02,2284.75,2219.25,2350.25,65.5,tp,1.0,65.5,0.0,0.0,6.0,2011-02-01,2011-02-07
5,bullish,2011-03,2355.0,2280.25,2429.75,74.75,sl,-1.0,-74.75,79.75,1.067,9.0,2011-03-01,2011-03-10
6,bullish,2011-05,2407.25,2250.25,2564.25,157.0,open_eom,0.0,0.0,126.25,0.804,,2011-05-01,
7,bullish,2011-08,2385.5,2314.5,2456.5,71.0,sl,-1.0,-71.0,104.25,1.468,2.0,2011-08-01,2011-08-02
8,bearish,2011-09,2243.0,2395.0,2091.0,152.0,open_eom,0.0,0.0,89.5,0.589,,2011-09-01,
9,bullish,2011-11,2347.75,2035.75,2659.75,312.0,open_eom,0.0,0.0,212.0,0.679,,2011-11-01,
10,bullish,2012-02,2455.75,2302.5,2609.0,153.25,tp,1.0,153.25,2.25,0.015,21.0,2012-02-01,2012-02-24
11,bullish,2012-03,2622.5,2453.5,2791.5,169.0,open_eom,0.0,0.0,47.5,0.281,,2012-03-01,
12,bullish,2012-04,2753.75,2575.0,2932.5,178.75,open_eom,0.0,0.0,129.0,0.722,,2012-04-02,
13,bearish,2012-06,2521.75,2753.0,2290.5,231.25,open_eom,0.0,0.0,106.5,0.461,,2012-06-01,
14,bullish,2012-08,2635.5,2516.5,2754.5,119.0,tp,1.0,119.0,35.5,0.298,14.0,2012-08-01,2012-08-16
15,bullish,2012-09,2770.5,2600.0,2941.0,170.5,open_eom,0.0,0.0,27.75,0.163,,2012-09-02,
16,bearish,2012-11,2633.25,2840.75,2425.75,207.5,open_eom,0.0,0.0,60.75,0.293,,2012-11-01,
17,bullish,2013-02,2734.75,2686.25,2783.25,48.5,tp,1.0,48.5,25.75,0.531,15.0,2013-02-01,2013-02-19
18,bullish,2013-04,2813.5,2711.75,2915.25,101.75,open_eom,0.0,0.0,89.5,0.88,,2013-04-01,
19,bullish,2013-05,2883.25,2724.0,3042.5,159.25,tp,1.0,159.25,21.0,0.132,19.0,2013-05-01,2013-05-22
20,bullish,2013-06,2976.25,2862.25,3090.25,114.0,sl,-1.0,-114.0,130.25,1.143,17.0,2013-06-03,2013-06-21
21,bullish,2013-08,3091.5,2894.25,3288.75,197.25,open_eom,0.0,0.0,39.0,0.198,,2013-08-01,
22,bullish,2013-10,3216.75,3076.0,3357.5,140.75,tp,1.0,140.75,106.0,0.753,18.0,2013-10-01,2013-10-21
23,bullish,2013-11,3375.25,3110.75,3639.75,264.5,open_eom,0.0,0.0,65.25,0.247,,2013-11-01,
24,bullish,2013-12,3491.5,3310.0,3673.0,181.5,open_eom,0.0,0.0,76.25,0.42,,2013-12-02,
25,bullish,2014-01,3593.25,3415.25,3771.25,178.0,open_eom,0.0,0.0,139.0,0.781,,2014-01-02,
26,bullish,2014-03,3700.0,3412.0,3988.0,288.0,open_eom,0.0,0.0,164.75,0.572,,2014-03-02,
27,bullish,2014-06,3728.75,3497.5,3960.0,231.25,open_eom,0.0,0.0,21.5,0.093,,2014-06-02,
28,bullish,2014-07,3846.5,3707.25,3985.75,139.25,tp,1.0,139.25,15.0,0.108,21.0,2014-07-01,2014-07-24
29,bullish,2014-08,3896.5,3831.5,3961.5,65.0,sl,-1.0,-65.0,70.0,1.077,7.0,2014-08-01,2014-08-08
30,bullish,2014-09,4081.5,3826.5,4336.5,255.0,open_eom,0.0,0.0,83.5,0.327,,2014-09-01,
31,bullish,2014-11,4142.25,3684.0,4600.5,458.25,open_eom,0.0,0.0,22.5,0.049,,2014-11-03,
32,bullish,2014-12,4323.75,4119.75,4527.75,204.0,sl,-1.0,-204.0,243.0,1.191,14.0,2014-12-01,2014-12-16
33,bullish,2015-03,4446.25,4085.5,4807.0,360.75,open_eom,0.0,0.0,176.25,0.489,,2015-03-01,
34,bullish,2015-08,4583.25,4331.75,4834.75,251.5,sl,-1.0,-251.5,394.25,1.568,18.0,2015-08-02,2015-08-21
35,bearish,2015-09,4241.5,4629.0,3854.0,387.5,open_eom,0.0,0.0,200.25,0.517,,2015-09-01,
36,bullish,2015-11,4645.0,4111.5,5178.5,533.5,open_eom,0.0,0.0,190.0,0.356,,2015-11-01,
37,bearish,2016-02,4262.0,4606.75,3917.25,344.75,tp,1.0,344.75,47.25,0.137,7.0,2016-02-01,2016-02-08
38,bullish,2016-04,4478.5,4180.25,4776.75,298.25,open_eom,0.0,0.0,181.75,0.609,,2016-04-01,
39,bullish,2016-08,4730.25,4365.75,5094.75,364.5,open_eom,0.0,0.0,48.5,0.133,,2016-08-01,
40,bullish,2016-09,4774.5,4681.75,4867.25,92.75,sl,-1.0,-92.75,111.75,1.205,8.0,2016-09-01,2016-09-09
41,bullish,2016-10,4863.25,4625.25,5101.25,238.0,open_eom,0.0,0.0,108.75,0.457,,2016-10-03,
42,bullish,2017-02,5127.0,4876.75,5377.25,250.25,open_eom,0.0,0.0,7.5,0.03,,2017-02-01,
43,bullish,2017-03,5332.75,5119.5,5546.0,213.25,open_eom,0.0,0.0,17.75,0.083,,2017-03-01,
44,bullish,2017-04,5435.75,5315.0,5556.5,120.75,tp,1.0,120.75,88.25,0.731,20.0,2017-04-02,2017-04-25
45,bullish,2017-05,5578.75,5347.5,5810.0,231.25,tp,1.0,231.25,28.25,0.122,27.0,2017-05-01,2017-05-31
46,bullish,2017-06,5800.75,5550.5,6051.0,250.25,open_eom,0.0,0.0,199.75,0.798,,2017-06-01,
47,bullish,2017-09,6000.0,5752.25,6247.75,247.75,open_eom,0.0,0.0,158.0,0.638,,2017-09-01,
48,bullish,2017-11,6253.25,5958.5,6548.0,294.75,open_eom,0.0,0.0,60.75,0.206,,2017-11-01,
49,bullish,2017-12,6358.0,6192.5,6523.5,165.5,tp,1.0,165.5,126.25,0.763,15.0,2017-12-01,2017-12-18
50,bullish,2018-02,6970.5,6397.75,7543.25,572.75,sl,-1.0,-572.75,582.75,1.017,4.0,2018-02-01,2018-02-05
51,bullish,2018-06,6983.25,6538.0,7428.5,445.25,open_eom,0.0,0.0,27.25,0.061,,2018-06-01,
52,bullish,2018-07,7067.75,6956.0,7179.5,111.75,tp,1.0,111.75,80.25,0.718,6.0,2018-07-01,2018-07-06
53,bullish,2018-09,7674.0,7214.25,8133.75,459.75,open_eom,0.0,0.0,281.0,0.611,,2018-09-02,
54,bearish,2018-11,6974.5,7728.75,6220.25,754.25,open_eom,0.0,0.0,256.5,0.34,,2018-11-01,
55,bearish,2019-01,6352.25,7139.0,5565.5,786.75,open_eom,0.0,0.0,590.75,0.751,,2019-01-01,
56,bullish,2019-03,7105.5,6841.0,7370.0,264.5,tp,1.0,264.5,139.75,0.528,15.0,2019-03-01,2019-03-18
57,bullish,2019-04,7455.75,6965.75,7945.75,490.0,open_eom,0.0,0.0,10.75,0.022,,2019-04-01,
58,bullish,2019-05,7845.25,7445.0,8245.5,400.25,sl,-1.0,-400.25,409.5,1.023,9.0,2019-05-01,2019-05-10
59,bearish,2019-06,7137.5,7872.5,6402.5,735.0,open_eom,0.0,0.0,687.0,0.935,,2019-06-04,
60,bullish,2019-08,7837.75,7743.0,7932.5,94.75,tp,1.0,94.75,63.75,0.673,1.0,2019-08-01,2019-08-01
61,bearish,2019-09,7675.5,8014.5,7336.5,339.0,open_eom,0.0,0.0,307.25,0.906,,2019-09-02,
62,bullish,2019-11,8089.25,7474.25,8704.25,615.0,no_fill,0.0,0.0,0.0,0.0,,,
63,bullish,2019-12,8422.5,8089.5,8755.5,333.0,tp,1.0,333.0,254.25,0.764,23.0,2019-12-01,2019-12-26
64,bullish,2020-01,8772.0,8168.25,9375.75,603.75,open_eom,0.0,0.0,94.0,0.156,,2020-01-01,
65,bullish,2020-02,9013.25,8678.0,9348.5,335.25,tp,1.0,335.25,38.25,0.114,3.0,2020-02-02,2020-02-04
66,bearish,2020-03,8270.5,9763.0,6778.0,1492.5,tp,1.0,1492.5,732.0,0.49,19.0,2020-03-01,2020-03-22
67,bearish,2020-04,7712.5,9002.5,6422.5,1290.0,sl,-1.0,-1290.0,1406.25,1.09,24.0,2020-04-01,2020-04-29
68,bullish,2020-06,9506.25,8556.25,10456.25,950.0,open_eom,0.0,0.0,138.0,0.145,,2020-06-01,
69,bullish,2020-07,10034.75,9368.25,10701.25,666.5,no_fill,0.0,0.0,0.0,0.0,,,
70,bullish,2020-08,10914.25,10076.0,11752.5,838.25,tp,1.0,838.25,68.75,0.082,21.0,2020-08-02,2020-08-25
71,bullish,2020-09,12125.5,10845.5,13405.5,1280.0,sl,-1.0,-1280.0,1383.5,1.081,16.0,2020-09-01,2020-09-18
72,bullish,2020-12,12350.25,10942.25,13758.25,1408.0,open_eom,0.0,0.0,132.0,0.094,,2020-12-01,
73,bullish,2021-01,12883.0,12218.25,13547.75,664.75,tp,1.0,664.75,391.75,0.589,20.0,2021-01-03,2021-01-25
74,bullish,2021-05,13865.25,13104.25,14626.25,761.0,sl,-1.0,-761.0,800.0,1.051,8.0,2021-05-03,2021-05-11
75,bullish,2021-07,14560.5,13462.25,15658.75,1098.25,open_eom,0.0,0.0,115.5,0.105,,2021-07-01,
76,bullish,2021-08,14966.5,14445.0,15488.0,521.5,tp,1.0,521.5,256.0,0.491,25.0,2021-08-02,2021-08-30
77,bullish,2021-09,15597.0,14710.5,16483.5,886.5,sl,-1.0,-886.5,926.75,1.045,26.0,2021-09-01,2021-09-30
78,bullish,2021-11,15879.75,14367.75,17391.75,1512.0,open_eom,0.0,0.0,111.25,0.074,,2021-11-01,
79,bullish,2021-12,16223.75,15768.5,16679.0,455.25,sl,-1.0,-455.25,461.0,1.013,2.0,2021-12-01,2021-12-02
80,bearish,2022-02,14868.5,16564.0,13173.0,1695.5,tp,1.0,1695.5,391.5,0.231,21.0,2022-02-01,2022-02-24
81,bearish,2022-05,12890.5,15198.0,10583.0,2307.5,open_eom,0.0,0.0,664.75,0.288,,2022-05-01,
82,bearish,2022-06,12704.5,13555.25,11853.75,850.75,tp,1.0,850.75,240.75,0.283,9.0,2022-06-01,2022-06-10
83,bearish,2022-10,11058.25,12987.0,9129.5,1928.75,open_eom,0.0,0.0,675.75,0.35,,2022-10-03,
84,bullish,2022-12,12073.5,10636.0,13511.0,1437.5,open_eom,0.0,0.0,1314.75,0.915,,2022-12-01,
85,bullish,2023-04,13308.0,11795.0,14821.0,1513.0,open_eom,0.0,0.0,508.0,0.336,,2023-04-02,
86,bullish,2023-06,14310.25,13001.75,15618.75,1308.5,open_eom,0.0,0.0,62.0,0.047,,2023-06-01,
87,bullish,2023-07,15316.5,14248.25,16384.75,1068.25,open_eom,0.0,0.0,253.25,0.237,,2023-07-03,
88,bullish,2023-08,15860.25,15063.25,16657.25,797.0,sl,-1.0,-797.0,823.0,1.033,10.0,2023-08-01,2023-08-11
89,bearish,2023-11,14453.25,15468.75,13437.75,1015.5,sl,-1.0,-1015.5,1159.5,1.142,9.0,2023-11-01,2023-11-10
90,bullish,2023-12,15964.0,14410.75,17517.25,1553.25,open_eom,0.0,0.0,242.75,0.156,,2023-12-01,
91,bullish,2024-01,17003.75,15721.25,18286.25,1282.5,open_eom,0.0,0.0,669.5,0.522,,2024-01-02,
