bucket,chart,session,side,pts,result
winners,bias_streak_filter/winners/001_2010-11-05_long_session_close_+2.png,2010-11-05,long,2.25,session_close
winners,bias_streak_filter/winners/002_2010-06-15_long_session_close_+42.png,2010-06-15,long,42.0,session_close
winners,bias_streak_filter/winners/003_2011-04-05_short_session_close_+13.png,2011-04-05,short,13.25,session_close
winners,bias_streak_filter/winners/004_2011-07-01_long_session_close_+38.png,2011-07-01,long,38.5,session_close
winners,bias_streak_filter/winners/005_2012-05-02_long_session_close_+6.png,2012-05-02,long,5.5,session_close
winners,bias_streak_filter/winners/006_2012-12-05_short_session_close_+37.png,2012-12-05,short,37.25,session_close
winners,bias_streak_filter/winners/007_2013-04-05_short_session_close_+14.png,2013-04-05,short,14.5,session_close
winners,bias_streak_filter/winners/008_2013-10-02_long_session_close_+3.png,2013-10-02,long,3.25,session_close
winners,bias_streak_filter/winners/009_2014-03-05_long_session_close_+9.png,2014-03-05,long,9.25,session_close
winners,bias_streak_filter/winners/010_2014-11-05_short_session_close_+8.png,2014-11-05,short,8.0,session_close
winners,bias_streak_filter/winners/011_2015-02-03_long_session_close_+51.png,2015-02-03,long,50.75,session_close
winners,bias_streak_filter/winners/012_2015-04-01_long_session_close_+16.png,2015-04-01,long,15.75,session_close
winners,bias_streak_filter/winners/013_2016-11-04_short_session_close_+19.png,2016-11-04,short,18.75,session_close
winners,bias_streak_filter/winners/014_2016-01-06_short_session_close_+4.png,2016-01-06,short,3.75,session_close
winners,bias_streak_filter/winners/015_2017-01-04_long_session_close_+18.png,2017-01-04,long,17.5,session_close
winners,bias_streak_filter/winners/016_2017-12-01_short_session_close_+16.png,2017-12-01,short,16.5,session_close
winners,bias_streak_filter/winners/017_2018-07-02_long_session_close_+62.png,2018-07-02,long,62.5,session_close
winners,bias_streak_filter/winners/018_2018-12-07_short_target_+200.png,2018-12-07,short,200.0,target
winners,bias_streak_filter/winners/019_2019-08-02_short_session_close_+82.png,2019-08-02,short,82.0,session_close
winners,bias_streak_filter/winners/020_2019-10-02_short_session_close_+147.png,2019-10-02,short,147.0,session_close
winners,bias_streak_filter/winners/021_2020-02-26_short_target_+200.png,2020-02-26,short,200.0,target
winners,bias_streak_filter/winners/022_2020-08-06_long_session_close_+178.png,2020-08-06,long,178.25,session_close
winners,bias_streak_filter/winners/023_2021-05-04_short_target_+200.png,2021-05-04,short,200.0,target
winners,bias_streak_filter/winners/024_2021-09-10_short_session_close_+136.png,2021-09-10,short,136.0,session_close
winners,bias_streak_filter/winners/025_2022-11-11_long_target_+200.png,2022-11-11,long,200.0,target
winners,bias_streak_filter/winners/026_2022-12-05_short_target_+200.png,2022-12-05,short,200.0,target
winners,bias_streak_filter/winners/027_2023-11-02_long_target_+200.png,2023-11-02,long,200.0,target
winners,bias_streak_filter/winners/028_2023-06-05_long_session_close_+64.png,2023-06-05,long,64.25,session_close
winners,bias_streak_filter/winners/029_2024-05-03_long_target_+200.png,2024-05-03,long,200.0,target
winners,bias_streak_filter/winners/030_2024-07-19_short_target_+200.png,2024-07-19,short,200.0,target
winners,bias_streak_filter/winners/031_2025-11-06_short_target_+200.png,2025-11-06,short,200.0,target
winners,bias_streak_filter/winners/032_2025-04-02_long_target_+200.png,2025-04-02,long,200.0,target
winners,bias_streak_filter/winners/033_2026-01-06_long_session_close_+163.png,2026-01-06,long,162.75,session_close
winners,bias_streak_filter/winners/034_2026-01-07_long_target_+200.png,2026-01-07,long,200.0,target
winners,bias_streak_filter/winners/035_2021-01-04_short_target_+200.png,2021-01-04,short,200.0,target
winners,bias_streak_filter/winners/036_2018-02-02_short_session_close_+168.png,2018-02-02,short,168.5,session_close
winners,bias_streak_filter/winners/037_2015-07-02_long_session_close_+3.png,2015-07-02,long,3.25,session_close
winners,bias_streak_filter/winners/038_2013-04-04_short_session_close_+0.png,2013-04-04,short,0.25,session_close
winners,bias_streak_filter/winners/039_2014-04-02_long_session_close_+1.png,2014-04-02,long,1.25,session_close
winners,bias_streak_filter/winners/040_2018-01-02_long_session_close_+99.png,2018-01-02,long,99.25,session_close
winners,bias_streak_filter/winners/041_2012-05-04_short_session_close_+62.png,2012-05-04,short,62.0,session_close
winners,bias_streak_filter/winners/042_2012-04-03_long_session_close_+2.png,2012-04-03,long,1.75,session_close
winners,bias_streak_filter/winners/043_2019-05-08_short_session_close_+48.png,2019-05-08,short,48.0,session_close
winners,bias_streak_filter/winners/044_2012-04-06_short_session_close_+33.png,2012-04-06,short,33.25,session_close
winners,bias_streak_filter/winners/045_2018-11-05_short_session_close_+32.png,2018-11-05,short,32.0,session_close
winners,bias_streak_filter/winners/046_2018-06-05_long_session_close_+28.png,2018-06-05,long,27.75,session_close
winners,bias_streak_filter/winners/047_2014-12-04_short_session_close_+2.png,2014-12-04,short,1.75,session_close
