idx,week_start,week_end,chart,bars,net_pts,range_pts,above_ma_pct,st_bull_pct,bull_align_pct,bear_align_pct,mixed_pct,st_flips,align_changes,ending_regime
1,2024-04-08,2024-04-14,charts/001_2024-04-08.png,465,-49.5,465.25,36.12903225806451,38.494623655913976,28.387096774193548,53.76344086021505,17.8494623655914,13,30,bear_align
2,2024-04-15,2024-04-21,charts/002_2024-04-15.png,465,-992.5,1237.5,1.0752688172043012,49.89247311827957,1.0752688172043012,50.10752688172043,48.817204301075265,12,15,bear_align
3,2024-04-22,2024-04-28,charts/003_2024-04-22.png,465,667.0,764.5,56.55913978494623,61.29032258064516,46.02150537634409,28.172043010752688,25.806451612903224,17,26,bull_align
4,2024-04-29,2024-05-05,charts/004_2024-04-29.png,465,104.5,677.5,57.634408602150536,44.946236559139784,32.043010752688176,29.462365591397848,38.494623655913976,10,16,bull_align
5,2024-05-06,2024-05-12,charts/005_2024-05-06.png,465,270.0,364.25,100.0,66.02150537634408,66.02150537634408,0.0,33.97849462365591,15,15,mixed
6,2024-05-13,2024-05-19,charts/006_2024-05-13.png,465,395.0,595.25,99.78494623655914,58.27956989247311,58.27956989247311,0.21505376344086022,41.50537634408602,13,15,bull_align
7,2024-05-20,2024-05-26,charts/007_2024-05-20.png,465,181.5,401.75,83.87096774193549,71.18279569892472,67.52688172043011,12.473118279569892,20.0,13,21,mixed
8,2024-05-27,2024-06-02,charts/008_2024-05-27.png,449,-207.75,739.25,42.98440979955457,43.87527839643652,25.612472160356347,38.75278396436526,35.634743875278396,15,23,mixed
9,2024-06-03,2024-06-09,charts/009_2024-06-03.png,465,400.5,719.25,66.88172043010752,60.215053763440864,36.774193548387096,9.67741935483871,53.5483870967742,11,14,mixed
10,2024-06-10,2024-06-16,charts/010_2024-06-10.png,465,918.5,1012.0,100.0,67.95698924731182,67.95698924731182,0.0,32.043010752688176,9,9,bull_align
11,2024-06-17,2024-06-23,charts/011_2024-06-17.png,449,1.5,467.0,82.62806236080178,55.67928730512249,46.5478841870824,8.240534521158128,45.211581291759465,9,12,bear_align
12,2024-06-24,2024-06-30,charts/012_2024-06-24.png,465,34.5,547.25,30.53763440860215,55.6989247311828,16.7741935483871,30.53763440860215,52.68817204301075,14,24,mixed
13,2024-07-01,2024-07-07,charts/013_2024-07-01.png,434,605.75,827.75,88.24884792626729,76.036866359447,75.11520737327189,10.829493087557603,14.055299539170507,9,20,bull_align
14,2024-07-08,2024-07-14,charts/014_2024-07-08.png,465,-19.75,648.75,71.61290322580646,59.13978494623656,52.25806451612903,21.50537634408602,26.236559139784948,11,18,bear_align
15,2024-07-15,2024-07-21,charts/015_2024-07-15.png,465,-810.25,1143.0,1.5053763440860215,15.053763440860216,1.5053763440860215,84.94623655913979,13.548387096774196,12,13,bear_align
16,2024-07-22,2024-07-28,charts/016_2024-07-22.png,465,-468.75,1201.5,0.0,41.50537634408602,0.0,58.49462365591398,41.50537634408602,13,13,mixed
17,2024-07-29,2024-08-04,charts/017_2024-07-29.png,465,-1247.75,1676.75,23.225806451612904,45.59139784946237,15.913978494623656,47.096774193548384,36.98924731182795,11,13,bear_align
18,2024-08-05,2024-08-11,charts/018_2024-08-05.png,465,588.25,1323.5,30.32258064516129,66.88172043010752,25.161290322580644,27.956989247311824,46.88172043010753,15,18,bull_align
19,2024-08-12,2024-08-18,charts/019_2024-08-12.png,465,1015.25,1164.5,100.0,69.6774193548387,69.6774193548387,0.0,30.32258064516129,14,14,bull_align
20,2024-08-19,2024-08-25,charts/020_2024-08-19.png,465,120.5,500.0,76.98924731182795,44.946236559139784,40.86021505376344,18.9247311827957,40.215053763440864,9,23,bear_align
21,2024-08-26,2024-09-01,charts/021_2024-08-26.png,465,-174.0,706.0,13.548387096774196,46.236559139784944,11.397849462365592,51.61290322580645,36.98924731182795,13,24,bull_align
22,2024-09-02,2024-09-08,charts/022_2024-09-02.png,449,-1051.5,1343.25,19.821826280623608,35.18930957683742,13.140311804008908,58.12917594654788,28.73051224944321,14,17,mixed
23,2024-09-09,2024-09-15,charts/023_2024-09-09.png,465,985.25,1080.0,62.365591397849464,81.72043010752688,59.56989247311828,15.483870967741936,24.946236559139784,18,25,bull_align
24,2024-09-16,2024-09-22,charts/024_2024-09-16.png,465,395.25,684.25,100.0,51.3978494623656,51.3978494623656,0.0,48.60215053763441,12,12,bull_align
25,2024-09-23,2024-09-29,charts/025_2024-09-23.png,465,63.5,585.0,98.70967741935483,55.483870967741936,55.483870967741936,1.2903225806451613,43.225806451612904,13,15,mixed
26,2024-09-30,2024-10-06,charts/026_2024-09-30.png,465,-3.25,513.75,29.03225806451613,60.0,21.72043010752688,32.68817204301075,45.59139784946237,21,37,bull_align
27,2024-10-07,2024-10-13,charts/027_2024-10-07.png,465,191.0,605.75,87.74193548387098,64.08602150537635,63.87096774193548,12.043010752688172,24.086021505376344,10,13,bull_align
28,2024-10-14,2024-10-20,charts/028_2024-10-14.png,465,87.0,473.75,53.118279569892465,48.17204301075269,32.25806451612903,30.967741935483872,36.774193548387096,6,18,bull_align
29,2024-10-21,2024-10-27,charts/029_2024-10-21.png,465,130.25,628.25,52.68817204301075,60.0,40.0,27.311827956989248,32.68817204301075,12,35,bull_align
30,2024-10-28,2024-11-03,charts/030_2024-10-28.png,461,-394.5,780.0,54.4468546637744,33.839479392624725,22.99349240780911,34.70715835140998,42.299349240780906,10,15,mixed
31,2024-11-04,2024-11-10,charts/031_2024-11-04.png,465,1052.75,1307.0,68.17204301075269,76.77419354838709,64.51612903225806,19.56989247311828,15.913978494623656,6,13,bull_align
32,2024-11-11,2024-11-17,charts/032_2024-11-11.png,465,-639.5,935.5,56.55913978494623,39.784946236559136,30.752688172043012,34.40860215053764,34.83870967741935,16,24,mixed
33,2024-11-18,2024-11-24,charts/033_2024-11-18.png,465,317.5,586.75,32.043010752688176,70.10752688172043,27.956989247311824,25.806451612903224,46.236559139784944,14,17,bull_align
34,2024-11-25,2024-12-01,charts/034_2024-11-25.png,434,1.25,406.0,82.7188940092166,71.19815668202764,61.9815668202765,8.064516129032258,29.953917050691242,8,31,bull_align
35,2024-12-02,2024-12-08,charts/035_2024-12-02.png,465,680.25,730.75,100.0,80.0,80.0,0.0,20.0,6,6,bull_align
36,2024-12-09,2024-12-15,charts/036_2024-12-09.png,465,165.25,555.25,82.58064516129032,44.73118279569893,41.50537634408602,14.193548387096774,44.3010752688172,10,22,bull_align
37,2024-12-16,2024-12-22,charts/037_2024-12-16.png,465,-98.5,1419.0,52.903225806451616,56.344086021505376,44.086021505376344,34.83870967741935,21.0752688172043,11,12,bear_align
38,2024-12-23,2024-12-29,charts/038_2024-12-23.png,357,-12.5,634.5,50.98039215686274,58.82352941176471,29.411764705882355,19.607843137254903,50.98039215686274,9,13,mixed
39,2024-12-30,2025-01-05,charts/039_2024-12-30.png,372,-166.5,711.75,4.838709677419355,41.12903225806452,4.838709677419355,58.87096774193549,36.29032258064516,8,17,bull_align
40,2025-01-06,2025-01-12,charts/040_2025-01-06.png,435,-636.75,1038.25,32.64367816091954,38.160919540229884,17.70114942528736,46.89655172413793,35.40229885057472,15,20,bear_align
41,2025-01-13,2025-01-19,charts/041_2025-01-13.png,465,666.0,988.5,52.68817204301075,55.483870967741936,33.33333333333333,25.161290322580644,41.50537634408602,7,8,bull_align
