variant,signal_count,signal_rate_per_year,total_contributed,ending_equity,net,return_on_contributions_pct,max_dd,net_over_dd,buys,avg_buy_amount,ending_cash,deployed_contributions_pct,avg_exposure_pct,equity_vs_monthly,beats_monthly,pivot_bars
signal_static_full_window,484,18.32497149372862,318000.0,3843249.701313634,3525249.701313634,1108.5690884634068,-680156.5567087587,5.182997453368867,473,638.3862413920888,16043.307821542028,94.95493464731382,96.00667722870494,-168309.96016339026,False,1
signal_expanding_prior_rate,484,18.32497149372862,318000.0,3660127.5096263923,3342127.5096263923,1050.9834935932051,-644588.2398623959,5.184903017063817,475,615.2368254932777,25762.507890693116,91.89858242431032,94.64716260246279,-351432.1518506319,False,1
signal_rolling_5y_rate,484,18.32497149372862,318000.0,3849580.6956954966,3531580.6956954966,1110.5599671998418,-682692.5454026302,5.173017809375205,447,693.7963858750675,7873.015513844824,97.52420895791043,96.78454658819092,-161978.96578152757,False,1
signal_all_cash_lump,484,18.32497149372862,318000.0,4003915.385616036,3685915.385616036,1159.092888558502,-713123.2816350313,5.168693100532437,262,1209.9236641221373,1000.0,99.68553459119497,99.03795232318976,-7644.275860988069,False,1
signal_static_full_window,289,10.941976780346222,318000.0,3869141.406906969,3551141.406906969,1116.7111342474745,-682730.7677719546,5.201378895660257,273,1075.9178414692367,24274.42927889851,92.36653167330235,96.38770788322906,-142418.2545700553,False,2
signal_expanding_prior_rate,289,10.941976780346222,318000.0,3532961.5325289005,3214961.5325289005,1010.9941926191512,-616837.743173456,5.212005212244035,285,959.1397110081139,44645.18236268758,85.96063447714226,91.93314565624306,-478598.12894812366,False,2
signal_rolling_5y_rate,289,10.941976780346222,318000.0,3850034.1857379167,3532034.1857379167,1110.7025741314203,-679913.727119538,5.194826997686042,269,1164.4696230438105,4757.67140121492,98.50387691785694,96.04340784152026,-161525.47573910747,False,2
signal_all_cash_lump,289,10.941976780346222,318000.0,4005806.7712414074,3687806.7712414074,1159.6876639123923,-713400.7620202117,5.169333939030649,205,1541.4634146341464,2000.0,99.37106918238993,98.5676722572443,-5752.8902356168255,False,2
signal_static_full_window,207,7.837332849590545,318000.0,3902126.422689002,3584126.422689002,1127.083780719812,-689133.404544207,5.200918137264793,203,1472.7069827753571,19040.48249660252,94.01242688786084,95.52078732416162,-109433.2387880222,False,3
signal_expanding_prior_rate,207,7.837332849590545,318000.0,3679851.57067906,3361851.57067906,1057.1860285154278,-645777.6079260402,5.205896781518766,204,1401.1007840187708,32175.440060170753,89.8819370879966,93.30300214161733,-331708.090797964,False,3
signal_rolling_5y_rate,207,7.837332849590545,318000.0,3889184.161379186,3571184.161379186,1123.013887226159,-688068.9524126903,5.190154487943325,198,1561.4724844506616,8828.448078769003,97.22375846579591,95.6562174854518,-122375.50009783823,False,3
signal_all_cash_lump,207,7.837332849590545,318000.0,4003078.3754000315,3685078.3754000315,1158.8296777987518,-712491.7463214835,5.172099739296189,161,1956.5217391304348,3000.0,99.05660377358491,97.53703362792288,-8481.28607699275,False,3
signal_static_full_window,128,4.846273452886908,318000.0,3853517.5885614217,3535517.5885614217,1111.7979838243464,-677125.5326184668,5.221362093509395,126,2354.838906815293,21290.29774127315,93.3049378172097,94.94921779514061,-158042.07291560248,False,5
signal_expanding_prior_rate,128,4.846273452886908,318000.0,3578220.1824845592,3260220.1824845592,1025.226472479421,-623712.1822272006,5.227122822649877,125,2278.4762036004204,33190.47454994753,89.56274385221775,91.91751258782568,-433339.47899246495,False,5
signal_rolling_5y_rate,128,4.846273452886908,318000.0,3899676.8362040347,3581676.8362040347,1126.3134705044133,-690859.7973589706,5.184375831241192,125,2508.2476981955247,4469.037725559463,98.59464222466684,95.39751791195282,-111882.82527298946,False,5
signal_all_cash_lump,128,4.846273452886908,318000.0,3994506.870234696,3676506.870234696,1156.1342359228604,-710547.0909557629,5.174191713724977,112,2821.4285714285716,2000.0,99.37106918238993,97.19241966660799,-17052.791242328007,False,5
signal_static_full_window,78,2.9531978853529592,318000.0,3719169.1122169606,3401169.1122169606,1069.5500352883523,-652951.5496856812,5.208914985888647,78,3595.7984520612854,37527.720739219694,88.19882995622022,93.70667910100825,-292390.54926006356,False,8
signal_expanding_prior_rate,78,2.9531978853529592,318000.0,3439056.089576473,3121056.089576473,981.4641791120983,-597897.443123562,5.220052578367479,78,3361.2855561789183,55819.72661804443,82.44662684967156,87.35708559393547,-572503.5719005512,False,8
signal_rolling_5y_rate,78,2.9531978853529592,318000.0,3775011.1980433734,3457011.1980433734,1087.110439636281,-667758.6632884124,5.17703683696014,77,4023.4051662623087,8197.802197802197,97.42207478056535,93.79127276193819,-236548.4634336508,False,8
signal_all_cash_lump,78,2.9531978853529592,318000.0,3966986.1242199857,3648986.1242199857,1147.479913276725,-706108.0024888027,5.167745035261587,74,4270.27027027027,2000.0,99.37106918238993,96.26264467584281,-44573.53725703852,False,8
