variant,signal_count,signal_rate_per_year,total_contributed,ending_equity,net,return_on_contributions_pct,max_dd,net_over_dd,buys,avg_buy_amount,ending_cash,deployed_contributions_pct,avg_exposure_pct,equity_vs_monthly,beats_monthly,year_end_sweeps,signal_buys,pattern,pivot_bars,break_mode
signal_static_full_window,16,0.6057841816108634,318000.0,3907910.783318639,3589910.783318639,1128.9027620498864,-696238.1894039907,5.156153221632031,40,7925.0,1000.0,99.68553459119497,91.94963126518769,-103648.8781583854,False,24,16,low_high_lower_low,1,
signal_expanding_prior_rate,16,0.6057841816108634,318000.0,3907910.783318639,3589910.783318639,1128.9027620498864,-696238.1894039907,5.156153221632031,40,7925.0,1000.0,99.68553459119497,91.94963126518769,-103648.8781583854,False,24,16,low_high_lower_low,1,
signal_rolling_5y_rate,16,0.6057841816108634,318000.0,3907910.783318639,3589910.783318639,1128.9027620498864,-696238.1894039907,5.156153221632031,40,7925.0,1000.0,99.68553459119497,91.94963126518769,-103648.8781583854,False,24,16,low_high_lower_low,1,
signal_all_cash_lump,16,0.6057841816108634,318000.0,3907910.783318639,3589910.783318639,1128.9027620498864,-696238.1894039907,5.156153221632031,40,7925.0,1000.0,99.68553459119497,91.94963126518769,-103648.8781583854,False,24,16,low_high_lower_low,1,
signal_static_full_window,11,0.4164766248574686,318000.0,3915449.774114194,3597449.774114194,1131.273513872388,-697020.6946106849,5.161180725234449,36,8666.666666666666,6000.0,98.11320754716981,91.59118513406762,-96109.88736283034,False,25,11,low_high_lower_low,2,
signal_expanding_prior_rate,11,0.4164766248574686,318000.0,3915449.774114194,3597449.774114194,1131.273513872388,-697020.6946106849,5.161180725234449,36,8666.666666666666,6000.0,98.11320754716981,91.59118513406762,-96109.88736283034,False,25,11,low_high_lower_low,2,
signal_rolling_5y_rate,11,0.4164766248574686,318000.0,3915449.774114194,3597449.774114194,1131.273513872388,-697020.6946106849,5.161180725234449,36,8666.666666666666,6000.0,98.11320754716981,91.59118513406762,-96109.88736283034,False,25,11,low_high_lower_low,2,
signal_all_cash_lump,11,0.4164766248574686,318000.0,3915449.774114194,3597449.774114194,1131.273513872388,-697020.6946106849,5.161180725234449,36,8666.666666666666,6000.0,98.11320754716981,91.59118513406762,-96109.88736283034,False,25,11,low_high_lower_low,2,
signal_static_full_window,4,0.15144604540271586,318000.0,3913258.645229074,3595258.645229074,1130.5844796317845,-695483.5876339171,5.169437078249957,29,10758.620689655172,6000.0,98.11320754716981,91.40715464060379,-98301.01624795003,False,25,4,low_high_lower_low,3,
signal_expanding_prior_rate,4,0.15144604540271586,318000.0,3913258.645229074,3595258.645229074,1130.5844796317845,-695483.5876339171,5.169437078249957,29,10758.620689655172,6000.0,98.11320754716981,91.40715464060379,-98301.01624795003,False,25,4,low_high_lower_low,3,
signal_rolling_5y_rate,4,0.15144604540271586,318000.0,3913258.645229074,3595258.645229074,1130.5844796317845,-695483.5876339171,5.169437078249957,29,10758.620689655172,6000.0,98.11320754716981,91.40715464060379,-98301.01624795003,False,25,4,low_high_lower_low,3,
signal_all_cash_lump,4,0.15144604540271586,318000.0,3913258.645229074,3595258.645229074,1130.5844796317845,-695483.5876339171,5.169437078249957,29,10758.620689655172,6000.0,98.11320754716981,91.40715464060379,-98301.01624795003,False,25,4,low_high_lower_low,3,
signal_static_full_window,0,0.0,318000.0,3849140.8932179967,3531140.8932179967,1110.4216645339611,-683625.6150169272,5.165313902303913,26,12000.0,6000.0,98.11320754716981,90.33404501849324,-162418.7682590275,False,26,0,low_high_lower_low,5,
signal_expanding_prior_rate,0,0.0,318000.0,3849140.8932179967,3531140.8932179967,1110.4216645339611,-683625.6150169272,5.165313902303913,26,12000.0,6000.0,98.11320754716981,90.33404501849324,-162418.7682590275,False,26,0,low_high_lower_low,5,
signal_rolling_5y_rate,0,0.0,318000.0,3849140.8932179967,3531140.8932179967,1110.4216645339611,-683625.6150169272,5.165313902303913,26,12000.0,6000.0,98.11320754716981,90.33404501849324,-162418.7682590275,False,26,0,low_high_lower_low,5,
