market,session_day,symbol,status,result,rh,rl,range,entry,target,stop,exit_px,pts,usd,break_time,break_candle_num_after_or,break_close,exit_time,mae_pts,mfe_pts
nq,2010-06-07,NQM0,Initial break down,Skipped,1844.25,1828.0,16.25,,,,,0.0,0.0,2010-06-07T09:45:00-04:00,1.0,1835.75,,0.0,0.0
nq,2010-06-08,NQM0,Initial break down,Skipped,1806.0,1796.5,9.5,,,,,0.0,0.0,2010-06-08T09:45:00-04:00,1.0,1796.0,,0.0,0.0
nq,2010-06-09,NQM0,Initial break down,Skipped,1809.0,1802.5,6.5,,,,,0.0,0.0,2010-06-09T09:45:00-04:00,1.0,1801.0,,0.0,0.0
nq,2010-06-10,NQM0,Initial break not required candle (2),Skipped,1809.25,1795.75,13.5,,,,,0.0,0.0,2010-06-10T09:50:00-04:00,2.0,1813.5,,0.0,0.0
nq,2010-06-11,NQU0,Initial break not required candle (3),Skipped,1820.25,1810.0,10.25,,,,,0.0,0.0,2010-06-11T09:55:00-04:00,3.0,1826.75,,0.0,0.0
nq,2010-06-14,NQU0,Boundary re-entry stop,Boundary-Stop,1864.25,1858.75,5.5,1864.75,1875.75,1864.25,1864.25,-0.5,-10.0,2010-06-14T09:45:00-04:00,1.0,1866.5,2010-06-14T09:50:00-04:00,4.75,3.25
nq,2010-06-15,NQU0,Boundary re-entry stop,Boundary-Stop,1866.75,1853.5,13.25,1867.25,1893.75,1866.75,1866.75,-0.5,-10.0,2010-06-15T09:45:00-04:00,1.0,1867.25,2010-06-15T10:00:00-04:00,2.5,8.75
nq,2010-06-16,NQU0,Failed clean close,Failed-Clean-Close,1897.5,1886.75,10.75,1898.0,1919.5,1897.5,1897.5,-0.5,-10.0,2010-06-16T09:45:00-04:00,1.0,1897.5,2010-06-16T09:45:00-04:00,2.0,0.25
nq,2010-06-17,NQU0,Initial break down,Skipped,1914.5,1904.25,10.25,,,,,0.0,0.0,2010-06-17T09:45:00-04:00,1.0,1906.25,,0.0,0.0
nq,2010-06-18,NQU0,Initial break not required candle (2),Skipped,1914.5,1909.0,5.5,,,,,0.0,0.0,2010-06-18T09:50:00-04:00,2.0,1908.75,,0.0,0.0
nq,2010-06-21,NQU0,Initial break down,Skipped,1937.5,1928.25,9.25,,,,,0.0,0.0,2010-06-21T09:45:00-04:00,1.0,1932.0,,0.0,0.0
nq,2010-06-22,NQU0,Boundary re-entry stop,Boundary-Stop,1911.75,1902.0,9.75,1912.25,1931.75,1911.75,1911.75,-0.5,-10.0,2010-06-22T09:45:00-04:00,1.0,1914.25,2010-06-22T09:50:00-04:00,2.75,4.5
nq,2010-06-23,NQU0,Initial break down,Skipped,1884.5,1872.75,11.75,,,,,0.0,0.0,2010-06-23T09:45:00-04:00,1.0,1872.5,,0.0,0.0
nq,2010-06-24,NQU0,Initial break down,Skipped,1870.0,1861.75,8.25,,,,,0.0,0.0,2010-06-24T09:45:00-04:00,1.0,1860.25,,0.0,0.0
nq,2010-06-25,NQU0,Initial break down,Skipped,1850.75,1835.25,15.5,,,,,0.0,0.0,2010-06-25T09:45:00-04:00,1.0,1837.0,,0.0,0.0
nq,2010-06-28,NQU0,Initial break down,Skipped,1843.25,1832.25,11.0,,,,,0.0,0.0,2010-06-28T09:45:00-04:00,1.0,1832.75,,0.0,0.0
nq,2010-06-29,NQU0,Initial break down,Skipped,1807.75,1791.75,16.0,,,,,0.0,0.0,2010-06-29T09:45:00-04:00,1.0,1785.25,,0.0,0.0
