Period,Range_High,Range_Low,Range,Trade_Direction,Units,Entry_Date,Entry_Price,Entry_Mode,Breakout_Date,Breakout_Close,Initial_Stop_Price,Stop_Source_Date,Stop_Source_Price,TP25_Price,TP_Price,Trade_PL,MAE_Price_Pts,MAE_Position_Pts,MFE_Price_Pts,Result,Final_Reason,Symbol,Range_Days,Trade_Days,Cumulative_PL,Unit1_Exit_Price,Unit1_Exit_Date,Unit1_Exit_Reason,Unit2_Exit_Price,Unit2_Exit_Date,Unit2_Exit_Reason,Unit3_Exit_Price,Unit3_Exit_Date,Unit3_Exit_Reason
2011,2403.0,2185.75,217.25,Long,3,2011-04-28,2408.0,breakout-close,2011-04-27,2408.0,2250.25,2011-04-18,2250.25,2461.0625,2620.25,-473.25,162.5,487.5,20.0,Loss,Swing-Stop,NQH1,77,232,-473.25,2250.25,2011-06-08,Swing-Stop,2250.25,2011-06-08,Swing-Stop,2250.25,2011-06-08,Swing-Stop
2011,2403.0,2185.75,217.25,Short,3,2011-06-20,2185.25,breakout-close,2011-06-19,2185.25,2218.75,2011-06-17,2218.75,2131.0625,1968.5,-100.5,64.5,193.5,11.25,Loss,Swing-Stop,NQH1,77,232,-573.75,2218.75,2011-06-21,Swing-Stop,2218.75,2011-06-21,Swing-Stop,2218.75,2011-06-21,Swing-Stop
2011,2403.0,2185.75,217.25,Long,3,2011-07-08,2415.25,breakout-close,2011-07-07,2415.25,2351.5,2011-07-04,2351.5,2466.5,2620.25,-191.25,64.0,192.0,6.5,Loss,Swing-Stop,NQH1,77,232,-765.0,2351.5,2011-07-11,Swing-Stop,2351.5,2011-07-11,Swing-Stop,2351.5,2011-07-11,Swing-Stop
2011,2403.0,2185.75,217.25,Long,3,2011-07-20,2405.75,breakout-close,2011-07-19,2405.75,2318.75,2011-07-18,2318.75,2459.375,2620.25,-261.0,124.5,373.5,29.75,Loss,Swing-Stop,NQH1,77,232,-1026.0,2318.75,2011-08-02,Swing-Stop,2318.75,2011-08-02,Swing-Stop,2318.75,2011-08-02,Swing-Stop
2011,2403.0,2185.75,217.25,Short,3,2011-08-08,2143.0,breakout-close,2011-08-07,2143.0,2319.5,2011-08-04,2319.5,2099.375,1968.5,-309.375,189.5,379.0,170.75,Loss,TP25+Swing-Stop,NQH1,77,232,-1335.375,2099.375,2011-08-08,TP25,2319.5,2011-09-20,Swing-Stop,2319.5,2011-09-20,Swing-Stop
2011,2403.0,2185.75,217.25,Short,3,2011-10-02,2123.5,breakout-close,2011-09-30,2123.5,2285.25,2011-09-27,2285.25,2084.75,1968.5,-284.75,172.75,345.5,87.75,Loss,TP25+Swing-Stop,NQH1,77,232,-1620.125,2084.75,2011-10-03,TP25,2285.25,2011-10-11,Swing-Stop,2285.25,2011-10-11,Swing-Stop
2011,2403.0,2185.75,217.25,Short,3,2011-11-24,2166.75,breakout-close,2011-11-23,2166.75,2374.25,2011-11-15,2374.25,2117.1875,1968.5,-324.0,178.0,534.0,31.0,Loss,Period-Close,NQH1,77,232,-1944.125,2274.75,2011-12-30,Period-Close,2274.75,2011-12-30,Period-Close,2274.75,2011-12-30,Period-Close
2012,2790.25,2302.5,487.75,Long,3,2012-09-07,2826.25,breakout-close,2012-09-06,2826.25,2742.75,2012-09-04,2742.75,2939.1875,3278.0,-250.5,99.25,297.75,45.5,Loss,Swing-Stop,NQH2,76,235,-2194.625,2742.75,2012-10-09,Swing-Stop,2742.75,2012-10-09,Swing-Stop,2742.75,2012-10-09,Swing-Stop
2013,2817.0,2686.25,130.75,Long,3,2013-04-11,2848.0,breakout-close,2013-04-10,2848.0,2757.0,2013-04-08,2757.0,2872.9375,2947.75,-273.0,124.0,372.0,10.5,Loss,Swing-Stop,NQH3,73,233,-2467.625,2757.0,2013-04-18,Swing-Stop,2757.0,2013-04-18,Swing-Stop,2757.0,2013-04-18,Swing-Stop
2013,2817.0,2686.25,130.75,Long,3,2013-04-24,2820.0,breakout-close,2013-04-23,2820.0,2724.0,2013-04-18,2724.0,2851.9375,2947.75,159.6875,6.0,18.0,233.5,Win,TP25+TP+BE-Stop,NQH3,73,233,-2307.9375,2851.9375,2013-04-25,TP25,2947.75,2013-05-03,TP,2820.0,2013-06-24,BE-Stop
2013,2817.0,2686.25,130.75,Long,3,2013-06-26,2852.75,breakout-close,2013-06-25,2852.75,2817.75,2013-06-24,2817.75,2876.5,2947.75,859.25,7.0,21.0,742.0,Win,TP25+TP+Period-Close,NQH3,73,233,-1448.6875,2876.5,2013-06-26,TP25,2947.75,2013-07-03,TP,3593.25,2013-12-31,Period-Close
2014,3740.5,3412.0,328.5,Long,3,2014-06-05,3742.0,breakout-close,2014-06-04,3742.0,3707.25,2014-06-02,3707.25,3823.75,4069.0,408.75,50.75,50.75,376.75,Win,TP25+TP+BE-Stop,NQH4,74,228,-1039.9375,3823.75,2014-06-24,TP25,4069.0,2014-08-25,TP,3742.0,2014-10-15,BE-Stop
2014,3740.5,3412.0,328.5,Long,3,2014-10-17,3754.75,breakout-close,2014-10-16,3754.75,3750.25,2014-06-16,3750.25,3833.3125,4069.0,-13.5,12.75,38.25,85.75,Loss,Swing-Stop,NQH4,74,228,-1053.4375,3750.25,2014-10-17,Swing-Stop,3750.25,2014-10-17,Swing-Stop,3750.25,2014-10-17,Swing-Stop
2014,3740.5,3412.0,328.5,Long,3,2014-10-20,3825.0,breakout-close,2014-10-19,3825.0,3684.0,2014-10-16,3684.0,3886.0,4069.0,761.75,31.75,95.25,523.0,Win,TP25+TP+Period-Close,NQH4,74,228,-291.6875,3886.0,2014-10-21,TP25,4069.0,2014-10-28,TP,4281.75,2014-12-30,Period-Close
2015,4483.25,4041.5,441.75,Long,3,2015-04-24,4491.0,breakout-close,2015-04-23,4491.0,4398.5,2015-04-22,4398.5,4599.5,4925.0,-277.5,104.5,313.5,64.5,Loss,Swing-Stop,NQH5,77,235,-569.1875,4398.5,2015-04-30,Swing-Stop,4398.5,2015-04-30,Swing-Stop,4398.5,2015-04-30,Swing-Stop
2015,4483.25,4041.5,441.75,Long,3,2015-05-15,4490.25,breakout-close,2015-05-14,4490.25,4374.5,2015-05-12,4374.5,4598.9375,4925.0,-347.25,122.0,366.0,65.0,Loss,Swing-Stop,NQH5,77,235,-916.4375,4374.5,2015-06-29,Swing-Stop,4374.5,2015-06-29,Swing-Stop,4374.5,2015-06-29,Swing-Stop
2015,4483.25,4041.5,441.75,Long,3,2015-07-14,4487.75,breakout-close,2015-07-13,4487.75,4331.75,2015-07-09,4331.75,4597.0625,4925.0,-202.6875,298.75,597.5,198.25,Loss,TP25+Swing-Stop,NQH5,77,235,-1119.125,4597.0625,2015-07-16,TP25,4331.75,2015-08-21,Swing-Stop,4331.75,2015-08-21,Swing-Stop
2015,4483.25,4041.5,441.75,Short,3,2015-08-25,4032.5,breakout-close,2015-08-24,4032.5,4573.5,2015-08-18,4573.5,3924.3125,3599.75,-1623.0,553.5,1660.5,73.75,Loss,Swing-Stop,NQH5,77,235,-2742.125,4573.5,2015-10-22,Swing-Stop,4573.5,2015-10-22,Swing-Stop,4573.5,2015-10-22,Swing-Stop
2015,4483.25,4041.5,441.75,Long,3,2015-10-25,4610.75,breakout-close,2015-10-23,4610.75,4394.75,2015-10-21,4394.75,4689.3125,4925.0,42.0625,155.75,311.5,128.75,Win,TP25+Period-Close,NQH5,77,235,-2700.0625,4689.3125,2015-10-30,TP25,4592.5,2015-12-31,Period-Close,4592.5,2015-12-31,Period-Close
2016,4606.75,3862.25,744.5,Long,3,2016-07-19,4610.0,breakout-close,2016-07-18,4610.0,4550.25,2016-07-15,4550.25,4795.3125,5351.25,689.8125,51.5,103.0,384.5,Win,TP25+Period-Close,NQH6,76,234,-2010.25,4795.3125,2016-08-05,TP25,4862.25,2016-12-30,Period-Close,4862.25,2016-12-30,Period-Close
2017,5452.75,4876.75,576.0,Long,3,2017-04-24,5488.0,breakout-close,2017-04-23,5488.0,5347.75,2017-04-17,5347.75,5623.1875,6028.75,1572.9375,5.25,15.75,1057.75,Win,TP25+TP+Period-Close,NQH7,77,232,-437.3125,5623.1875,2017-05-01,TP25,6028.75,2017-10-05,TP,6385.0,2017-12-29,Period-Close
2018,7214.5,6164.0,1050.5,Long,3,2018-06-13,7247.25,breakout-close,2018-06-12,7247.25,7101.5,2018-06-08,7101.5,7501.6875,8265.0,-437.25,251.75,755.25,111.25,Loss,Swing-Stop,NQH8,76,236,-874.5625,7101.5,2018-06-25,Swing-Stop,7101.5,2018-06-25,Swing-Stop,7101.5,2018-06-25,Swing-Stop
2018,7214.5,6164.0,1050.5,Long,3,2018-07-11,7231.0,breakout-close,2018-07-06,7231.0,7017.25,2018-07-05,7017.25,7489.5,8265.0,-169.0,231.0,462.0,497.75,Loss,TP25+Swing-Stop,NQH8,76,236,-1043.5625,7489.5,2018-07-24,TP25,7017.25,2018-10-10,Swing-Stop,7017.25,2018-10-10,Swing-Stop
2018,7214.5,6164.0,1050.5,Long,3,2018-10-17,7345.75,breakout-close,2018-10-16,7345.75,7060.75,2018-10-15,7060.75,7575.5625,8265.0,-855.0,288.75,866.25,22.75,Loss,Swing-Stop,NQH8,76,236,-1898.5625,7060.75,2018-10-22,Swing-Stop,7060.75,2018-10-22,Swing-Stop,7060.75,2018-10-22,Swing-Stop
