date,open,high,low,close,volume,symbol
2018-11-04,19.55,19.85,19.55,19.85,315,VX/X8
2018-11-05,19.85,20.0,19.2,19.4,48621,VX/X8
2018-11-06,19.4,19.8,18.55,18.75,60546,VX/X8
2018-11-07,18.85,19.0,16.75,16.85,84687,VX/X8
2018-11-08,16.85,17.3,16.4,17.0,68279,VX/X8
2018-11-09,17.0,18.1,16.9,17.55,79464,VX/X8
2018-11-11,17.5,17.6,17.4,17.45,541,VX/X8
2018-11-12,17.45,19.7,16.95,19.65,93652,VX/X8
2018-11-13,19.65,20.4,18.8,19.2,102572,VX/X8
2018-11-14,19.2,20.9,18.95,20.15,95741,VX/X8
2018-11-15,19.5,20.25,19.05,19.35,102678,VX/Z8
2018-11-16,19.65,20.45,18.15,18.3,66523,VX/X8
2018-11-18,18.45,18.7,18.45,18.5,700,VX/Z8
2018-11-19,18.45,19.65,18.15,19.45,82276,VX/Z8
2018-11-20,19.45,21.05,19.35,20.7,147844,VX/Z8
2018-11-21,20.65,20.65,19.8,20.05,78230,VX/Z8
2018-11-22,20.4,20.6,20.25,20.4,6876,VX/F9
2018-11-23,20.15,20.6,20.0,20.45,42424,VX/Z8
2018-11-25,20.48,20.48,20.26,20.31,855,VX/F9
2018-11-26,20.15,20.25,18.9,19.25,72793,VX/Z8
2018-11-27,19.25,19.5,18.6,18.7,79859,VX/Z8
2018-11-28,18.7,18.9,17.95,18.25,89485,VX/Z8
2018-11-29,18.25,19.25,18.2,18.55,78989,VX/Z8
2018-11-30,18.55,19.0,17.65,17.65,70652,VX/Z8
2018-12-02,17.8,17.83,17.3,17.39,1850,VX/F9
2018-12-03,16.5,17.15,16.25,16.9,85766,VX/Z8
2018-12-04,16.9,19.9,16.7,19.2,151098,VX/Z8
2018-12-05,19.2,20.75,18.65,19.95,9359,VX/Z8
2018-12-06,19.95,22.5,19.75,19.95,192764,VX/Z8
2018-12-07,19.95,22.1,19.5,21.4,149180,VX/Z8
2018-12-09,20.8,21.21,20.79,21.12,1371,VX/F9
2018-12-10,22.05,22.95,21.15,21.4,118198,VX/Z8
2018-12-11,21.4,22.3,20.6,21.5,91968,VX/Z8
2018-12-12,21.5,21.65,20.25,21.0,65225,VX/Z8
2018-12-13,21.0,21.25,20.4,20.6,73579,VX/Z8
2018-12-14,20.6,22.0,20.55,21.75,72843,VX/Z8
2018-12-16,21.95,21.95,21.55,21.6,243,VX/Z8
2018-12-17,20.75,22.3,20.6,21.55,111726,VX/F9
2018-12-18,21.55,22.6,21.3,22.0,117057,VX/F9
2018-12-19,21.95,22.55,20.85,22.05,146985,VX/F9
2018-12-20,22.0,23.75,21.9,22.85,186715,VX/F9
2018-12-21,22.85,24.6,22.7,24.0,170755,VX/F9
2018-12-23,24.3,24.6,24.15,24.25,381,VX/F9
2018-12-24,24.3,25.95,23.85,25.95,84240,VX/F9
2018-12-25,25.6,27.0,25.6,26.2,1886,VX/F9
2018-12-26,26.1,26.5,24.1,24.75,109900,VX/F9
