bump_level,max_contracts,stacks,units,net_usd,closed_dd_usd,mtm_dd_usd,capital_required_usd,win_rate,pf
0,10,115,401,948930.0,-24445.0,-84020.0,252060.0,38.26086956521739,8.22333866179493
1,11,115,607,1513685.0,-29355.0,-104720.0,314160.0,40.0,8.46098679022082
2,12,115,784,1989190.0,-41470.0,-114240.0,342720.0,40.869565217391305,8.195998987085337
3,13,115,955,2427050.0,-53585.0,-123760.0,371280.0,41.73913043478261,7.9002231793822055
4,14,115,1088,2814820.0,-55450.0,-133280.0,399840.0,42.608695652173914,7.958591876591432
5,15,115,1221,3202590.0,-61950.0,-142800.0,428400.0,43.47826086956522,7.958446045041228
6,16,115,1354,3590360.0,-72275.0,-152320.0,456960.0,43.47826086956522,7.951931920496461
7,17,115,1487,3978130.0,-82600.0,-161840.0,485520.0,43.47826086956522,7.946696585263636
8,18,115,1620,4365900.0,-92925.0,-171360.0,514080.0,43.47826086956522,7.942397137745975
9,19,115,1735,4703700.0,-99550.0,-180880.0,542640.0,43.47826086956522,8.05964459386444
10,20,115,1850,5041500.0,-106175.0,-190400.0,571200.0,44.34782608695652,8.162645980734805
11,21,115,1965,5379300.0,-112800.0,-199920.0,599760.0,45.21739130434783,8.243824105682025
12,22,115,2080,5717100.0,-119425.0,-209440.0,628320.0,45.21739130434783,8.315921480306093
13,23,115,2195,6054900.0,-126050.0,-218960.0,656880.0,45.21739130434783,8.381188933519441
14,24,115,2310,6392700.0,-132675.0,-228480.0,685440.0,45.21739130434783,8.440553091937568
15,25,115,2425,6730500.0,-139300.0,-238000.0,714000.0,45.21739130434783,8.494780212132179
16,26,115,2540,7068300.0,-145925.0,-247520.0,742560.0,45.21739130434783,8.544509435573392
17,27,115,2655,7406100.0,-152550.0,-257040.0,771120.0,45.21739130434783,8.590278098049163
18,28,115,2770,7743900.0,-159175.0,-266560.0,799680.0,45.21739130434783,8.632541223548428
19,29,115,2885,8081700.0,-165800.0,-276080.0,828240.0,45.21739130434783,8.671686704099407
20,30,115,3000,8419500.0,-172425.0,-285600.0,856800.0,46.08695652173913,8.706565614960047
21,31,115,3115,8757300.0,-179050.0,-295120.0,885360.0,46.08695652173913,8.730565008408258
22,32,115,3230,9095100.0,-185675.0,-306935.0,920805.0,46.08695652173913,8.752915302782323
23,33,115,3345,9432900.0,-192300.0,-320280.0,960840.0,46.08695652173913,8.77378082699796
24,34,115,3460,9770700.0,-198925.0,-333625.0,1000875.0,46.08695652173913,8.793304778540834
25,35,115,3575,10108500.0,-205550.0,-346970.0,1040910.0,46.08695652173913,8.811612514344667
26,36,115,3690,10446300.0,-212175.0,-360315.0,1080945.0,46.08695652173913,8.82881424524484
27,37,115,3805,10784100.0,-218800.0,-373660.0,1120980.0,46.08695652173913,8.84500725641893
28,38,115,3920,11121900.0,-225425.0,-387005.0,1161015.0,46.95652173913044,8.85691831119243
29,39,115,4035,11459700.0,-232050.0,-400350.0,1201050.0,46.95652173913044,8.86578397356039
30,40,115,4150,11797500.0,-238675.0,-413695.0,1241085.0,46.95652173913044,8.874160273117727
31,41,115,4265,12135300.0,-245300.0,-427040.0,1281120.0,46.95652173913044,8.882086639105484
32,42,115,4380,12473100.0,-251925.0,-440385.0,1321155.0,46.95652173913044,8.889598375665342
33,43,115,4495,12810900.0,-258550.0,-453730.0,1361190.0,46.95652173913044,8.896727187551047
34,44,115,4610,13148700.0,-265175.0,-467075.0,1401225.0,46.95652173913044,8.903501627440786
35,45,115,4725,13486500.0,-271800.0,-480420.0,1441260.0,46.95652173913044,8.909947478159888
36,46,115,4840,13824300.0,-278425.0,-493765.0,1481295.0,46.95652173913044,8.916088080602169
37,47,115,4955,14162100.0,-285050.0,-507110.0,1521330.0,46.95652173913044,8.921944616141925
38,48,115,5070,14499900.0,-291675.0,-520455.0,1561365.0,46.95652173913044,8.927536350738496
39,49,115,5185,14837700.0,-298300.0,-533800.0,1601400.0,46.95652173913044,8.932880846661552
40,50,115,5300,15175500.0,-304925.0,-547145.0,1641435.0,46.95652173913044,8.937994146739515
